Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"DotsView.java",1,1,1,1,8,1,7,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,63,15,45,24,21,3,,,,32,39,25,14,,,,,,3,3,3,1,,,1,,,,0,07,7,7,7,4
File,"MainActivity.java",1,1,1,1,36,5,30,0,,,,,2,0,1,4,,4,4,3,4,,0,0,1,3,,167,30,137,54,112,0,,,,122,127,56,71,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"SCPageAnimation.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,1,1,,0,0,0,1,,12,3,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"SCPositionAnimation.java",1,1,1,1,11,0,7,3,,,,,1,0,0,3,,3,3,4,3,,0,0,0,3,,55,11,31,13,13,15,,,,19,25,13,12,,,,,,3,3,3,1,,,1,,,,0,48,5,5,5,3
File,"SCSizeAnimation.java",1,1,1,1,12,1,8,3,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,44,9,26,12,11,9,,,,17,21,11,10,,,,,,2,2,2,1,,,1,,,,0,35,3,3,3,2
File,"SCViewAnimation.java",2,2,2,1,9,0,8,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,61,13,44,16,22,4,,,,26,38,17,21,,,,,,3,3,3,1,,,1,,,,0,09,10,10,10,4
File,"SCViewAnimationUtil.java",1,1,1,1,5,0,5,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,26,5,18,11,6,3,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"SCViewPager.java",1,1,1,1,8,0,7,0,,,,,2,0,0,8,,8,8,1,8,,0,1,0,7,,71,15,53,13,25,3,,,,28,43,20,23,,,,,,6,6,6,1,,,3,,,,0,06,14,14,14,8
File,"SCViewPagerAdapter.java",1,1,1,1,4,0,4,0,,,,,2,0,0,9,,9,9,4,9,,0,0,0,9,,85,22,60,31,20,3,,,,32,45,27,18,,,,,,3,3,3,1,,,1,,,,0,05,11,11,11,9
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
