Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Account.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,2,0,0,4,,34,9,25,10,8,0,,,,11,18,10,8,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"AccountActivity.java",1,1,1,1,9,0,9,0,,,,,2,1,0,4,,4,3,0,4,,0,0,2,2,,58,8,50,26,25,0,,,,33,39,25,14,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"AccountManager.java",1,1,1,1,4,0,4,0,,,,,1,15,3,16,,16,1,0,16,,0,8,0,8,,99,20,79,29,37,0,,,,34,55,29,26,,,,,,2,2,3,1,,,1,,,,0,00,20,20,21,16
File,"ActivityCounter.java",1,1,1,1,2,0,2,0,,,,,1,2,2,3,,3,1,0,3,,0,1,0,2,,20,6,14,8,4,0,,,,6,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ActivityHelper.java",2,2,2,1,13,0,13,0,,,,,3,4,8,6,,6,2,6,6,,0,0,0,6,,130,10,118,42,76,2,,,,73,89,44,45,,,,,,7,7,8,6,,,3,,,,0,02,15,15,16,11
File,"ActivityLauncher.java",1,1,1,1,5,0,5,0,,,,,2,5,1,7,,7,2,0,7,,0,2,0,5,,47,9,38,13,17,0,,,,15,25,13,12,,,,,,3,3,4,1,,,1,,,,0,00,9,9,10,7
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Callback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,7,3,4,3,1,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ExampleUnitTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,7,1,3,2,0,3,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ExampleUnitTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,7,1,3,2,0,3,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"GithubService.java",1,1,1,1,7,0,7,0,,,,,2,0,1,2,,3,3,1,3,,1,0,0,2,,42,8,34,23,11,1,,,,22,27,22,5,,,,,,2,2,2,1,,,1,,,,0,03,3,3,3,2
File,"KeyboardHelper.java",1,1,1,1,5,0,5,0,,,,,1,2,0,3,,3,1,0,3,,0,1,0,2,,34,6,28,16,9,0,,,,16,22,16,6,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"LanguageSwitcher.java",1,1,1,1,6,0,6,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,29,7,22,14,7,0,,,,14,18,14,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,4,0,0,6,,6,6,0,6,,0,0,1,5,,62,6,56,23,31,0,,,,29,37,23,14,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,6
File,"MapsActivity.java",1,1,1,1,6,0,6,0,,,,,1,1,0,3,,3,2,5,3,,0,0,1,2,,49,7,42,28,16,0,,,,32,36,26,10,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"MockServerTask.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,21,6,15,8,4,0,,,,8,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"MockServerWrapper.java",2,2,2,1,13,0,13,0,,,,,3,0,0,5,,5,5,2,5,,0,0,0,5,,64,9,55,16,29,0,,,,27,40,20,20,,,,,,4,4,4,1,,,1,,,,0,00,11,11,11,5
File,"NetworkActivity.java",1,1,1,1,11,0,11,0,,,,,3,1,0,4,,4,3,7,4,,0,0,2,2,,55,6,49,23,23,0,,,,34,39,24,15,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ParameterizedCallback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"PowerChanger.java",2,2,2,1,9,0,9,0,,,,,1,3,0,4,,4,1,0,4,,0,3,0,1,,53,8,45,13,25,0,,,,20,31,14,17,,,,,,4,4,4,1,,,3,,,,0,00,11,11,11,4
File,"ResourceReader.java",1,1,1,1,7,0,7,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,25,5,20,10,9,0,,,,11,15,10,5,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"ScreenshotsCapturer.java",1,1,1,1,13,0,13,0,,,,,5,8,0,13,,13,5,0,13,,0,7,0,6,,135,12,122,49,71,1,,,,68,89,52,37,,,,,,4,4,4,1,,,1,,,,0,01,20,20,21,13
File,"ScreenshotsPrimeActivity.java",1,1,1,1,13,1,9,2,,,,,7,0,0,8,,8,8,1,8,,0,0,2,6,,113,17,81,32,41,15,,,,47,57,35,22,,,,,,2,2,2,1,,,1,,,,0,19,9,9,9,8
