Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Address.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,27,5,17,8,4,5,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,0,29,4,4,4,4
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"Constant.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,28,2,21,14,14,10,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,48,0,0,0,0
File,"ContentListView.java",2,2,2,1,9,0,7,1,,,,,4,0,0,19,,19,19,4,19,,0,3,2,14,,239,27,164,53,82,48,,,,66,110,51,59,,,,,,4,4,5,4,,,3,,,,0,29,39,39,42,30
File,"ContentRecyclerView.java",2,2,2,2,7,0,7,0,,,,,3,0,0,11,,11,11,2,11,,0,1,2,8,,133,19,114,42,54,0,,,,49,79,40,39,,,,,,4,4,4,4,,,3,,,,0,00,25,25,25,22
File,"ContentScrollView.java",1,1,1,1,5,0,5,0,,,,,2,0,0,7,,8,8,1,8,,1,0,2,5,,83,13,51,23,18,19,,,,23,36,20,16,,,,,,3,3,3,3,,,2,,,,0,37,11,11,11,11
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ListviewAdapter.java",1,1,1,1,5,0,5,0,,,,,3,0,0,7,,7,7,2,7,,0,0,0,7,,71,15,51,23,18,5,,,,24,34,20,14,,,,,,2,2,2,1,,,0,,,,0,10,8,8,8,7
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,5,0,0,8,,8,8,3,8,,0,1,1,6,,97,10,81,24,50,6,,,,44,58,28,30,,,,,,5,5,5,1,,,2,,,,0,07,13,13,13,8
File,"MainPagerAdapter.java",1,1,2,1,7,0,6,0,,,,,2,0,0,11,,12,12,4,12,,1,0,0,11,,129,20,104,47,45,5,,,,54,75,37,38,,,,,,4,4,6,4,,,3,,,,0,05,19,19,22,14
File,"RecyclerViewAdapter.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,2,5,,0,0,0,5,,43,11,32,19,6,0,,,,15,22,16,6,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ScreenUtil.java",1,1,1,1,13,0,8,5,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,42,4,22,13,11,16,,,,13,17,12,5,,,,,,2,2,2,1,,,1,,,,0,73,3,3,3,2
File,"ScrollLayout.java",2,2,3,1,11,0,9,1,,,,,8,0,8,47,,46,50,31,50,,3,7,0,40,,704,55,550,135,355,99,,,,259,386,126,260,,,,,,18,15,20,17,,,3,,,,0,18,136,126,153,93
File,"SecondActivity.java",1,1,1,1,7,0,6,0,,,,,5,0,0,11,,11,11,7,11,,0,2,1,8,,132,21,106,32,64,5,,,,59,77,37,40,,,,,,4,4,4,1,,,2,,,,0,05,17,17,17,11
File,"ThreeActivity.java",1,1,1,1,9,0,8,0,,,,,4,0,0,7,,7,7,3,7,,0,1,1,5,,87,12,74,22,45,1,,,,41,54,25,29,,,,,,5,5,5,1,,,2,,,,0,01,12,12,12,7
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.yinglan",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.yinglan.scrolllayout",2,2,3,1,11,0,9,1,,,,,8,0,8,,1,,50,31,50,,3,7,0,40,,704,55,550,135,355,99,,,,259,386,126,260,,,,,,18,15,20,17,,,3,,,,0,18,136,126,153,93
Public Class,"com.yinglan.scrolllayout.ScrollLayout",3,2,3,2,12,0,11,1,1,5,5,0,,0,8,,,,37,23,37,37,0,7,0,30,,662,50,532,117,355,80,,,,241,368,108,260,,,,,,18,15,20,17,,2,3,,90,84,0,15,119,109,133,80
Anonymous Class,"com.yinglan.scrolllayout.ScrollLayout.(Anon_1)",5,5,8,4,21,0,21,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,23,0,23,0,20,0,,,,12,17,1,16,,,,,,5,5,8,4,,2,2,,0,0,0,00,5,5,8,4
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_1).onFling",,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,0,21,0,18,0,7,5,1,12,17,1,16,5,5,8,4,4,,,,,3,,2,3,,,0,00,5,5,8,4
Anonymous Class,"com.yinglan.scrolllayout.ScrollLayout.(Anon_2)",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,2,0,2,2,0,0,0,2,,11,1,10,0,8,0,,,,2,4,2,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,2,2,2,2
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_2).onScroll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_2).onScrollStateChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.yinglan.scrolllayout.ScrollLayout.(Anon_3)",1,1,1,1,4,0,4,0,1,1,1,0,,0,0,,,,2,0,2,2,0,0,0,2,,12,1,11,0,9,0,,,,4,6,2,4,,,,,,1,1,1,1,,2,0,,0,0,0,00,2,2,2,2
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_3).onScrollStateChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_3).onScrolled",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,3,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.yinglan.scrolllayout.ScrollLayout.(Anon_4)",4,4,4,1,10,0,10,0,2,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,12,0,12,1,10,0,,,,4,8,1,7,,,,,,4,4,4,1,,1,1,,0,0,0,00,4,4,4,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.(Anon_4).onScrollChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,0,8,0,3,5,1,4,8,1,7,4,4,4,1,2,,,,,0,,1,0,,,0,00,4,4,4,1
Private Enum Type,"com.yinglan.scrolllayout.ScrollLayout.InnerStatus",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,5,2,2,0,0,0,2,,3,0,3,2,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,00,2,2,2,2
Public Method,"com.yinglan.scrolllayout.ScrollLayout.InnerStatus.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.InnerStatus.values",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Interface,"com.yinglan.scrolllayout.ScrollLayout.OnScrollChangedListener",0,0,0,0,0,0,0,0,0,1,1,3,,0,0,,,,3,0,3,3,3,0,0,0,,25,2,5,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,0,0,,0,0,3,60,0,0,0,0
Abstract Method,"com.yinglan.scrolllayout.ScrollLayout.OnScrollChangedListener.onChildScroll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1,1,0,5,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,5,00,0,0,0,0
Abstract Method,"com.yinglan.scrolllayout.ScrollLayout.OnScrollChangedListener.onScrollFinished",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1,1,0,5,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,5,00,0,0,0,0
Abstract Method,"com.yinglan.scrolllayout.ScrollLayout.OnScrollChangedListener.onScrollProgressChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1,1,0,5,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,5,00,0,0,0,0
Public Constructor,"com.yinglan.scrolllayout.ScrollLayout.ScrollLayout",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.yinglan.scrolllayout.ScrollLayout.ScrollLayout",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.yinglan.scrolllayout.ScrollLayout.ScrollLayout",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Enum Type,"com.yinglan.scrolllayout.ScrollLayout.Status",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,3,2,2,0,0,0,2,,6,0,3,2,0,3,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,1,00,2,2,2,2
Public Method,"com.yinglan.scrolllayout.ScrollLayout.Status.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.Status.values",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.yinglan.scrolllayout.ScrollLayout.completeMove",,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,0,17,3,12,0,4,4,1,6,10,3,7,4,4,5,1,3,,,,,0,,3,0,,,0,00,4,4,5,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.computeScroll",,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,11,2,7,0,6,3,0,4,7,2,5,3,3,7,1,1,,,,,0,,2,0,,,0,00,3,3,7,1
Private Method,"com.yinglan.scrolllayout.ScrollLayout.disposeEdgeValue",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,0,16,1,11,0,2,6,1,5,11,1,10,6,6,10,6,9,,,,,9,,2,9,,,0,00,6,6,10,6
Public Method,"com.yinglan.scrolllayout.ScrollLayout.getCurrentStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,0,12,1,9,0,1,4,1,4,6,1,5,4,2,4,1,6,,,,,0,,1,0,,,0,00,4,2,4,1
Public Method,"com.yinglan.scrolllayout.ScrollLayout.getScreenHeight",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,12,6,9,5,8,2,0,7,9,5,4,2,2,2,1,0,,,,,0,,1,0,,,0,42,2,2,2,1
