Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseSerializationProxy.java",1,1,1,1,6,0,5,0,,,,,1,0,1,7,,7,7,4,7,,0,0,5,2,,103,15,66,38,21,22,,,,34,44,28,16,,,,,,2,2,2,1,,,1,,,,0,33,9,9,9,7
File,"BaseSerializationProxyTests.java",1,1,1,1,4,0,4,0,,,,,4,0,2,7,,7,7,2,7,,2,0,3,2,,87,14,58,35,14,15,,,,25,36,27,9,,,,,,1,1,1,1,,,0,,,,0,26,7,7,7,7
File,"BoundingBox.java",1,1,1,1,5,0,4,0,,,,,2,0,1,5,,5,5,1,5,,0,0,2,3,,80,13,49,34,12,18,,,,23,32,23,9,,,,,,3,3,4,3,,,1,,,,0,37,7,7,8,7
File,"Builder.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,4,7,6,0,20,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,86,0,0,0,0
File,"BuilderSerializer.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,7,7,0,7,,0,1,5,1,,87,11,54,31,16,22,,,,22,31,20,11,,,,,,3,3,3,1,,,1,,,,0,41,8,8,8,5
File,"BuilderSerializerTests.java",1,1,1,1,5,0,5,0,,,,,4,0,1,12,,12,12,4,12,,1,0,6,5,,145,22,107,58,40,16,,,,42,59,39,20,,,,,,2,2,2,1,,,1,,,,0,15,13,13,13,12
File,"ByteBufferSerial.java",1,1,2,1,7,0,7,0,,,,,1,1,0,9,,9,8,2,9,,0,1,0,8,,124,14,95,44,37,15,,,,41,60,31,29,,,,,,4,4,4,3,,,2,,,,0,16,17,17,18,13
File,"ByteBufferSerializationTests.java",1,1,1,1,17,1,16,0,,,,,3,0,1,16,,16,16,2,16,,1,0,2,13,,358,45,298,110,219,15,,,,183,203,77,126,,,,,,2,2,2,1,,,1,,,,0,05,17,17,17,16
File,"ByteBufferSerializerDefs.java",1,1,1,1,2,0,2,0,,,,,1,3,29,4,,4,1,0,4,,0,1,0,3,,78,18,45,37,32,15,,,,35,40,37,3,,,,,,1,1,1,1,,,0,,,,0,33,4,4,4,4
File,"ByteBufferSerializerInput.java",2,2,2,1,9,0,8,0,,,,,2,3,3,25,,25,22,1,25,,0,7,0,18,,331,32,265,95,148,34,,,,119,180,76,104,,,,,,7,7,7,5,,,3,,,,0,13,60,60,61,45
File,"ByteBufferSerializerOutput.java",1,1,1,1,8,0,7,0,,,,,1,4,0,28,,28,24,1,28,,0,9,0,19,,323,34,257,76,148,32,,,,123,175,51,124,,,,,,8,8,10,1,,,4,,,,0,12,53,53,55,28
File,"CollectionSerializers.java",1,1,1,1,11,0,10,1,,,,,4,9,0,15,,15,6,0,15,,0,6,6,3,,197,17,147,56,74,33,,,,54,85,45,40,,,,,,5,5,5,1,,,2,,,,0,22,29,29,29,15
File,"CollectionSerializersTests.java",1,1,1,1,11,1,10,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,81,13,53,23,32,15,,,,35,40,19,21,,,,,,1,1,1,1,,,0,,,,0,28,4,4,4,4
File,"Coordinate.java",1,1,1,1,5,0,5,0,,,,,2,0,1,5,,5,5,2,5,,0,0,2,3,,79,13,48,31,14,18,,,,23,32,22,10,,,,,,3,3,5,3,,,1,,,,0,38,7,7,9,7
File,"CoreSerializers.java",1,1,1,1,9,0,8,0,,,,,21,8,17,49,,49,41,1,49,,0,4,38,7,,582,53,470,101,322,59,,,,145,227,113,114,,,,,,8,7,8,4,,,5,,,,0,13,84,78,85,54
File,"CoreSerializersTests.java",1,1,1,1,11,0,10,0,,,,,1,0,0,9,,9,9,1,9,,0,0,0,9,,155,20,120,45,76,15,,,,60,70,33,37,,,,,,1,1,1,1,,,0,,,,0,12,9,9,9,9
File,"DebugClassDescriptor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,33,5,13,7,3,15,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,1,15,2,2,2,2
File,"InternalSerialUtils.java",1,1,2,1,8,0,5,3,,,,,1,13,3,13,,13,0,0,13,,0,0,0,13,,159,19,86,37,35,54,,,,38,60,31,29,,,,,,3,3,4,1,,,2,,,,0,63,23,23,26,13
File,"LegacySerial.java",3,3,4,1,16,0,14,2,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,156,12,112,41,58,32,,,,47,70,30,40,,,,,,5,5,6,3,,,2,,,,0,29,22,22,24,10
File,"LegacySerializerDefs.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,23,2,5,4,2,16,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,20,0,0,0,0
File,"LegacySerializerInput.java",1,1,1,1,5,0,5,0,,,,,1,0,0,12,,12,12,2,12,,0,0,0,12,,116,17,84,40,31,15,,,,33,52,28,24,,,,,,3,3,3,1,,,2,,,,0,18,18,18,18,12
File,"LegacySerializerOutput.java",1,1,1,1,4,0,4,0,,,,,1,0,0,14,,14,14,2,14,,0,0,0,14,,134,19,100,47,35,15,,,,38,56,23,33,,,,,,2,2,2,1,,,1,,,,0,15,17,17,17,14
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,2,0,4,6,,6,6,4,6,,0,3,2,1,,89,18,71,30,35,0,,,,36,47,26,21,,,,,,3,3,3,1,,,2,,,,0,00,10,10,10,6
File,"ObjectBuilder.java",2,2,2,1,10,0,7,3,,,,,1,0,0,6,,7,7,0,7,,0,1,3,3,,108,12,56,20,25,40,,,,21,35,17,18,,,,,,5,5,5,1,,,4,,,,0,71,12,12,12,6
File,"ObjectSerializer.java",2,2,2,1,9,0,8,0,,,,,1,0,3,4,,6,6,1,6,,0,0,4,2,,97,13,58,30,23,26,,,,27,37,21,16,,,,,,3,3,3,1,,,2,,,,0,45,9,9,9,4
File,"OptionalFieldException.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,37,6,12,7,3,19,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,1,58,2,2,2,2
File,"Person.java",1,1,1,1,4,0,4,0,,,,,3,0,1,8,,8,8,6,8,,0,1,3,4,,83,15,68,38,20,0,,,,35,46,27,19,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"Place.java",1,1,1,1,6,0,6,0,,,,,3,0,1,16,,16,16,18,16,,0,1,4,11,,216,24,171,90,67,21,,,,66,87,50,37,,,,,,3,3,12,3,,,1,,,,0,12,18,18,27,18
File,"PlaceType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,6,2,,0,0,0,2,,26,2,9,8,0,15,,,,2,2,2,0,,,,,,1,1,1,1,,,0,,,,1,67,2,2,2,2
File,"Pools.java",1,1,1,1,8,0,6,2,,,,,4,0,0,8,,10,10,3,10,,2,2,0,6,,169,17,74,30,27,78,,,,28,48,23,25,,,,,,3,3,3,3,,,2,,,,1,05,14,14,14,10
File,"SampleDataProvider.java",1,1,1,1,10,0,10,0,,,,,1,2,0,2,,2,0,0,2,,0,1,0,1,,50,5,27,12,16,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,67,2,2,2,2
File,"Serial.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,39,7,14,13,0,18,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,29,0,0,0,0
File,"SerialTests.java",1,1,1,1,17,1,14,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,67,9,40,29,24,18,,,,25,28,23,5,,,,,,1,1,1,1,,,0,,,,0,45,2,2,2,2
File,"SerializableClass.java",1,1,1,1,3,0,3,0,,,,,1,3,1,4,,4,1,2,4,,0,0,0,4,,55,9,26,16,6,20,,,,12,17,12,5,,,,,,1,1,1,1,,,0,,,,0,77,4,4,4,4
File,"SerializableUtils.java",2,2,2,1,18,0,14,3,,,,,2,3,1,4,,4,1,0,4,,0,0,1,3,,113,9,72,30,38,32,,,,35,46,24,22,,,,,,4,4,5,3,,,1,,,,0,44,9,9,10,6
File,"SerializationContext.java",1,1,1,1,3,0,3,0,,,,,2,0,0,2,,4,4,1,4,,2,0,0,2,,51,6,15,6,7,30,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,2,00,2,2,2,2
File,"SerializationException.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,33,6,12,7,3,15,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,1,25,2,2,2,2
File,"SerializationTestUtils.java",1,1,1,1,4,0,4,0,,,,,10,6,5,29,,27,23,8,29,,1,0,6,22,,263,42,200,107,65,21,,,,72,111,70,41,,,,,,2,2,3,1,,,1,,,,0,10,33,33,36,29
File,"SerializationUtils.java",6,4,6,2,29,0,27,2,,,,,1,10,2,10,,10,0,0,10,,0,1,0,9,,352,16,289,50,194,47,,,,130,172,44,128,,,,,,29,18,30,16,,,6,,,,0,16,65,42,68,28
File,"SerializationUtilsTests.java",1,1,1,1,18,0,18,0,,,,,1,0,0,15,,15,15,1,15,,0,0,0,15,,357,28,311,85,242,21,,,,97,113,64,49,,,,,,1,1,1,1,,,0,,,,0,07,15,15,15,15
File,"Serializer.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,3,3,0,3,,0,0,0,3,,49,7,20,17,2,22,,,,11,13,12,1,,,,,,1,1,1,1,,,0,,,,1,10,1,1,1,1
File,"SerializerDef.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,1,2,,2,0,0,0,,39,5,7,6,1,27,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,3,86,0,0,0,0
File,"SerializerDefs.java",15,2,15,1,45,0,45,0,,,,,1,1,15,1,,1,0,0,1,,0,0,0,1,,84,4,65,20,44,15,,,,30,33,19,14,,,,,,15,2,15,1,,,1,,,,0,23,15,2,15,1
File,"SerializerDefsTests.java",4,4,4,1,15,1,14,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,44,7,22,9,9,15,,,,8,14,9,5,,,,,,4,4,4,1,,,3,,,,0,68,4,4,4,1
File,"SerializerInput.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,18,18,0,18,,0,0,0,18,,92,23,54,36,8,15,,,,25,35,27,8,,,,,,1,1,1,1,,,0,,,,0,28,9,9,9,9
File,"SerializerOutput.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,13,13,0,13,,0,0,0,13,,74,18,41,35,3,15,,,,21,24,21,3,,,,,,1,1,1,1,,,0,,,,0,37,2,2,2,2
File,"SerializerStream.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,23,2,6,3,1,15,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,2,50,1,1,1,1
File,"ValueSerializer.java",3,3,4,1,10,1,9,0,,,,,1,0,0,2,,4,4,0,4,,0,0,2,2,,73,10,38,27,8,25,,,,16,21,16,5,,,,,,5,5,6,1,,,2,,,,0,66,7,7,8,2
File,"ValueSerializerTests.java",1,1,1,1,4,0,4,0,,,,,2,0,0,4,,4,4,0,4,,0,0,2,2,,56,8,33,22,6,15,,,,13,19,14,5,,,,,,1,1,1,1,,,0,,,,0,45,4,4,4,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.twitter",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.twitter.serial",1,1,1,1,4,0,4,0,,,,,10,6,5,,1,,23,8,29,,1,0,6,22,,263,42,200,107,65,21,,,,72,111,70,41,,,,,,2,2,3,1,,,1,,,,0,10,33,33,36,29
Public Class,"com.twitter.serial.SerializationTestUtils",1,1,1,1,9,0,7,1,1,6,6,0,,6,1,,,,0,0,6,6,0,0,0,6,,224,36,182,89,65,6,,,,54,93,52,41,,,,,,2,2,3,1,,1,1,,0,0,0,03,9,9,10,6
Public Static Abstract Class,"com.twitter.serial.SerializationTestUtils.BaseTestObject",0,0,0,0,0,0,0,0,1,0,0,2,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.twitter.serial.SerializationTestUtils.InvalidTestObjectComparator",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,4,1,4,4,0,0,0,4,,22,4,18,9,4,0,,,,5,10,6,4,,,,,,1,1,1,1,,1,0,,75,75,0,00,4,4,4,4
Public Constructor,"com.twitter.serial.SerializationTestUtils.InvalidTestObjectComparator.InvalidTestObjectComparator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.InvalidTestObjectComparator.compare",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.InvalidTestObjectComparator.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.InvalidTestObjectComparator.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.twitter.serial.SerializationTestUtils.TestObject",1,1,1,1,3,0,3,0,2,4,4,1,,0,3,,,,4,2,4,4,0,0,0,4,,78,11,67,37,21,0,,,,18,32,19,13,,,,,,1,1,3,1,,2,0,,12,12,0,00,4,4,6,4
Public Constructor,"com.twitter.serial.SerializationTestUtils.TestObject.TestObject",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectSerializer",1,1,1,1,5,0,5,0,1,4,4,0,,0,0,,,,4,0,4,13,0,0,2,2,,30,3,27,13,10,0,,,,6,12,6,6,,,,,,2,2,2,1,,3,1,,0,0,0,00,5,5,5,4
Public Constructor,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectSerializer.TestObjectSerializer",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectSerializer.TestObjectSerializer",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectSerializer.deserializeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,4,6,0,6,2,0,4,6,2,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectSerializer.serializeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,3,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectValueSerializer",1,1,1,1,5,0,5,0,1,4,4,0,,0,0,,,,2,0,2,9,0,0,2,0,,17,1,16,10,3,0,,,,2,5,3,2,,,,,,1,1,1,1,,3,0,,0,0,0,00,2,2,2,2
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectValueSerializer.deserializeValue",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject.TestObjectValueSerializer.serializeValue",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,3,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestObject.compareTo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestObject.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,3,1,0,,,,,0,,0,0,,,0,00,1,1,3,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestObject.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.twitter.serial.SerializationTestUtils.TestObject2",1,1,1,1,3,0,3,0,1,1,1,0,,0,1,,,,1,1,1,1,0,0,0,1,,22,3,19,5,11,0,,,,5,9,6,3,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Anonymous Class,"com.twitter.serial.SerializationTestUtils.TestObject2.(Anon_1)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,2,0,2,11,0,0,2,0,,13,1,12,1,10,0,,,,2,4,2,2,,,,,,1,1,1,1,,3,0,,0,0,0,00,2,2,2,2
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject2.(Anon_1).deserializeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.twitter.serial.SerializationTestUtils.TestObject2.(Anon_1).serializeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.twitter.serial.SerializationTestUtils.TestObject2.TestObject2",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.twitter.serial.SerializationTestUtils.TestObjectComparator",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,3,0,3,3,0,0,0,3,,16,2,14,7,3,0,,,,3,7,4,3,,,,,,1,1,1,1,,1,0,,0,0,0,00,3,3,3,3
Public Method,"com.twitter.serial.SerializationTestUtils.TestObjectComparator.compare",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestObjectComparator.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestObjectComparator.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Enum Type,"com.twitter.serial.SerializationTestUtils.TestType",1,1,1,1,1,0,1,0,1,0,0,0,,0,0,,,,3,4,3,3,1,0,0,2,,11,2,9,6,1,0,,,,3,4,3,1,,,,,,1,1,1,1,,1,0,,,,0,00,3,3,3,3
Constructor,"com.twitter.serial.SerializationTestUtils.TestType.TestType",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.twitter.serial.SerializationTestUtils.TestType.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
