Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AreaChartActivity.java",2,1,2,1,17,0,16,0,,,,,20,0,0,40,,40,40,3,40,,0,18,1,21,,535,58,463,79,348,14,,,,261,340,98,242,,,,,,18,4,18,1,,,1,,,,0,03,94,78,94,40
File,"Bar3DChart.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,41,15,22,13,4,4,,,,11,16,12,4,,,,,,1,1,1,1,,,0,,,,0,18,4,4,4,4
File,"Bar3DChartActivity.java",1,1,1,1,33,3,29,0,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,92,11,80,38,53,1,,,,71,74,38,36,,,,,,1,1,1,1,,,0,,,,0,01,2,2,2,2
File,"Bar3DProvider.java",1,1,1,1,20,0,15,4,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,62,9,41,16,26,12,,,,30,34,14,20,,,,,,2,2,2,1,,,1,,,,0,29,3,3,3,2
File,"BarChart.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,38,13,21,12,4,4,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,19,4,4,4,4
File,"BarChartActivity.java",1,1,1,1,41,4,37,1,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,109,13,95,41,68,2,,,,86,89,41,48,,,,,,1,1,1,1,,,0,,,,0,02,2,2,2,2
File,"BarData.java",1,1,1,1,4,1,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,27,13,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
File,"BarLineChart.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,38,13,21,12,4,4,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,19,4,4,4,4
File,"BarLineChartActivity.java",2,1,2,1,18,1,16,1,,,,,15,0,0,31,,31,31,3,31,,0,14,1,16,,521,64,365,72,269,92,,,,210,270,86,184,,,,,,15,4,15,1,,,1,,,,0,25,72,59,72,31
File,"BarLineData.java",1,1,1,1,3,0,3,0,,,,,1,0,3,6,,6,6,1,6,,0,0,0,6,,41,10,28,13,12,3,,,,14,21,13,8,,,,,,1,1,1,1,,,0,,,,0,11,6,6,6,6
File,"BarLineProvider.java",3,3,3,1,15,0,15,0,,,,,1,0,0,5,,5,5,3,5,,0,0,2,3,,116,17,96,41,58,3,,,,61,79,42,37,,,,,,6,6,6,3,,,3,,,,0,03,17,17,18,7
File,"BarProvider.java",1,1,2,1,8,0,8,0,,,,,1,0,0,10,,10,10,2,10,,0,1,3,6,,131,28,99,43,58,4,,,,60,79,41,38,,,,,,7,7,10,4,,,4,,,,0,04,18,18,26,13
File,"BaseAxis.java",1,1,1,1,9,0,4,4,,,,,1,0,0,18,,20,20,10,20,,0,0,4,16,,280,30,112,55,48,140,,,,64,86,52,34,,,,,,2,2,3,1,,,1,,,,1,25,21,21,22,18
