Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CircleImageView.java",1,1,1,1,7,0,6,0,,,,,2,0,6,12,,12,12,4,12,,2,2,2,6,,158,20,109,50,53,29,,,,60,79,44,35,,,,,,2,2,2,1,,,1,,,,0,27,17,17,17,12
File,"Logger.java",2,2,2,1,7,0,7,0,,,,,1,10,4,10,,10,0,0,10,,0,2,0,8,,101,19,79,22,41,3,,,,24,51,22,29,,,,,,6,6,6,5,,,4,,,,0,04,25,25,25,16
File,"MainActivity.java",1,1,1,1,9,1,7,0,,,,,3,0,0,5,,5,5,4,5,,0,2,1,2,,73,16,54,25,23,4,,,,38,45,27,18,,,,,,2,2,2,1,,,1,,,,0,07,6,6,6,5
File,"PullToRefreshView.java",2,1,2,1,11,0,9,2,,,,,11,0,18,80,,82,82,40,82,,7,17,3,55,,1232,149,833,253,502,262,,,,418,573,225,348,,,,,,15,10,20,13,,,3,,,,0,31,163,154,196,114
File,"SmileProgressDrawable.java",1,1,1,1,7,0,5,1,,,,,6,0,9,43,,43,43,22,43,,1,6,0,36,,464,99,302,130,160,68,,,,163,219,123,96,,,,,,6,6,6,3,,,2,,,,0,23,53,53,54,45
File,"Utils.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,4,8,5,2,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.song",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.song.refresh_view",1,1,1,1,9,0,7,1,,,,,19,0,33,,3,,137,66,137,,10,25,5,97,,1854,268,1244,433,715,359,,,,641,871,392,479,,,,,,15,10,20,13,,,3,,,,0,29,233,224,267,171
Class,"com.song.refresh_view.CircleImageView",1,1,1,1,7,0,6,0,1,1,1,0,,0,6,,,,8,2,8,8,1,1,1,5,,128,17,97,38,53,14,,,,48,67,32,35,,,,,,2,2,2,1,,2,1,,68,68,0,14,13,13,13,8
Constructor,"com.song.refresh_view.CircleImageView.CircleImageView",,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,2,22,7,18,1,14,2,0,16,18,7,11,2,2,2,1,1,,,,,0,,1,0,,,0,05,2,2,2,1
Private Class,"com.song.refresh_view.CircleImageView.OvalShadow",1,1,1,1,5,0,5,0,1,1,1,0,,0,0,,,,4,2,4,4,1,1,1,1,,32,4,28,11,14,0,,,,14,19,9,10,,,,,,1,1,1,1,,2,0,,50,12,0,00,4,4,4,4
Constructor,"com.song.refresh_view.CircleImageView.OvalShadow.OvalShadow",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,6,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.song.refresh_view.CircleImageView.OvalShadow.draw",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,3,4,0,3,1,0,4,5,3,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.song.refresh_view.CircleImageView.OvalShadow.onResize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.song.refresh_view.CircleImageView.OvalShadow.updateRadialGradient",,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,0,6,1,4,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.song.refresh_view.CircleImageView.elevationSupported",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.song.refresh_view.CircleImageView.onAnimationEnd",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.song.refresh_view.CircleImageView.onAnimationStart",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"com.song.refresh_view.CircleImageView.onMeasure",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,4,0,5,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.song.refresh_view.CircleImageView.setAnimationListener",,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.song.refresh_view.CircleImageView.setBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,3,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.song.refresh_view.CircleImageView.setBackgroundColorRes",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Class,"com.song.refresh_view.PullToRefreshView",2,2,2,1,12,0,9,2,3,4,4,0,,0,18,,,,68,40,68,68,5,17,3,43,,1184,145,803,223,502,247,,,,388,543,195,348,,,,,,15,10,20,13,,2,3,,94,88,0,31,146,137,179,102
Anonymous Class,"com.song.refresh_view.PullToRefreshView.(Anon_1)",2,2,2,1,6,0,6,0,1,3,3,0,,0,0,,,,3,0,3,3,0,0,0,3,,25,2,22,1,16,1,,,,5,11,3,8,,,,,,4,4,4,1,,2,3,,0,0,0,05,6,6,6,3
Public Method,"com.song.refresh_view.PullToRefreshView.(Anon_1).onAnimationEnd",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0,14,0,10,1,6,4,1,5,9,1,8,4,4,4,1,1,,,,,0,,3,0,,,0,07,4,4,4,1
