Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CameraActivity.java",2,2,2,1,10,1,9,0,,,,,1,0,1,3,,3,3,0,3,,0,0,1,2,,48,11,37,13,19,0,,,,18,25,12,13,,,,,,3,3,3,1,,,1,,,,0,00,6,6,6,3
File,"CameraFragment.java",1,1,2,1,12,1,9,1,,,,,6,1,6,40,,40,39,10,40,,0,18,0,22,,575,102,417,131,249,56,,,,221,298,120,178,,,,,,6,5,9,5,,,2,,,,0,13,78,75,85,44
File,"CameraSettingPreferences.java",1,1,1,1,7,1,6,0,,,,,1,3,1,3,,3,0,0,3,,0,1,2,0,,38,9,26,13,11,3,,,,14,20,13,7,,,,,,2,2,2,1,,,1,,,,0,12,5,5,5,3
File,"EditSavePhotoFragment.java",1,1,1,1,10,1,8,0,,,,,2,1,5,9,,9,8,0,9,,0,3,0,6,,137,30,103,51,58,4,,,,60,76,47,29,,,,,,4,4,6,1,,,2,,,,0,04,15,15,17,9
File,"ImageParameters.java",1,1,1,1,5,0,4,0,,,,,2,0,1,11,,11,11,7,11,,0,0,0,11,,95,23,69,23,37,3,,,,39,51,22,29,,,,,,2,2,2,1,,,0,,,,0,04,13,13,13,11
File,"ImageUtility.java",2,2,2,1,22,4,15,3,,,,,1,8,0,8,,8,0,0,8,,0,1,0,7,,219,44,149,58,99,29,,,,98,118,54,64,,,,,,6,6,7,4,,,2,,,,0,19,21,21,22,13
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,3,0,2,9,,9,9,1,9,,0,3,2,4,,111,16,94,41,48,1,,,,46,62,39,23,,,,,,3,3,4,1,,,2,,,,0,01,15,15,16,9
File,"ResizeAnimation.java",1,1,1,1,6,0,5,0,,,,,1,0,0,4,,4,4,4,4,,0,0,1,3,,49,9,35,18,12,5,,,,19,25,15,10,,,,,,2,2,2,1,,,1,,,,0,14,6,6,6,4
File,"RuntimePermissionActivity.java",1,1,1,1,10,0,9,0,,,,,5,1,2,13,,13,12,0,13,,0,5,2,6,,158,25,132,44,78,1,,,,61,88,46,42,,,,,,4,4,4,4,,,3,,,,0,01,25,25,25,16
File,"SquareCameraPreview.java",2,2,2,1,10,0,8,0,,,,,3,0,9,15,,15,15,12,15,,0,4,1,10,,220,38,172,66,100,10,,,,101,135,63,72,,,,,,6,5,9,5,,,2,,,,0,06,35,32,41,19
