Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,5,0,4,0,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,28,6,19,11,5,3,,,,12,15,10,5,,,,,,1,1,1,1,,,0,,,,0,16,2,2,2,2
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BackgroundDrawableSwitchCompat.java",1,1,1,1,6,0,5,0,,,,,3,0,3,14,,14,14,7,14,,0,3,0,11,,138,26,106,50,46,6,,,,63,81,46,35,,,,,,4,4,4,1,,,1,,,,0,06,19,19,19,14
File,"BrightSideFragment.java",1,1,1,1,4,0,4,0,,,,,1,2,0,5,,5,3,0,5,,2,0,0,3,,43,10,30,15,11,3,,,,15,21,12,9,,,,,,1,1,1,1,,,0,,,,0,10,5,5,5,5
File,"Buffers.java",3,3,3,1,34,9,24,1,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,48,13,31,16,15,4,,,,21,25,12,13,,,,,,3,3,3,1,,,2,,,,0,13,3,3,3,1
File,"CenterTopImageView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,1,1,3,,42,8,31,14,12,3,,,,16,23,13,10,,,,,,2,2,2,1,,,1,,,,0,10,6,6,6,5
File,"ClipRevealFrame.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,5,8,,0,1,0,7,,67,10,54,22,23,3,,,,33,43,21,22,,,,,,2,2,2,1,,,1,,,,0,06,9,9,9,8
File,"Const.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,17,4,10,9,7,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"Const.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,17,4,10,9,7,4,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,40,0,0,0,0
File,"DarkSideFragment.java",1,1,1,1,4,0,4,0,,,,,1,2,0,5,,5,3,0,5,,2,0,0,3,,44,11,30,15,11,3,,,,15,21,12,9,,,,,,1,1,1,1,,,0,,,,0,10,5,5,5,5
File,"DemoActivity.java",1,1,1,1,10,1,9,0,,,,,2,0,0,9,,9,9,4,9,,0,1,3,5,,143,24,113,50,54,6,,,,62,78,43,35,,,,,,4,4,5,3,,,2,,,,0,05,16,15,17,11
File,"DemoActivityInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,9,1,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"GenerateVerticesData.java",4,4,4,1,35,5,27,2,,,,,2,0,0,6,,6,6,1,6,,0,3,0,3,,218,41,161,64,124,16,,,,115,142,74,68,,,,,,9,9,9,1,,,3,,,,0,10,26,26,26,6
File,"GreetingFragmentInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,8,1,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"GreetingsFragment.java",1,1,1,1,3,0,3,0,,,,,1,1,1,6,,6,5,2,6,,1,0,0,5,,64,13,48,31,12,3,,,,27,34,24,10,,,,,,1,1,1,1,,,0,,,,0,06,6,6,6,6
File,"MathHelper.java",1,1,1,1,3,0,3,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,24,5,16,7,5,3,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,,0,19,4,4,4,4
File,"ParticleSystem.java",1,1,1,1,19,3,14,1,,,,,1,0,4,4,,4,4,2,4,,0,1,0,3,,117,25,82,34,54,10,,,,51,56,31,25,,,,,,1,1,1,1,,,0,,,,0,12,4,4,4,4
File,"ParticleSystemRenderer.java",1,1,1,1,13,2,9,1,,,,,1,0,0,11,,11,11,36,11,,0,2,0,9,,237,47,161,87,88,29,,,,124,140,83,57,,,,,,2,2,2,1,,,1,,,,0,18,15,15,15,11
File,"ParticlesGenerator.java",3,3,3,1,22,4,17,1,,,,,2,0,0,7,,7,7,1,7,,0,4,0,3,,178,42,127,60,96,13,,,,109,134,71,63,,,,,,8,8,8,1,,,2,,,,0,10,24,24,24,7
File,"ProfileAdapter.java",2,1,2,1,10,0,10,0,,,,,3,0,3,8,,8,8,9,8,,0,1,0,7,,143,17,121,51,62,5,,,,65,78,40,38,,,,,,6,2,6,1,,,1,,,,0,04,21,11,21,8
File,"ProfileAdapterListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,2,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"RawResourceReader.java",3,3,3,1,26,4,16,6,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,45,8,27,16,10,10,,,,14,18,13,5,,,,,,3,3,3,1,,,2,,,,0,37,3,3,3,1
File,"Renderable.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,9,1,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"ShaderHelper.java",5,5,5,1,40,7,22,10,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,95,21,53,16,32,21,,,,31,42,15,27,,,,,,6,6,6,1,,,3,,,,0,40,10,10,10,2
File,"ShaderType.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,15,3,9,8,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
