Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"StateButton.java",1,1,1,1,7,0,6,0,,,,,1,0,0,29,,29,29,23,29,,0,4,1,24,,301,58,220,73,138,23,,,,154,186,72,114,,,,,,2,2,3,1,,,1,,,,0,10,31,31,32,29
File,"StateConfig.java",1,1,1,1,4,0,4,0,,,,,2,1,0,39,,39,38,32,39,,0,1,0,38,,259,53,196,77,78,10,,,,114,155,77,78,,,,,,1,1,1,1,,,0,,,,0,05,39,39,39,39
File,"StateImageView.java",1,1,2,1,13,1,9,2,,,,,1,0,0,5,,5,5,6,5,,0,0,0,5,,103,23,65,22,36,15,,,,44,54,22,32,,,,,,4,4,4,1,,,1,,,,0,23,9,9,10,5
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.deadline",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.deadline.statebutton",1,1,1,1,5,0,5,0,,,,,4,1,0,,3,,72,61,73,,0,5,1,67,,663,134,481,172,252,48,,,,312,395,171,224,,,,,,4,4,4,1,,,1,,,,0,10,79,79,81,73
Public Class,"com.deadline.statebutton.StateButton",1,1,1,1,7,0,6,0,1,0,0,0,,0,0,,,,29,23,29,29,0,4,1,24,,286,55,208,61,138,23,,,,142,174,60,114,,,,,,2,2,3,1,,2,1,,85,66,0,11,31,31,32,29
Public Constructor,"com.deadline.statebutton.StateButton.StateButton",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.deadline.statebutton.StateButton.StateButton",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.deadline.statebutton.StateButton.StateButton",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.deadline.statebutton.StateButton.onMeasure",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setAnimationDuration",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setNormalBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setNormalStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setNormalStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setNormalTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setPressedBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setPressedStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setPressedStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setPressedTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,6,1,4,1,2,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,17,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setRound",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,2,4,0,3,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.deadline.statebutton.StateButton.setStateBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,8,1,6,1,4,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,0,12,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setStateStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setStateStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setStateTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.deadline.statebutton.StateButton.setStroke",,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,0,5,1,3,0,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.deadline.statebutton.StateButton.setStroke",,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setStrokeDash",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.deadline.statebutton.StateButton.setTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,5,2,3,1,1,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setUnableBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setUnableStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setUnableStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateButton.setUnableTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.deadline.statebutton.StateButton.setup",,,,,,,,,,,,,,,,,,,,,,,,,,,13,73,11,54,6,51,8,42,2,0,49,51,6,45,2,2,3,1,1,,,,,0,,1,0,,,0,15,2,2,3,1
Public Class,"com.deadline.statebutton.StateConfig",1,1,1,1,3,0,3,0,1,1,1,0,,1,0,,,,17,16,18,18,0,1,0,17,,253,51,192,73,78,10,,,,110,151,73,78,,,,,,1,1,1,1,,1,0,,88,88,0,05,18,18,18,18
Public Static Class,"com.deadline.statebutton.StateConfig.Builder",1,1,1,1,4,0,4,0,1,1,1,0,,0,0,,,,21,16,21,21,0,0,0,21,,137,27,105,38,45,5,,,,61,83,38,45,,,,,,1,1,1,1,,1,0,,92,92,0,05,21,21,21,21
Public Constructor,"com.deadline.statebutton.StateConfig.Builder.Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setDuration",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setNormalBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setNormalStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setNormalStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setNormalTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setPressedBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setPressedStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setPressedStrokeWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setPressedTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setStateBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.deadline.statebutton.StateConfig.Builder.setStateStrokeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
