Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ACache.java",2,2,2,1,12,0,8,3,,,,,4,21,6,56,,56,35,7,56,,0,26,0,30,,871,70,532,168,324,271,,,,264,387,169,218,,,,,,8,8,8,4,,,3,,,,0,51,117,117,123,68
File,"ActivityPresenter.java",1,1,1,1,5,0,5,0,,,,,1,0,0,10,,11,11,1,11,,0,0,8,3,,109,16,72,26,31,21,,,,32,48,22,26,,,,,,4,4,4,1,,,2,,,,0,29,17,17,17,10
File,"AllAPI.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,92,10,47,46,0,37,,,,22,23,23,0,,,,,,0,0,0,0,,,0,,,,0,79,0,0,0,0
File,"AppDelegate.java",1,1,1,1,4,0,4,0,,,,,1,0,0,13,,14,14,3,14,,0,0,0,14,,116,19,76,37,24,21,,,,34,53,33,20,,,,,,3,3,3,1,,,1,,,,0,28,17,17,17,13
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseRecyclerViewDelegate.java",1,1,1,1,6,0,4,1,,,,,2,0,0,11,,13,13,9,13,,2,2,0,9,,143,16,93,52,27,38,,,,50,64,40,24,,,,,,2,2,2,1,,,1,,,,0,41,14,14,14,11
File,"BizInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,14,0,,0,0,0,0,,128,8,17,16,14,106,,,,15,16,16,0,,,,,,0,0,0,0,,,0,,,,6,24,0,0,0,0
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,21,1,7,4,3,13,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,86,0,0,0,0
File,"CrashHandler.java",1,1,1,1,7,0,6,1,,,,,1,1,1,5,,5,4,2,5,,0,0,0,5,,69,9,41,21,23,19,,,,25,31,20,11,,,,,,1,1,1,1,,,0,,,,0,46,5,5,5,5
File,"DataBindActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,3,3,1,3,,0,0,1,2,,46,7,19,12,4,20,,,,10,14,10,4,,,,,,2,2,2,1,,,1,,,,1,05,3,3,3,2
File,"DataBindFragment.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,3,3,1,3,,0,0,0,3,,48,8,20,13,4,20,,,,11,15,11,4,,,,,,2,2,2,1,,,1,,,,1,00,3,3,3,2
File,"DataBinder.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,45,5,6,5,0,34,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,5,67,0,0,0,0
File,"DeviceUtil.java",2,2,2,1,15,0,12,3,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,33,2,18,9,9,13,,,,11,14,9,5,,,,,,2,2,2,1,,,1,,,,0,72,2,2,2,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FragmentPresenter.java",1,1,1,1,6,0,6,0,,,,,1,0,0,9,,10,10,2,10,,0,0,4,6,,117,18,78,32,31,21,,,,36,51,24,27,,,,,,4,4,4,1,,,2,,,,0,27,16,16,16,9
File,"GlideUtil.java",1,1,1,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,30,4,16,8,6,10,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"IDelegate.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,41,7,14,13,0,20,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,1,43,0,0,0,0
File,"IModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,24,1,3,2,0,20,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,6,67,0,0,0,0
File,"InputUtil.java",8,8,9,7,40,2,33,8,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,62,6,41,14,24,18,,,,23,32,15,17,,,,,,8,8,9,7,,,4,,,,0,44,8,8,9,7
File,"ListItemDecoration.java",2,2,2,1,11,1,10,0,,,,,1,0,1,5,,5,5,2,5,,0,2,0,3,,91,14,66,36,36,11,,,,42,53,35,18,,,,,,2,2,3,1,,,1,,,,0,17,10,10,11,5
File,"LoadingView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,19,2,7,6,0,10,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,43,0,0,0,0
File,"MainActivity.java",1,1,1,1,7,0,5,0,,,,,1,0,0,9,,9,9,2,9,,0,0,5,4,,129,19,84,42,32,26,,,,46,59,33,26,,,,,,2,2,2,1,,,1,,,,0,31,12,12,12,9
File,"MainActivityDelegate.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,47,8,28,18,5,12,,,,14,19,14,5,,,,,,1,1,1,1,,,0,,,,0,43,4,4,4,4
File,"MyApplication.java",1,1,1,1,10,0,8,1,,,,,2,1,2,4,,4,3,0,4,,0,1,0,3,,74,9,45,18,19,20,,,,25,32,18,14,,,,,,2,2,3,1,,,1,,,,0,44,6,6,7,4
File,"MySwipeBackActivity.java",1,1,1,1,6,0,5,1,,,,,1,0,0,7,,7,7,1,7,,0,0,3,4,,84,10,58,29,22,22,,,,31,42,23,19,,,,,,3,3,3,1,,,1,,,,0,38,10,10,11,7
File,"NetTransformer.java",2,2,2,1,12,0,8,3,,,,,2,0,0,5,,5,5,4,5,,0,0,0,5,,99,13,63,23,35,23,,,,30,41,22,19,,,,,,4,4,4,1,,,1,,,,0,37,10,10,10,5
File,"NetUtil.java",2,2,2,1,12,1,7,3,,,,,1,3,0,4,,4,1,0,4,,0,1,0,3,,68,12,40,20,20,16,,,,20,29,17,12,,,,,,4,4,5,4,,,3,,,,0,40,8,8,9,7
File,"NewsBody.java",1,1,1,1,3,0,3,0,,,,,1,0,0,22,,22,22,11,22,,0,0,0,22,,115,24,81,36,22,21,,,,35,58,36,22,,,,,,1,1,1,1,,,0,,,,0,26,22,22,22,22
File,"NewsDetailActivity.java",1,1,1,1,8,0,8,0,,,,,2,0,3,4,,4,4,4,4,,0,0,3,1,,77,9,47,19,28,21,,,,29,35,17,18,,,,,,2,2,2,1,,,1,,,,0,45,5,5,5,4
File,"NewsDetailActivityDelegate.java",1,1,1,1,6,0,5,0,,,,,2,0,0,10,,10,10,5,10,,0,1,0,9,,102,14,74,36,28,17,,,,40,51,31,20,,,,,,1,1,1,1,,,0,,,,0,23,10,10,10,10
File,"NewsFragment.java",1,1,1,1,10,0,9,1,,,,,4,1,0,12,,12,11,4,12,,0,2,3,7,,157,21,110,43,55,26,,,,58,76,42,34,,,,,,4,4,5,1,,,3,,,,0,24,17,17,19,12
File,"NewsFragmentDelegate.java",1,1,1,1,10,0,8,1,,,,,2,0,0,5,,5,5,2,5,,2,0,0,3,,70,9,39,13,19,22,,,,18,25,14,11,,,,,,2,2,4,1,,,1,,,,0,56,6,6,8,5
File,"NewsImage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,41,7,24,11,6,13,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,54,6,6,6,6
File,"NewsListAdapter.java",1,1,1,1,6,0,6,0,,,,,4,0,2,11,,12,12,7,12,,1,0,0,11,,156,25,110,55,44,23,,,,52,74,45,29,,,,,,3,3,4,3,,,2,,,,0,21,19,19,20,13
File,"NewsModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,26,3,7,6,0,16,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,29,0,0,0,0
File,"NewsModelImpl.java",1,1,1,1,27,3,7,17,,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,53,8,18,13,7,29,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,1,61,1,1,1,1
File,"OnNetRequestListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,35,4,7,6,0,24,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,3,43,0,0,0,0
File,"OpenApiPicture.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,48,9,24,11,6,15,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,62,6,6,6,6
File,"OpenApiResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,1,7,,7,7,3,7,,0,0,0,7,,51,8,28,13,8,15,,,,12,20,13,7,,,,,,1,1,1,1,,,0,,,,0,54,7,7,7,7
File,"OpenApiWeather.java",1,1,1,1,3,0,3,0,,,,,3,0,0,36,,36,36,18,36,,0,0,0,36,,212,44,134,59,36,34,,,,56,95,59,36,,,,,,1,1,1,1,,,0,,,,0,25,36,36,36,36
File,"PictureBody.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,6,12,,0,0,0,12,,70,14,46,21,12,16,,,,20,33,21,12,,,,,,1,1,1,1,,,0,,,,0,35,12,12,12,12
File,"PictureGridAdapter.java",1,1,1,1,5,0,4,0,,,,,3,0,0,7,,8,8,5,8,,1,0,0,7,,96,15,66,40,18,15,,,,36,48,34,14,,,,,,2,2,2,1,,,1,,,,0,23,9,9,9,7
File,"PictureImage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,41,7,24,11,6,13,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,54,6,6,6,6
File,"PicturesFragment.java",1,1,1,1,10,1,7,2,,,,,4,1,0,14,,14,13,5,14,,0,1,3,10,,176,28,103,37,52,45,,,,49,67,37,30,,,,,,3,3,3,1,,,2,,,,0,44,17,17,17,14
File,"PicturesFragmentDelegate.java",1,1,1,1,10,0,9,1,,,,,5,0,1,10,,11,11,2,11,,3,0,0,8,,133,17,96,31,56,23,,,,50,66,33,33,,,,,,6,3,6,1,,,1,,,,0,24,17,14,18,10
File,"PicturesModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,22,4,8,7,0,10,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,25,0,0,0,0
File,"PicturesModelImpl.java",1,1,1,1,44,6,6,32,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,70,11,17,13,4,42,,,,11,13,11,2,,,,,,1,1,1,1,,,0,,,,2,47,1,1,1,1
File,"ProgressLayout.java",1,1,1,1,6,0,5,0,,,,,2,0,2,20,,18,20,13,20,,0,6,1,13,,200,36,133,49,62,31,,,,73,101,47,54,,,,,,3,3,4,1,,,1,,,,0,23,28,28,32,20
File,"RatioImageView.java",1,1,1,1,6,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,1,4,,61,16,36,16,14,9,,,,17,25,15,10,,,,,,3,3,4,1,,,2,,,,0,25,7,7,8,5
File,"RetrofitService.java",2,2,2,1,17,0,13,3,,,,,2,3,6,6,,6,3,0,6,,0,2,0,4,,140,16,93,44,50,33,,,,46,60,41,19,,,,,,3,3,3,1,,,2,,,,0,35,13,13,13,6
File,"RetryWithDelay.java",1,1,1,1,8,0,8,0,,,,,2,0,0,3,,3,3,4,3,,0,0,0,3,,40,7,29,14,11,4,,,,17,22,15,7,,,,,,2,2,2,1,,,1,,,,0,14,4,4,4,3
File,"SectionsPagerAdapter.java",2,1,2,1,8,0,7,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,64,6,45,18,20,13,,,,21,28,15,13,,,,,,4,2,4,1,,,1,,,,0,29,10,6,10,4
File,"ShowApiNews.java",1,1,1,1,3,0,3,0,,,,,2,0,0,14,,14,14,7,14,,0,0,0,14,,81,16,55,25,14,10,,,,23,39,25,14,,,,,,1,1,1,1,,,0,,,,0,18,14,14,14,14
File,"ShowApiPictures.java",1,1,1,1,3,0,3,0,,,,,2,0,0,14,,14,14,7,14,,0,0,0,14,,81,16,55,25,14,10,,,,23,39,25,14,,,,,,1,1,1,1,,,0,,,,0,18,14,14,14,14
File,"ShowApiResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,41,7,24,11,6,10,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,42,6,6,6,6
File,"ShowApiWeather.java",1,1,1,1,3,0,3,0,,,,,3,0,0,56,,56,56,28,56,,0,0,0,56,,274,59,203,88,56,34,,,,85,144,88,56,,,,,,1,1,1,1,,,0,,,,0,17,56,56,56,56
File,"SwipeRefreshAndLoadMoreCallBack.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,24,2,5,4,0,17,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,40,0,0,0,0
