Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"CheckBoxPreference.java",3,3,4,1,22,1,16,3,,,,,2,0,0,7,,7,7,8,7,,0,1,2,4,,189,27,136,49,79,26,,,,73,100,47,53,,,,,,16,16,21,1,,,3,,,,0,19,26,26,31,7
File,"FrameAnimationController.java",1,1,1,1,6,0,6,0,,,,,2,2,3,4,,4,2,0,4,,0,1,0,3,,43,9,34,14,17,0,,,,17,25,14,11,,,,,,3,3,3,1,,,2,,,,0,00,6,6,6,4
File,"MovableCheckboxActivity.java",1,1,1,1,6,0,5,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,2,12,7,3,1,,,,7,9,6,3,,,,,,1,1,1,1,,,0,,,,0,08,1,1,1,1
File,"R.java",0,0,0,0,0,0,0,0,,,,,9,0,58,0,,0,0,0,0,,0,0,0,0,,487,38,83,75,62,366,,,,60,68,68,0,,,,,,0,0,0,0,,,0,,,,4,41,0,0,0,0
File,"SwitchButton.java",1,1,1,1,10,0,8,1,,,,,4,0,0,24,,24,24,37,24,,1,8,2,13,,381,82,256,94,135,50,,,,158,199,89,110,,,,,,10,8,12,3,,,3,,,,0,20,45,43,47,26
Package,"me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.imid",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.imid.movablecheckbox",1,1,1,1,6,0,5,1,,,,,11,0,59,,3,,1,0,1,,0,0,0,1,,508,41,99,85,66,368,,,,69,80,77,3,,,,,,1,1,1,1,,,0,,,,3,72,1,1,1,1
Public Class,"me.imid.movablecheckbox.BuildConfig",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,2,2,1,1,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,50,0,0,0,0
Public Class,"me.imid.movablecheckbox.MovableCheckboxActivity",1,1,1,1,6,0,5,1,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,7,3,3,1,,,,3,5,2,3,,,,,,1,1,1,1,,2,0,,0,0,0,14,1,1,1,1
Public Method,"me.imid.movablecheckbox.MovableCheckboxActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,5,1,3,1,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Class,"me.imid.movablecheckbox.R",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,478,36,82,74,62,360,,,,59,67,67,0,,,,,,0,0,0,0,,1,0,,0,0,4,39,0,0,0,0
Public Static Class,"me.imid.movablecheckbox.R.attr",0,0,0,0,0,0,0,0,1,0,0,0,,0,18,,,,0,0,0,0,0,0,0,0,,142,0,20,19,18,122,,,,18,19,19,0,,,,,,0,0,0,0,,1,0,,0,0,6,10,0,0,0,0
Public Static Class,"me.imid.movablecheckbox.R.dimen",0,0,0,0,0,0,0,0,1,0,0,0,,0,4,,,,0,0,0,0,0,0,0,0,,6,0,6,5,4,0,,,,4,5,5,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"me.imid.movablecheckbox.R.drawable",0,0,0,0,0,0,0,0,1,0,0,0,,0,6,,,,0,0,0,0,0,0,0,0,,8,0,8,7,6,0,,,,6,7,7,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"me.imid.movablecheckbox.R.id",0,0,0,0,0,0,0,0,1,0,0,0,,0,5,,,,0,0,0,0,0,0,0,0,,7,0,7,6,5,0,,,,5,6,6,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"me.imid.movablecheckbox.R.layout",0,0,0,0,0,0,0,0,1,0,0,0,,0,3,,,,0,0,0,0,0,0,0,0,,5,0,5,4,3,0,,,,3,4,4,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
