Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseFragment.java",1,1,1,1,6,0,6,0,,,,,2,1,0,7,,8,7,4,8,,0,0,3,5,,81,18,63,31,25,0,,,,36,47,29,18,,,,,,3,3,3,1,,,2,,,,0,00,10,10,10,7
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FragmentListView.java",1,1,1,1,11,1,10,0,,,,,3,1,0,9,,9,8,2,9,,0,0,2,7,,111,22,88,20,59,1,,,,32,47,23,24,,,,,,6,6,6,1,,,1,,,,0,01,14,14,14,9
File,"FragmentRecyclerView.java",1,1,1,1,6,0,5,0,,,,,3,1,0,7,,7,6,2,7,,0,0,2,5,,73,17,56,21,30,0,,,,29,38,22,16,,,,,,2,2,2,1,,,1,,,,0,00,8,8,8,7
File,"MainActivity.java",1,1,1,1,13,2,10,0,,,,,4,0,0,13,,13,13,6,13,,0,1,1,11,,200,44,149,58,88,7,,,,82,106,54,52,,,,,,7,7,7,1,,,1,,,,0,05,23,23,23,13
File,"TEmptyView.java",1,1,1,1,3,0,3,0,,,,,1,3,1,18,,18,15,12,18,,0,0,0,18,,121,27,91,40,36,3,,,,53,72,40,32,,,,,,2,2,2,1,,,0,,,,0,03,21,21,21,18
File,"TViewUtil.java",2,2,2,1,8,0,7,0,,,,,4,7,0,27,,25,20,15,27,,0,4,0,23,,289,47,238,75,139,4,,,,119,175,70,105,,,,,,20,20,37,1,,,2,,,,0,02,58,58,75,27
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.barryzhang",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
