Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,
File,DisplayUtil.java,2,2,2,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,1,0,0,0,,16,3,9,5,3,4,,,,5,8,5,3,,,,,,2,2,2,1,,,1,,,,0,44,2,2,2,1
File,ExampleInstrumentedTest.java,1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,ExampleInstrumentedTest.java,1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,ExampleUnitTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,ExampleUnitTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,MainActivity.java,1,1,1,1,9,0,8,0,,,,,5,0,1,5,,5,5,2,5,,0,0,1,4,,55,9,46,16,25,0,,,,25,31,19,12,,,,,,1,1,1,1,,,0,,,,0,0,5,5,5,5
File,OnCheckedChangeListener.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,2,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,0,0,0,0,0
File,TickAnimatorListener.java,1,1,1,1,3,1,2,0,,,,,2,0,0,2,,4,4,0,4,,2,0,0,2,,24,7,13,9,0,4,,,,3,7,7,0,,,,,,1,1,1,1,,,0,,,,0,31,2,2,2,2
File,TickRateEnum.java,1,1,1,1,4,0,4,0,,,,,1,1,3,10,,8,9,6,10,,1,0,0,9,,75,14,56,20,29,5,,,,30,39,17,22,,,,,,4,2,4,1,,,1,,,,0,9,13,11,13,10
File,TickView.java,1,1,1,1,11,0,9,1,,,,,5,0,1,32,,32,32,19,32,,0,17,2,13,,424,61,308,91,198,55,,,,189,244,94,150,,,,,,8,8,8,1,,,2,,,,0,18,59,57,59,32
File,TickViewConfig.java,1,1,1,1,4,0,4,0,,,,,2,0,2,26,,26,26,11,26,,2,1,0,23,,185,41,137,51,61,7,,,,61,91,49,42,,,,,,2,2,2,1,,,1,,,,0,5,28,28,28,26
'Android', 'ChengangFeng/TickView', 11, 11, 11, 10, 54, 3, 46, 3, 0, 0, 0, 0, 21, 2, 7, 80, 0, 81, 81, 38, 83, 0, 7, 18, 3, 55, 0, 875, 153, 621, 231, 322, 101, 0, 0, 0, 341, 457, 224, 233, 0, 0, 0, 0, 0, 22, 20, 22, 10, 0, 0, 5, 0, 0, 0, 1, 299, 113, 109, 113, 80
