Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"InputSurface.java",2,2,2,1,11,0,10,0,,,,,1,0,3,8,,8,8,4,8,,0,2,0,6,,120,14,106,44,56,0,,,,53,72,34,38,,,,,,6,6,6,1,,,1,,,,0,00,18,18,18,8
File,"MP4Builder.java",2,2,2,1,12,1,11,0,,,,,2,1,0,28,,28,27,12,28,,0,2,10,16,,436,69,367,131,237,0,,,,250,314,138,176,,,,,,6,6,6,1,,,3,,,,0,00,58,58,61,28
File,"MainActivity.java",1,1,1,1,14,0,12,0,,,,,4,2,1,13,,13,11,10,13,,0,2,3,8,,160,23,130,48,73,8,,,,75,93,49,44,,,,,,4,4,6,1,,,3,,,,0,06,17,17,19,13
File,"Mp4Movie.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,73,14,59,25,24,0,,,,29,45,24,21,,,,,,5,5,5,1,,,1,,,,0,00,15,15,16,10
File,"OutputSurface.java",2,2,2,1,10,0,10,0,,,,,1,0,2,13,,13,13,13,13,,0,3,0,10,,191,21,170,61,97,0,,,,90,121,47,74,,,,,,6,6,6,1,,,3,,,,0,00,28,28,29,13
File,"Sample.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,19,4,15,7,6,0,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"TextureRenderer.java",2,2,2,1,16,0,16,0,,,,,1,0,7,8,,8,8,10,8,,0,2,0,6,,197,18,179,51,126,0,,,,111,134,43,91,,,,,,7,7,7,4,,,1,,,,0,00,22,22,22,11
File,"Track.java",1,1,1,1,11,0,10,0,,,,,1,0,1,16,,16,16,16,16,,0,0,0,16,,255,34,219,78,149,2,,,,168,193,77,116,,,,,,5,5,5,1,,,3,,,,0,01,24,24,27,16
File,"Util.java",2,2,2,1,14,0,13,0,,,,,1,11,0,11,,11,0,0,11,,0,0,0,11,,195,19,174,58,115,3,,,,107,135,56,79,,,,,,12,12,13,7,,,3,,,,0,02,27,27,28,17
