Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsListViewDelegate.java",3,3,4,2,15,2,12,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,62,11,35,16,20,16,,,,20,27,15,12,,,,,,3,3,4,3,,,1,,,,0,46,6,6,8,4
File,"BaseViewPagerFragment.java",2,2,2,1,9,0,8,0,,,,,1,0,1,3,,3,3,2,3,,0,0,0,3,,48,8,40,17,17,0,,,,19,27,14,13,,,,,,3,3,3,1,,,1,,,,0,00,7,7,7,3
File,"ListViewFragment.java",1,1,1,1,6,0,6,0,,,,,1,1,0,6,,6,5,3,6,,0,0,0,6,,71,9,62,32,27,0,,,,37,45,27,18,,,,,,3,2,3,1,,,1,,,,0,00,8,7,8,6
File,"MainActivity.java",1,1,1,1,9,1,8,0,,,,,2,0,2,16,,16,16,8,16,,0,3,1,12,,222,46,175,64,97,8,,,,82,109,55,54,,,,,,5,5,6,1,,,2,,,,0,05,30,27,31,16
File,"ScrollViewDelegate.java",2,2,2,2,9,1,8,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,31,6,25,12,12,0,,,,15,20,12,8,,,,,,3,3,3,3,,,1,,,,0,00,4,4,4,4
File,"ScrollViewFragment.java",1,1,1,1,9,0,9,0,,,,,1,1,0,5,,5,4,2,5,,0,1,0,4,,75,9,65,32,32,1,,,,40,50,30,20,,,,,,3,3,3,1,,,2,,,,0,02,9,9,9,5
File,"ScrollableFragmentListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,8,3,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ScrollableListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,7,2,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"SlidingTabLayout.java",2,2,2,1,11,1,8,2,,,,,4,0,3,18,,19,19,9,19,,1,2,2,14,,324,50,196,73,100,78,,,,107,149,69,80,,,,,,8,8,9,3,,,2,,,,0,40,39,39,45,20
File,"SlidingTabStrip.java",1,1,1,1,10,1,7,1,,,,,2,2,4,10,,10,8,10,10,,6,2,1,1,,167,32,107,55,57,28,,,,70,85,52,33,,,,,,5,5,6,1,,,3,,,,0,26,14,14,15,10
