Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"IWsManager.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,27,11,13,12,0,3,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,23,0,0,0,0
File,"MainActivity.java",1,1,1,1,12,0,12,0,,,,,6,0,1,17,,17,17,10,17,,0,2,2,13,,222,20,201,55,127,2,,,,100,127,61,66,,,,,,4,4,5,1,,,3,,,,0,01,26,26,28,17
File,"Spanny.java",1,1,1,1,8,0,5,3,,,,,2,2,0,14,,15,13,1,15,,1,1,0,13,,181,19,85,29,39,78,,,,41,65,30,35,,,,,,3,3,3,1,,,2,,,,0,92,19,19,19,14
File,"TestOkHttpWebSocket.java",1,1,1,1,12,0,9,1,,,,,4,4,4,16,,16,12,0,16,,0,3,0,13,,149,21,114,27,78,16,,,,60,79,36,43,,,,,,2,2,2,1,,,1,,,,0,14,18,18,18,16
File,"WsManager.java",1,1,1,1,7,0,7,0,,,,,10,0,2,36,,36,36,18,36,,0,8,0,28,,351,39,305,77,175,13,,,,119,189,78,111,,,,,,6,6,6,3,,,3,,,,0,04,69,68,70,40
File,"WsStatus.java",0,0,0,0,0,0,0,0,,,,,3,0,8,0,,0,0,0,0,,0,0,0,0,,25,7,15,12,8,3,,,,9,12,12,0,,,,,,0,0,0,0,,,0,,,,0,20,0,0,0,0
File,"WsStatusListener.java",1,1,1,1,2,0,2,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,33,11,19,11,0,3,,,,3,11,11,0,,,,,,1,1,1,1,,,0,,,,0,16,7,7,7,7
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.rabtman",1,1,1,1,12,0,9,1,,,,,4,4,4,,1,,12,0,16,,0,3,0,13,,149,21,114,27,78,16,,,,60,79,36,43,,,,,,2,2,2,1,,,1,,,,0,14,18,18,18,16
Public Class,"com.rabtman.TestOkHttpWebSocket",1,1,1,1,30,3,24,3,1,0,0,0,,4,4,,,,0,0,4,4,0,3,0,1,,135,18,103,16,78,16,,,,49,68,25,43,,,,,,1,1,1,1,,1,0,,91,91,0,16,4,4,4,4
Private Static Method,"com.rabtman.TestOkHttpWebSocket.initMockServer",,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,5,38,1,30,3,2,1,0,18,25,6,19,1,1,1,1,0,,,,,0,,0,0,,,0,08,1,1,1,1
Anonymous Class,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3)",1,1,1,1,6,0,5,0,1,1,1,0,,0,0,,,,5,0,5,5,0,0,0,5,,42,4,35,0,29,3,,,,17,23,5,18,,,,,,2,2,2,1,,2,1,,0,0,0,09,6,6,6,5
Public Method,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3).onClosed",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,0,3,1,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3).onClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3).onFailure",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,5,0,4,1,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3).onMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,10,0,8,1,4,2,0,6,8,1,7,2,2,2,1,1,,,,,0,,1,0,,,0,10,2,2,2,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initMockServer.(Anon_3).onOpen",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,0,5,0,3,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"com.rabtman.TestOkHttpWebSocket.initWsClient",,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,7,42,5,34,8,3,1,0,18,25,9,16,1,1,1,1,0,,,,,0,,0,0,,,0,19,1,1,1,1
Anonymous Class,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2)",1,1,1,1,5,0,4,0,1,1,1,0,,0,0,,,,6,0,6,6,0,0,0,6,,45,6,34,0,28,5,,,,15,21,6,15,,,,,,1,1,1,1,,2,0,,0,0,0,15,6,6,6,6
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onClosed",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,0,3,1,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onFailure",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,5,0,4,1,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,0,3,1,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.rabtman.TestOkHttpWebSocket.initWsClient.(Anon_2).onOpen",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,8,0,7,2,5,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Static Method,"com.rabtman.TestOkHttpWebSocket.main",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,5,1,3,1,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Private Static Method,"com.rabtman.TestOkHttpWebSocket.startTask",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,12,4,8,2,2,1,0,6,9,4,5,1,1,1,1,0,,,,,0,,0,0,,,0,17,1,1,1,1
Anonymous Class,"com.rabtman.TestOkHttpWebSocket.startTask.(Anon_1)",2,2,2,1,7,0,5,2,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,0,7,2,6,2,,,,3,5,2,3,,,,,,2,2,2,1,,2,1,,0,0,0,29,2,2,2,1
Public Method,"com.rabtman.TestOkHttpWebSocket.startTask.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,5,1,4,2,3,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,0,40,2,2,2,1
Package,"com.rabtman.wsdemo",1,1,1,1,10,0,8,1,,,,,10,2,1,,4,,32,11,34,,1,3,2,28,,446,47,310,102,169,91,,,,154,209,106,103,,,,,,4,4,5,1,,,3,,,,0,29,47,47,49,33
Public Class,"com.rabtman.wsdemo.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.rabtman.wsdemo.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.rabtman.wsdemo.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,1,00,1,1,1,1
Public Method,"com.rabtman.wsdemo.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.rabtman.wsdemo.MainActivity",1,1,1,1,19,0,19,0,1,2,2,0,,0,1,,,,6,10,6,6,0,2,2,2,,191,18,172,26,127,2,,,,71,98,32,66,,,,,,2,2,2,1,,2,1,,86,86,0,01,9,9,9,6
Anonymous Class,"com.rabtman.wsdemo.MainActivity.(Anon_1)",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,7,0,7,14,0,0,0,7,,51,6,45,1,38,0,,,,14,21,7,14,,,,,,1,1,1,1,,2,0,,0,0,0,00,7,7,7,7
Public Method,"com.rabtman.wsdemo.MainActivity.(Anon_1).onClosed",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,0,4,0,5,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.rabtman.wsdemo.MainActivity.(Anon_1).onClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,0,4,0,5,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.rabtman.wsdemo.MainActivity.(Anon_1).onFailure",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,0,4,0,5,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
