Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,24,6,13,9,4,5,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractController.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,38,6,27,16,11,5,,,,23,25,16,9,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,77,10,38,24,11,29,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,76,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"AbstractTest.java",1,1,1,1,8,0,5,3,,,,,1,2,0,3,,3,1,9,3,,0,0,0,3,,63,8,38,24,11,17,,,,26,30,20,10,,,,,,1,1,1,1,,,0,,,,0,45,3,3,3,3
File,"ActivitiAction.java",1,1,1,1,6,0,3,2,,,,,1,0,0,4,,4,4,6,4,,0,0,0,4,,78,14,50,40,5,14,,,,25,30,26,4,,,,,,1,1,1,1,,,0,,,,0,28,4,4,4,4
File,"ActivitiCdiAction.java",1,1,1,1,8,0,5,3,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,48,10,28,19,6,10,,,,17,20,14,6,,,,,,1,1,1,1,,,0,,,,0,36,2,2,2,2
File,"ActivitiCdiEventListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,18,5,9,6,1,4,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,44,1,1,1,1
File,"ActivitiController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,74,13,58,43,14,3,,,,34,40,31,9,,,,,,1,1,1,1,,,0,,,,0,05,5,5,5,5
File,"ActivitiDao.java",1,1,1,1,7,0,4,3,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,45,8,23,16,7,14,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,61,3,3,3,3
File,"ActivitiDao.java",1,1,1,1,7,0,4,3,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,45,8,23,16,7,14,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,61,3,3,3,3
File,"ActivitiDao.java",1,1,1,1,7,0,4,3,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,45,8,23,16,7,14,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,61,3,3,3,3
