Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAirsonicRestApiJukeboxIntTest.java",1,1,1,1,11,0,9,0,,,,,3,2,7,18,,19,14,11,16,,0,8,1,7,,283,35,233,99,124,16,,,,122,141,74,67,,,,,,2,2,2,1,,,1,,,,0,07,19,19,19,18
File,"AbstractChartController.java",1,1,1,1,7,0,4,3,,,,,1,0,0,3,,3,3,0,3,,0,1,2,0,,61,11,20,13,6,30,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,1,50,3,3,3,3
File,"AbstractDao.java",1,1,1,1,5,0,5,0,,,,,1,0,1,21,,21,20,1,20,,0,1,15,4,,184,30,126,70,70,28,,,,83,105,69,36,,,,,,3,3,3,1,,,1,,,,0,22,32,32,32,21
File,"AccessDeniedController.java",1,1,1,1,4,0,4,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,29,7,19,15,3,3,,,,12,14,12,2,,,,,,1,1,1,1,,,0,,,,0,16,1,1,1,1
File,"AdvancedSettingsCommand.java",1,1,1,1,2,0,2,0,,,,,1,0,0,37,,37,37,18,37,,0,0,0,37,,198,46,132,58,36,20,,,,56,94,58,36,,,,,,1,1,1,1,,,0,,,,0,15,37,37,37,37
File,"AdvancedSettingsController.java",3,3,3,1,32,6,26,1,,,,,1,0,0,2,,2,2,1,2,,0,0,2,0,,115,22,73,22,46,22,,,,52,60,17,43,,,,,,6,6,6,1,,,1,,,,0,30,7,7,7,2
File,"AirsonicRestApiIntTest.java",1,1,1,1,8,0,8,0,,,,,1,1,6,2,,2,1,1,2,,0,0,0,2,,59,10,49,34,17,1,,,,26,29,27,2,,,,,,1,1,1,1,,,0,,,,0,02,2,2,2,2
File,"AirsonicRestApiJukeboxIntTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,2,1,2,,0,0,1,1,,38,7,31,19,11,0,,,,21,24,15,9,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AirsonicRestApiJukeboxLegacyIntTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,3,4,,0,0,1,3,,62,10,52,33,15,0,,,,31,36,22,14,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"AirsonicServer.java",1,1,1,1,7,0,7,0,,,,,1,0,0,1,,3,3,0,3,,3,0,0,0,,20,5,15,8,5,0,,,,11,13,8,5,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
