Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AutoFitTextureView.java",1,1,2,1,8,0,6,1,,,,,1,0,0,5,,5,5,2,5,,0,0,1,4,,79,10,43,15,22,26,,,,20,30,14,16,,,,,,3,3,5,1,,,2,,,,0,60,9,9,12,5
File,"Camera2RawFragment.java",2,2,2,1,16,1,11,3,,,,,20,9,12,79,,79,70,43,79,,0,30,0,49,,1848,220,1084,321,678,547,,,,497,706,297,409,,,,,,10,10,16,7,,,3,,,,0,50,185,182,209,109
File,"CameraActivity.java",2,2,2,1,9,0,9,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,38,5,15,6,6,18,,,,6,9,5,4,,,,,,2,2,2,1,,,1,,,,1,20,2,2,2,1
File,"SampleTests.java",1,1,1,1,6,0,3,3,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,57,10,17,9,4,30,,,,8,12,8,4,,,,,,1,1,1,1,,,0,,,,1,76,3,3,3,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.android.camera2raw",2,2,2,1,16,0,11,3,,,,,22,9,12,,3,,76,45,85,,0,30,2,53,,1965,235,1142,342,706,591,,,,523,745,316,429,,,,,,10,10,16,7,,,3,,,,0,52,196,193,223,115
Public Class,"com.example.android.camera2raw.AutoFitTextureView",1,1,2,1,8,0,6,1,1,0,0,0,,0,0,,,,5,2,5,5,0,0,1,4,,57,7,39,11,22,11,,,,16,26,10,16,,,,,,3,3,5,1,,2,2,,60,60,0,28,9,9,12,5
Public Constructor,"com.example.android.camera2raw.AutoFitTextureView.AutoFitTextureView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.example.android.camera2raw.AutoFitTextureView.AutoFitTextureView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.example.android.camera2raw.AutoFitTextureView.AutoFitTextureView",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.example.android.camera2raw.AutoFitTextureView.onMeasure",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,14,3,10,0,3,3,0,6,9,3,6,3,3,4,1,2,,,,,0,,2,0,,,0,00,3,3,4,1
Public Method,"com.example.android.camera2raw.AutoFitTextureView.setAspectRatio",,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,0,11,1,7,8,3,4,1,5,8,1,7,3,3,5,1,1,,,,,0,,1,0,,,0,73,3,3,5,1
Public Class,"com.example.android.camera2raw.Camera2RawFragment",3,3,3,1,25,1,16,7,3,7,7,0,,7,12,,,,27,28,34,34,0,27,0,7,,1759,216,1014,251,678,532,,,,427,636,227,409,,,,,,10,10,14,5,,2,3,,92,87,0,52,103,102,116,56
