Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,6,1,5,0,,,,,1,0,1,,1,,2,1,2,,0,1,0,1,,51,11,40,33,13,0,,,,29,32,28,4,,,,,,1,1,2,1,,,0,,,,0,00,3,3,4,3
File,"AccessTokenEnvelope.java",1,1,1,1,3,0,3,0,,,,,2,1,0,1,,7,6,0,7,,0,0,0,7,,28,7,21,17,1,0,,,,12,15,14,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AccessTokenPreference.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,7,2,5,4,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Activity.java",1,1,1,1,3,0,3,0,,,,,2,1,0,1,,17,16,0,17,,0,0,0,17,,38,7,31,27,1,0,,,,22,25,24,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Activity.java",1,1,1,1,4,0,4,0,,,,,3,1,17,2,,18,17,0,18,,0,0,0,18,,77,12,65,56,22,0,,,,45,50,48,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ActivityEnvelope.java",1,1,1,1,3,0,3,0,,,,,6,3,0,3,,17,14,0,17,,0,0,0,17,,65,14,51,39,3,0,,,,24,33,30,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ActivityEnvelopeFactory.java",1,1,1,1,5,0,5,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,23,5,18,8,8,0,,,,6,9,8,1,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ActivityFactory.java",1,1,1,1,5,0,5,0,,,,,1,5,0,6,,6,1,0,6,,0,1,0,5,,50,9,41,11,24,0,,,,9,16,11,5,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"ActivityFeedActivity.java",1,1,1,1,9,1,7,0,,,,,1,0,0,11,,11,9,6,9,,0,6,3,0,,154,27,126,55,67,1,,,,67,77,48,29,,,,,,1,1,1,1,,,0,,,,0,01,11,11,11,11
File,"ActivityFeedAdapter.java",4,1,4,1,11,0,11,0,,,,,2,0,5,8,,8,8,1,8,,0,1,2,5,,137,16,121,41,72,0,,,,66,81,38,43,,,,,,10,3,10,7,,,2,,,,0,00,33,15,33,14
