Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccordionList.java",1,1,1,1,8,0,5,2,,,,,4,0,0,30,,30,30,7,30,,0,0,0,30,,364,57,217,82,92,90,,,,83,137,63,74,,,,,,4,4,4,4,,,1,,,,0,41,53,53,54,39
File,"AccordionListTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,30,,30,30,0,30,,0,0,0,30,,251,35,213,101,112,3,,,,121,152,71,81,,,,,,1,1,1,1,,,0,,,,0,01,30,30,30,30
File,"ActivityComponentViewHolderTester.java",1,1,1,1,13,0,8,4,,,,,1,0,0,3,,3,3,2,3,,0,1,0,2,,62,7,37,18,14,18,,,,21,27,15,12,,,,,,2,2,2,1,,,1,,,,0,49,5,5,5,3
File,"Component.java",1,1,1,1,8,0,4,4,,,,,4,0,0,28,,37,37,4,37,,6,0,4,27,,388,49,160,64,57,179,,,,65,111,57,54,,,,,,4,4,6,4,,,2,,,,1,12,44,44,49,31
File,"ComponentGroup.java",1,1,1,1,11,0,6,4,,,,,5,0,0,45,,47,47,5,47,,6,5,0,36,,663,76,343,136,174,247,,,,164,242,116,126,,,,,,6,6,6,6,,,3,,,,0,72,73,73,74,54
File,"ComponentGroupTest.java",1,1,1,1,14,1,11,1,,,,,2,0,0,21,,21,21,1,21,,0,1,0,20,,374,61,291,135,192,38,,,,209,233,108,125,,,,,,2,2,2,1,,,1,,,,0,13,23,23,23,21
File,"ComponentTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,61,12,49,23,17,0,,,,23,32,15,17,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"ComponentViewHolderTestCase.java",1,1,1,1,7,0,6,1,,,,,2,0,0,3,,3,3,2,3,,0,0,1,2,,39,6,25,14,8,8,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,0,32,3,3,3,3
File,"ListComponent.java",1,1,1,1,8,0,4,3,,,,,4,0,0,27,,27,27,6,27,,2,3,1,21,,297,32,167,80,57,100,,,,62,100,53,47,,,,,,3,3,3,1,,,1,,,,0,60,41,41,44,27
File,"ListComponentTest.java",1,1,1,1,10,0,8,0,,,,,2,0,0,18,,18,18,1,18,,0,2,0,16,,227,36,179,57,108,12,,,,94,120,46,74,,,,,,3,3,3,1,,,2,,,,0,07,25,25,25,18
File,"MathUtils.java",5,5,5,3,27,3,16,8,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,63,9,35,8,21,19,,,,15,26,9,17,,,,,,9,9,9,5,,,3,,,,0,54,10,10,10,6
File,"Observable.java",1,1,1,1,13,0,7,6,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,68,6,28,9,12,34,,,,10,19,9,10,,,,,,2,2,2,1,,,1,,,,1,21,5,5,5,3
File,"PaginatingListComponent.java",1,1,2,1,5,0,4,0,,,,,3,0,0,11,,11,11,4,11,,0,0,1,10,,119,16,89,48,29,16,,,,31,49,30,19,,,,,,3,3,5,1,,,1,,,,0,18,19,19,24,11
File,"PaginatingListComponentTest.java",1,1,1,1,7,1,5,1,,,,,1,0,0,4,,4,4,1,4,,0,1,0,3,,51,13,34,18,12,5,,,,19,25,15,10,,,,,,2,2,2,1,,,1,,,,0,15,5,5,5,4
