Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,4,2,2,0,,,,,1,0,0,,1,,1,0,1,,0,0,0,1,,8,4,4,2,0,0,,,,0,2,2,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,1,8,3,1,4,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,1,8,3,1,4,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,1,8,3,1,4,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,38,4,20,8,3,14,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,38,4,20,9,3,14,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,38,4,20,9,3,14,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,38,4,20,8,3,14,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
File,"ApplicationBootstrap.java",2,2,2,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,7,5,0,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ApplicationBootstrap.java",2,2,2,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,7,5,0,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ApplicationBootstrap.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,14,4,10,7,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationBootstrap.java",2,2,2,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,7,5,0,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ApplicationBootstrap.java",2,2,2,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,7,5,0,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ComplexQueryRepo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,5,6,5,0,7,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,17,0,0,0,0
File,"DemoConsumer.java",3,3,3,1,28,2,20,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,58,7,30,17,16,21,,,,19,23,15,8,,,,,,3,3,3,1,,,2,,,,0,70,3,3,3,1
File,"DemoService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,4,8,7,0,6,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"DemoServiceImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,19,5,14,9,3,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DemoServiceImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,19,5,14,8,3,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
