Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,4,0,3,0,,,,,6,1,1,17,,18,17,5,18,,9,0,1,8,,187,34,136,84,33,17,,,,63,88,64,24,,,,,,2,2,2,1,,,1,,,,0,12,18,18,18,17
File,"Application.java",1,1,1,1,4,0,4,0,,,,,2,1,1,4,,4,3,0,4,,0,0,1,3,,49,11,38,26,9,1,,,,21,27,21,6,,,,,,1,1,1,1,,,0,,,,0,03,4,4,4,4
File,"Application.java",1,1,1,1,4,0,4,0,,,,,7,1,0,20,,21,20,8,21,,8,0,1,12,,210,38,161,96,41,11,,,,70,96,68,28,,,,,,1,1,1,1,,,0,,,,0,07,20,20,20,20
File,"Application.java",1,1,1,1,4,0,4,0,,,,,5,1,1,9,,9,8,5,9,,1,0,2,6,,121,29,92,59,21,0,,,,51,67,48,19,,,,,,2,2,2,1,,,1,,,,0,00,10,10,10,9
File,"Application.java",1,1,1,1,4,0,3,0,,,,,6,1,3,29,,29,28,8,29,,6,1,3,19,,238,51,185,105,55,3,,,,83,126,81,45,,,,,,3,3,3,3,,,2,,,,0,02,35,35,35,31
File,"Application.java",1,1,1,1,3,0,3,0,,,,,5,1,1,10,,11,10,4,11,,5,0,1,5,,130,23,84,56,14,23,,,,36,51,41,10,,,,,,1,1,1,1,,,0,,,,0,27,10,10,10,10
File,"ApplicationTests.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,4,13,11,0,0,,,,6,8,8,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationTests.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,4,13,11,0,0,,,,6,8,8,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationTests.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,4,13,11,0,0,,,,6,8,8,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"GreetingEndpoint.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,1,5,,1,0,0,4,,37,8,29,16,6,0,,,,9,16,12,4,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"TokenUtils.java",1,1,1,1,8,0,8,0,,,,,1,0,1,4,,4,4,0,4,,0,0,0,4,,53,9,40,19,22,4,,,,25,32,19,13,,,,,,2,2,2,1,,,1,,,,0,10,6,6,7,4
