Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Address.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,41,9,17,8,4,15,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,0,88,4,4,4,4
File,"AmqpIntegration.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,3,1,3,,0,0,0,3,,58,7,48,32,16,3,,,,27,31,25,6,,,,,,1,1,1,1,,,0,,,,0,06,6,6,6,6
File,"ApiGatewayApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,33,6,21,16,2,6,,,,10,13,11,2,,,,,,1,1,1,1,,,0,,,,0,29,2,2,2,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,29,5,9,6,1,15,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,1,67,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,29,5,9,6,1,15,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,1,67,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,0,4,,3,0,0,1,,37,8,28,17,6,1,,,,11,16,12,4,,,,,,1,1,1,1,,,0,,,,0,04,4,4,4,4
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,0,4,,4,1,0,2,,0,0,0,2,,26,6,20,11,6,0,,,,10,13,9,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,1,0,0,1,,20,5,15,10,2,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,0,4,,4,1,0,2,,1,0,0,1,,26,6,20,11,6,0,,,,10,13,9,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,29,5,9,6,1,15,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,1,67,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,4,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,21,5,16,9,4,0,,,,8,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,11,8,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,29,5,9,6,1,15,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,1,67,1,1,1,1
File,"ApplicationIntegrationTest.java",1,1,1,1,4,0,4,0,,,,,1,0,1,2,,2,2,2,2,,0,0,0,2,,68,11,39,33,7,18,,,,23,26,24,2,,,,,,1,1,1,1,,,0,,,,0,46,2,2,2,2
File,"AuthServiceApplication.java",1,1,1,1,3,0,3,0,,,,,7,1,0,19,,20,15,7,16,,1,0,0,15,,166,33,133,78,33,1,,,,54,76,60,16,,,,,,1,1,1,1,,,0,,,,0,01,19,19,19,19
File,"AuthServiceApplicationTests.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,12,10,0,0,,,,5,7,7,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BasicApplication.java",1,1,1,1,3,0,3,0,,,,,6,1,0,16,,17,12,6,13,,1,0,0,12,,126,27,99,60,21,1,,,,43,61,48,13,,,,,,1,1,1,1,,,0,,,,0,01,16,16,16,16
File,"BasicApplicationTests.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,12,10,0,0,,,,5,7,7,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BasicHttpsSecurityApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,4,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"BasicHttpsSecurityApplicationTests.java",1,1,1,1,6,0,6,0,,,,,1,0,0,5,,5,5,3,5,,0,1,0,4,,84,15,69,49,22,1,,,,44,50,39,11,,,,,,1,1,1,1,,,0,,,,0,01,5,5,5,5
File,"BasicSecurityApplication.java",1,1,1,1,6,0,6,0,,,,,1,1,0,4,,4,1,0,2,,0,0,0,2,,44,6,29,17,11,9,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,31,4,4,4,4
File,"BasicSecurityApplicationTests.java",1,1,1,1,8,0,8,1,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,37,8,29,25,6,1,,,,18,20,18,2,,,,,,1,1,1,1,,,0,,,,0,03,1,1,1,1
File,"BatchApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,4,11,8,1,7,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,64,1,1,1,1
File,"BatchConfiguration.java",1,1,1,1,13,2,11,0,,,,,4,0,0,6,,6,4,0,4,,4,0,0,0,,106,16,89,51,35,1,,,,45,50,35,15,,,,,,1,1,1,1,,,0,,,,0,01,6,6,6,6
File,"Bookmark.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,5,7,,1,0,0,6,,52,15,37,20,9,0,,,,18,26,17,9,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"Bookmark.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,5,7,,0,0,0,7,,45,14,31,15,8,0,,,,12,20,14,6,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"Bookmark.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,5,7,,0,0,0,7,,45,14,31,15,8,0,,,,12,20,14,6,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
