Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AssaultException.java",1,1,1,1,6,0,6,0,,,,,2,0,1,7,,7,7,4,7,,0,1,0,6,,97,16,80,44,28,1,,,,39,52,32,20,,,,,,3,3,3,1,,,2,,,,0,01,11,11,11,7
File,"AssaultExceptionConstraint.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,20,5,15,14,0,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AssaultExceptionValidator.java",4,4,4,3,18,1,17,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,31,5,26,10,13,0,,,,13,18,9,9,,,,,,4,4,4,3,,,2,,,,0,00,4,4,4,3
File,"AssaultProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,14,5,,0,0,0,5,,125,25,82,71,5,18,,,,34,40,35,5,,,,,,2,2,2,1,,,0,,,,0,22,6,6,7,5
File,"AssaultPropertiesUpdate.java",1,1,1,1,11,1,9,0,,,,,1,0,0,2,,2,2,14,2,,0,1,0,1,,99,22,77,59,15,0,,,,41,45,29,16,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"AttackComponentCondition.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,4,11,6,3,20,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,1,82,1,1,1,1
File,"AttackComponentConditionTest.java",1,1,1,1,6,1,4,0,,,,,1,0,0,4,,4,4,6,4,,0,0,0,4,,80,16,46,33,13,18,,,,28,33,25,8,,,,,,1,1,1,1,,,0,,,,0,39,4,4,4,4
File,"AttackControllerCondition.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,4,11,6,3,20,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,1,82,1,1,1,1
File,"AttackControllerConditionTest.java",1,1,1,1,6,1,4,0,,,,,1,0,0,4,,4,4,6,4,,0,0,0,4,,77,16,46,33,13,15,,,,28,33,25,8,,,,,,1,1,1,1,,,0,,,,0,33,4,4,4,4
File,"AttackRepositoryCondition.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,4,11,6,3,20,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,1,82,1,1,1,1
File,"AttackRepositoryConditionTest.java",1,1,1,1,6,1,4,0,,,,,1,0,0,4,,4,4,6,4,,0,0,0,4,,77,16,46,33,13,15,,,,28,33,25,8,,,,,,1,1,1,1,,,0,,,,0,33,4,4,4,4
