Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,8,,0,0,0,,0,0,0,0,,40,8,32,32,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractBayeuxClientServerTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,7,,7,7,1,7,,0,0,5,2,,84,10,59,33,21,15,,,,37,48,32,16,,,,,,3,3,3,3,,,2,,,,0,25,9,9,9,9
File,"AbstractBayeuxContext.java",1,1,1,1,4,0,4,0,,,,,1,0,1,22,,22,22,11,22,,0,0,0,22,,189,27,147,73,48,15,,,,65,97,54,43,,,,,,6,6,6,6,,,5,,,,0,10,34,34,36,27
File,"AbstractBayeuxServerTest.java",1,1,1,1,9,1,8,0,,,,,2,1,0,5,,5,4,10,5,,0,0,2,3,,106,14,76,43,33,18,,,,54,63,40,23,,,,,,3,3,3,1,,,1,,,,0,24,7,7,7,5
File,"AbstractClientServerTest.java",1,1,1,1,10,1,8,0,,,,,1,0,0,4,,4,4,4,4,,0,0,2,2,,82,13,53,29,22,18,,,,37,44,27,17,,,,,,3,3,3,1,,,1,,,,0,34,6,6,6,4
File,"AbstractClientServerTest.java",2,1,2,1,10,0,9,0,,,,,3,1,0,15,,13,14,19,15,,0,1,9,5,,250,25,208,81,107,20,,,,120,150,77,73,,,,,,6,5,6,5,,,4,,,,0,10,43,29,43,19
File,"AbstractClientSession.java",1,1,1,1,7,0,6,0,,,,,2,0,2,71,,75,70,13,70,,0,5,25,40,,638,81,523,182,267,34,,,,227,352,150,202,,,,,,6,6,7,3,,,3,,,,0,07,122,122,126,79
File,"AbstractCometDCallbackPollingTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,1,10,4,4,19,,,,3,5,3,2,,,,,,1,1,1,1,,,0,,,,1,90,1,1,1,1
File,"AbstractCometDDojoTest.java",1,1,1,1,20,0,20,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,42,2,25,6,18,15,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,60,1,1,1,1
File,"AbstractCometDJQueryTest.java",1,1,1,1,15,0,15,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,37,2,20,5,13,15,,,,6,8,4,4,,,,,,1,1,1,1,,,0,,,,0,75,1,1,1,1
File,"AbstractCometDLongPollingTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,1,10,4,4,19,,,,3,5,3,2,,,,,,1,1,1,1,,,0,,,,1,90,1,1,1,1
File,"AbstractCometDTest.java",1,1,1,1,8,0,7,0,,,,,3,0,0,24,,24,24,18,24,,0,0,20,4,,296,39,240,91,139,19,,,,139,171,87,84,,,,,,5,5,5,1,,,1,,,,0,08,31,31,31,24
File,"AbstractCometDTransportsTest.java",1,1,1,1,4,0,4,0,,,,,1,1,0,2,,2,1,1,2,,0,0,1,1,,41,4,19,11,5,18,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,95,2,2,2,2
File,"AbstractCometDWebSocketTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,1,10,4,4,19,,,,3,5,3,2,,,,,,1,1,1,1,,,0,,,,1,90,1,1,1,1
File,"AbstractHttpTransport.java",2,2,2,1,10,0,9,0,,,,,5,0,12,73,,79,68,28,68,,0,9,23,36,,821,99,667,250,351,55,,,,323,475,222,253,,,,,,9,9,13,7,,,5,,,,0,08,154,154,170,87
