Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractEmbeddedServer.java",1,1,1,1,5,0,5,0,,,,,1,1,0,4,,4,3,3,4,,0,0,0,4,,54,6,35,16,15,13,,,,18,24,13,11,,,,,,4,4,4,4,,,3,,,,0,37,7,7,7,7
File,"AbstractTestFiberMongo.java",1,1,1,1,11,0,10,0,,,,,4,2,3,9,,9,7,4,9,,0,0,4,5,,135,17,102,47,46,17,,,,62,77,47,30,,,,,,3,3,3,1,,,1,,,,0,17,14,14,14,9
File,"AbstractWebActorTest.java",1,1,1,1,11,0,11,0,,,,,4,1,1,12,,13,12,2,13,,0,1,3,9,,181,17,148,68,81,24,,,,83,107,65,42,,,,,,4,4,5,4,,,3,,,,0,16,17,17,18,15
File,"AddTestFiltersFeature.java",1,1,1,1,8,0,8,0,,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,58,10,48,25,15,0,,,,21,29,18,11,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"AsyncClientBuilder.java",1,1,1,1,5,0,4,0,,,,,2,4,0,27,,27,23,2,27,,0,1,1,25,,212,29,144,66,53,39,,,,62,92,47,45,,,,,,3,3,3,1,,,1,,,,0,27,29,29,29,27
File,"AsyncClientBuilderTest.java",1,1,1,1,7,0,6,1,,,,,3,1,0,7,,7,6,2,7,,0,0,1,6,,104,10,77,45,26,18,,,,48,59,41,18,,,,,,2,2,2,1,,,1,,,,0,23,9,9,9,7
File,"AsyncHttpReq.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,46,5,28,15,7,13,,,,11,17,11,6,,,,,,2,2,2,1,,,1,,,,0,46,5,5,5,4
File,"AsyncRs.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,40,4,23,12,7,13,,,,9,14,9,5,,,,,,2,2,2,1,,,1,,,,0,57,4,4,4,3
File,"AutoWebActorHandler.java",1,1,2,1,7,0,7,0,,,,,4,0,2,23,,23,23,10,23,,0,5,1,17,,239,33,185,70,90,22,,,,85,131,66,65,,,,,,8,8,9,6,,,3,,,,0,12,45,45,48,30
File,"AutoWebActorHandler.java",1,1,1,1,6,0,6,0,,,,,4,0,3,28,,28,28,10,28,,0,5,2,21,,251,33,202,78,93,17,,,,91,144,75,69,,,,,,8,8,9,6,,,3,,,,0,08,51,51,55,41
File,"ByteArrayReadChannelListener.java",2,2,3,2,11,0,10,0,,,,,1,0,0,5,,7,7,2,7,,0,2,2,3,,104,12,70,25,40,23,,,,43,56,24,32,,,,,,10,10,11,7,,,4,,,,0,33,14,14,15,11
File,"CI.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,21,1,2,2,0,18,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,9,00,0,0,0,0
File,"CacheTest.java",1,1,1,1,13,1,11,0,,,,,8,0,1,154,,153,155,10,155,,5,19,0,131,,2284,314,1836,506,1459,145,,,,950,1116,443,673,,,,,,5,5,6,1,,,1,,,,0,08,167,167,169,154
File,"CallProxy.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,1,6,3,1,18,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,3,00,1,1,1,1
File,"CallTest.java",1,1,1,1,13,1,11,0,,,,,17,0,0,150,,150,150,12,150,,0,9,1,140,,2128,365,1677,455,1282,119,,,,894,1082,424,658,,,,,,3,3,3,1,,,1,,,,0,07,186,186,186,150
File,"City.java",1,1,1,1,3,0,3,0,,,,,1,0,1,7,,7,7,5,7,,0,0,1,6,,78,16,44,28,9,18,,,,20,28,20,8,,,,,,1,1,1,1,,,0,,,,0,41,7,7,7,7
File,"CityRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,35,6,11,10,0,18,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,64,0,0,0,0
File,"CitySearchCriteria.java",1,1,1,1,3,0,3,0,,,,,1,0,1,4,,4,4,1,4,,0,0,0,4,,46,9,19,10,5,18,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,,0,95,4,4,4,4
File,"CityService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,35,7,10,9,0,18,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"CityServiceImpl.java",1,1,1,1,8,1,7,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,81,14,49,26,19,18,,,,27,34,20,14,,,,,,3,3,3,1,,,1,,,,0,37,6,6,6,4
File,"Cookie.java",1,1,1,1,13,0,4,8,,,,,2,1,0,21,,21,20,18,21,,0,2,0,19,,345,22,119,44,54,204,,,,68,95,43,52,,,,,,5,5,5,1,,,1,,,,1,71,25,25,25,21
File,"DelegatingHttpResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,31,,31,31,1,31,,0,0,0,31,,185,33,135,72,31,17,,,,41,73,42,31,,,,,,1,1,1,1,,,0,,,,0,13,31,31,31,31
File,"DelegatingSSLSocket.java",1,1,1,1,3,0,3,0,,,,,1,0,0,62,,62,62,1,62,,0,0,0,62,,283,64,201,76,62,18,,,,75,138,76,62,,,,,,1,1,1,1,,,0,,,,0,09,62,62,62,62
File,"DelegatingSSLSocketFactory.java",1,1,1,1,4,0,3,0,,,,,1,0,0,10,,10,10,1,10,,0,0,1,9,,90,13,57,36,16,20,,,,24,35,25,10,,,,,,1,1,1,1,,,0,,,,0,35,10,10,10,10
File,"DelegatingServerSocketFactory.java",1,1,1,1,4,0,3,0,,,,,1,0,0,6,,6,6,1,6,,0,0,1,5,,64,9,35,22,10,20,,,,16,23,17,6,,,,,,1,1,1,1,,,0,,,,0,57,6,6,6,6
File,"DelegatingSocketFactory.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,1,7,,0,0,1,6,,72,10,42,27,12,20,,,,19,27,20,7,,,,,,1,1,1,1,,,0,,,,0,48,7,7,7,7
File,"DispatcherTest.java",1,1,1,1,6,0,6,1,,,,,2,0,0,22,,22,22,5,22,,0,2,0,20,,183,26,157,46,89,43,,,,98,127,47,80,,,,,,3,3,3,3,,,2,,,,0,27,27,27,27,24
File,"DoubleInetAddressDns.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,33,2,12,9,2,19,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,58,1,1,1,1
File,"EmbedHttpSessionWsConfigurator.java",2,2,2,1,8,0,6,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,2,15,10,4,15,,,,9,12,9,3,,,,,,2,2,2,1,,,1,,,,1,00,2,2,2,1
File,"EmbeddedServer.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,11,11,0,11,,11,0,0,0,,35,4,18,16,0,13,,,,14,16,16,0,,,,,,0,0,0,0,,,0,,,,0,72,0,0,0,0
File,"EmbeddedServerTest.java",1,1,1,1,5,0,5,0,,,,,3,1,1,11,,11,10,5,11,,0,0,4,7,,134,14,107,54,39,15,,,,56,75,48,27,,,,,,2,2,3,1,,,1,,,,0,14,15,15,16,11
File,"FakeDns.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,58,8,33,17,12,17,,,,21,28,17,11,,,,,,2,2,2,1,,,1,,,,0,52,6,6,6,5
File,"FallbackTestClientSocketFactory.java",1,1,1,1,4,0,4,0,,,,,2,0,1,4,,4,4,0,4,,0,0,1,3,,68,8,35,18,10,25,,,,17,26,19,7,,,,,,3,3,3,1,,,2,,,,0,71,6,6,6,4
File,"FiberApplication.java",1,1,1,1,4,0,4,0,,,,,2,0,0,3,,4,4,0,4,,0,0,0,4,,42,4,25,15,6,13,,,,13,17,14,3,,,,,,1,1,1,1,,,0,,,,0,52,3,3,3,3
File,"FiberArray.java",1,1,1,1,5,0,5,0,,,,,12,0,0,26,,26,26,2,26,,0,0,0,26,,178,18,144,60,65,16,,,,42,69,41,28,,,,,,1,1,1,1,,,0,,,,0,11,26,26,26,26
File,"FiberBlob.java",1,1,1,1,5,0,5,0,,,,,12,0,0,26,,26,26,2,26,,0,0,0,26,,174,17,141,52,62,16,,,,39,66,37,29,,,,,,1,1,1,1,,,0,,,,0,11,26,26,26,26
File,"FiberBuilder.java",1,1,1,1,4,0,4,0,,,,,6,0,7,52,,52,52,1,52,,0,0,5,47,,358,49,292,141,100,17,,,,90,148,75,73,,,,,,2,2,2,1,,,1,,,,0,06,57,57,57,52
File,"FiberCall.java",1,1,1,1,3,0,3,0,,,,,2,0,0,6,,6,6,0,6,,0,0,2,4,,69,8,43,25,9,18,,,,18,27,19,8,,,,,,2,2,2,1,,,1,,,,0,42,7,7,7,6
File,"FiberCallTestWrapper.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,44,8,36,20,9,0,,,,17,24,16,8,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"FiberCallableStatement.java",1,1,1,1,6,0,6,0,,,,,158,0,0,319,,319,319,0,319,,0,0,1,318,,1901,163,1721,528,897,17,,,,448,768,354,414,,,,,,1,1,1,1,,,0,,,,0,01,319,319,319,319
File,"FiberClient.java",1,1,1,1,3,0,3,0,,,,,1,0,0,22,,22,22,1,22,,0,0,0,22,,152,24,111,56,32,18,,,,44,67,35,32,,,,,,1,1,1,1,,,0,,,,0,16,22,22,22,22
File,"FiberClob.java",1,1,1,1,5,0,5,0,,,,,14,0,0,30,,30,30,2,30,,0,0,0,30,,198,19,163,60,72,16,,,,45,76,43,33,,,,,,1,1,1,1,,,0,,,,0,10,30,30,30,30
File,"FiberCloseableHttpAsyncClient.java",1,1,1,1,5,0,5,0,,,,,2,2,0,15,,15,13,1,15,,0,2,0,13,,119,17,89,43,37,13,,,,45,60,36,24,,,,,,1,1,1,1,,,0,,,,0,15,15,15,15,15
File,"FiberConnection.java",1,1,1,1,5,0,5,0,,,,,53,0,0,110,,110,110,2,110,,1,0,0,109,,685,60,609,235,305,16,,,,173,284,156,128,,,,,,1,1,1,1,,,0,,,,0,03,110,110,110,110
File,"FiberConnectionTest.java",1,1,1,1,10,0,9,0,,,,,6,1,0,14,,14,13,2,14,,0,0,0,14,,147,11,121,43,60,15,,,,55,75,39,36,,,,,,2,2,2,1,,,1,,,,0,12,19,19,19,14
File,"FiberDBI.java",1,1,1,1,4,0,3,1,,,,,1,0,0,15,,15,15,1,15,,0,0,0,15,,131,18,79,48,15,34,,,,27,43,28,15,,,,,,2,2,2,1,,,0,,,,0,43,16,16,16,15
File,"FiberDBIFactory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,53,7,33,21,9,13,,,,20,26,20,6,,,,,,1,1,1,1,,,0,,,,0,39,5,5,5,5
File,"FiberDataSource.java",1,1,1,1,5,0,4,0,,,,,7,3,0,22,,22,19,2,22,,0,0,1,21,,171,18,117,51,43,36,,,,40,63,38,25,,,,,,1,1,1,1,,,0,,,,0,31,22,22,22,22
File,"FiberDataSourceFactory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,67,,67,67,1,67,,0,0,0,67,,362,69,279,143,69,14,,,,76,144,77,67,,,,,,2,2,2,1,,,0,,,,0,05,68,68,68,67
File,"FiberDataSourceFactory.java",3,3,3,2,11,0,11,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,54,3,35,20,17,16,,,,24,31,19,12,,,,,,5,5,6,3,,,1,,,,0,46,6,6,7,4
File,"FiberDataSourceTest.java",1,1,1,1,8,0,7,0,,,,,3,1,0,7,,7,6,2,7,,0,0,0,7,,86,7,62,32,23,17,,,,30,40,29,11,,,,,,2,2,2,1,,,1,,,,0,27,9,9,9,7
File,"FiberDatabaseMetaData.java",1,1,1,1,5,0,5,0,,,,,173,0,0,352,,352,352,2,352,,0,0,0,352,,1991,182,1793,598,896,16,,,,391,744,391,353,,,,,,1,1,1,1,,,0,,,,0,01,352,352,352,352
File,"FiberDriver.java",1,1,1,1,4,0,4,0,,,,,2,0,2,8,,8,8,0,8,,0,0,0,8,,86,8,62,39,22,16,,,,33,43,31,12,,,,,,2,2,2,1,,,1,,,,0,26,9,9,9,8
File,"FiberDropwizardTest.java",1,1,1,1,5,0,5,0,,,,,2,2,3,9,,9,7,1,9,,0,0,0,9,,98,12,73,36,31,15,,,,41,57,33,24,,,,,,4,4,4,4,,,3,,,,0,21,17,17,17,12
File,"FiberFluentAPITest.java",1,1,1,1,10,0,9,0,,,,,10,3,0,21,,22,19,2,22,,1,2,0,19,,216,20,179,63,89,17,,,,81,114,58,56,,,,,,2,2,2,1,,,2,,,,0,09,23,23,23,21
File,"FiberHttpAsyncClientTest.java",1,1,1,1,9,0,8,1,,,,,3,1,0,7,,7,6,2,7,,0,0,1,6,,114,8,89,51,31,18,,,,52,66,47,19,,,,,,4,4,4,1,,,2,,,,0,20,11,11,11,7
File,"FiberHttpClient.java",1,1,2,1,8,0,7,1,,,,,3,1,0,20,,20,19,4,20,,0,1,2,17,,269,25,200,91,86,44,,,,94,135,71,64,,,,,,12,12,13,5,,,5,,,,0,22,39,39,41,24
File,"FiberHttpClientBuilder.java",1,1,1,1,4,0,4,0,,,,,1,2,0,37,,37,35,2,37,,0,0,1,36,,257,39,184,72,75,34,,,,103,141,71,70,,,,,,2,2,2,1,,,0,,,,0,18,38,38,38,37
File,"FiberHttpClientBuilder.java",1,1,1,1,11,0,7,3,,,,,2,2,0,14,,14,12,5,14,,0,3,3,8,,235,19,141,71,71,76,,,,84,102,68,34,,,,,,3,3,3,1,,,1,,,,0,54,20,20,20,14
File,"FiberHttpClientBuilderTest.java",1,1,1,1,9,0,8,1,,,,,3,1,1,7,,7,6,2,7,,0,0,1,6,,112,10,85,47,33,19,,,,49,61,42,19,,,,,,2,2,2,1,,,1,,,,0,22,10,10,10,7
File,"FiberHttpServlet.java",3,3,3,1,12,1,10,0,,,,,5,4,28,34,,34,30,22,34,,7,7,10,10,,632,103,488,204,287,41,,,,240,346,155,191,,,,,,19,19,19,1,,,3,,,,0,08,104,104,106,34
File,"FiberHttpServletRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,32,,32,32,3,32,,1,0,0,31,,203,34,148,80,35,21,,,,49,82,47,35,,,,,,1,1,1,1,,,0,,,,0,14,32,32,32,32
File,"FiberHttpServletTest.java",1,1,1,1,6,0,5,0,,,,,5,1,1,24,,24,23,3,24,,0,0,10,14,,282,26,216,96,83,57,,,,99,148,73,75,,,,,,2,2,2,1,,,1,,,,0,26,44,44,44,24
File,"FiberInvocableHandlerMethod.java",1,1,2,1,11,0,9,1,,,,,2,0,2,12,,12,12,0,12,,0,5,3,4,,176,18,114,41,66,45,,,,56,77,41,36,,,,,,5,5,7,1,,,2,,,,0,39,21,21,27,12
File,"FiberInvocation.java",1,1,1,1,6,0,6,0,,,,,8,0,0,23,,23,23,1,23,,0,0,3,20,,172,23,136,41,72,13,,,,47,74,38,36,,,,,,2,2,2,1,,,1,,,,0,10,26,26,26,23
File,"FiberKafkaProducer.java",1,1,1,1,4,0,4,0,,,,,2,0,0,10,,10,10,3,10,,0,0,0,10,,94,16,65,34,18,13,,,,28,42,26,16,,,,,,3,3,3,1,,,1,,,,0,20,12,12,12,10
File,"FiberKafkaProducerTest.java",1,1,1,1,21,3,18,0,,,,,8,0,0,12,,12,12,3,12,,0,0,0,12,,207,35,159,58,110,13,,,,99,116,53,63,,,,,,2,2,2,1,,,1,,,,0,08,16,16,16,12
File,"FiberManagedDataSource.java",1,1,1,1,3,0,3,0,,,,,1,2,0,5,,5,3,1,5,,0,0,1,4,,50,8,29,17,6,13,,,,15,21,15,6,,,,,,1,1,1,1,,,0,,,,0,45,5,5,5,5
File,"FiberMongoCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,36,3,14,9,2,19,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,1,36,2,2,2,2
File,"FiberMongoClientImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,47,6,24,15,4,17,,,,12,17,13,4,,,,,,1,1,1,1,,,0,,,,0,71,4,4,4,4
File,"FiberMongoCollTest.java",1,1,1,1,9,0,9,0,,,,,92,5,33,189,,189,184,1,189,,0,7,0,182,,1414,123,1270,361,806,28,,,,464,700,353,347,,,,,,2,2,2,1,,,1,,,,0,02,235,235,235,189
