Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TTS.java",2,2,2,1,16,1,13,0,,,,,2,0,4,10,,10,10,3,10,,0,4,0,6,,207,38,159,60,92,10,,,,85,115,56,59,,,,,,8,8,8,5,,,2,,,,0,06,28,28,28,18
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wordsbaking",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wordsbaking.cordova",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wordsbaking.cordova.tts",2,2,2,1,16,1,13,0,,,,,2,0,4,,1,,10,3,10,,0,4,0,6,,207,38,159,60,92,10,,,,85,115,56,59,,,,,,8,8,8,5,,,2,,,,0,06,28,28,28,18
Public Class,"com.wordsbaking.cordova.tts.TTS",3,3,3,2,20,2,17,0,2,0,0,0,,0,4,,,,7,3,7,7,0,4,0,3,,167,27,137,38,92,3,,,,63,93,34,59,,,,,,8,8,8,5,,2,2,,57,42,0,02,23,23,23,15
Private Method,"com.wordsbaking.cordova.tts.TTS.callInstallTtsActivity",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,2,12,5,8,1,5,2,0,6,8,4,4,2,2,2,1,1,,,,,0,,1,0,,,0,08,2,2,2,1
Private Method,"com.wordsbaking.cordova.tts.TTS.checkLanguage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,1,15,5,9,0,3,6,1,6,11,5,6,4,4,4,1,0,,,,,0,,2,0,,,0,00,4,4,4,1
Public Method,"com.wordsbaking.cordova.tts.TTS.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,15,2,11,0,6,5,1,6,11,1,10,5,5,5,5,8,,,,,8,,1,8,,,0,00,5,5,5,5
Public Method,"com.wordsbaking.cordova.tts.TTS.initialize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,23,3,16,1,5,1,0,7,13,6,7,1,1,1,1,0,,,,,0,,0,0,,,0,04,1,1,1,1
Anonymous Class,"com.wordsbaking.cordova.tts.TTS.initialize.(Anon_1)",1,1,1,1,5,0,4,0,1,1,1,0,,0,0,,,,3,0,3,3,0,0,0,3,,21,2,18,2,13,1,,,,4,9,5,4,,,,,,2,2,2,1,,2,1,,0,0,0,06,5,5,5,3
Public Method,"com.wordsbaking.cordova.tts.TTS.initialize.(Anon_1).onDone",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,2,2,0,2,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.wordsbaking.cordova.tts.TTS.initialize.(Anon_1).onError",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,2,2,0,2,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.wordsbaking.cordova.tts.TTS.initialize.(Anon_1).onStart",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,50,1,1,1,1
Public Method,"com.wordsbaking.cordova.tts.TTS.onInit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,1,11,2,8,1,5,2,0,6,8,2,6,2,2,2,1,1,,,,,0,,1,0,,,0,09,2,2,2,1
Private Method,"com.wordsbaking.cordova.tts.TTS.speak",,,,,,,,,,,,,,,,,,,,,,,,,,,8,56,11,45,8,32,0,11,18,1,24,32,7,25,8,8,8,5,7,,,,,4,,1,4,,,0,00,8,8,8,5
Private Method,"com.wordsbaking.cordova.tts.TTS.stop",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
