Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutFragment.java",2,1,2,1,9,0,9,1,,,,,1,0,0,4,,4,4,2,4,,1,0,0,3,,88,9,64,32,28,19,,,,40,46,26,20,,,,,,6,2,6,1,,,1,,,,0,30,9,5,9,4
File,"AbstractGenerateFrameService.java",1,1,1,1,11,0,9,2,,,,,1,0,2,4,,4,4,14,4,,0,0,1,3,,116,11,83,52,31,26,,,,54,59,50,9,,,,,,1,1,1,1,,,0,,,,0,31,4,4,4,4
File,"ActivityHierarchyServer.java",1,1,1,1,2,0,2,0,,,,,2,0,0,7,,7,7,1,7,,0,0,0,7,,48,9,22,7,8,17,,,,5,13,13,0,,,,,,1,1,1,1,,,0,,,,0,77,7,7,7,7
File,"AnalyticsKey.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,28,4,8,7,0,16,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"AnimationSpeed.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,26,4,7,6,0,15,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,14,0,0,0,0
File,"AnimationSpeedAdapter.java",1,1,1,1,4,0,4,0,,,,,1,1,1,8,,8,7,0,8,,1,0,0,7,,75,12,48,22,16,16,,,,22,34,20,14,,,,,,3,3,3,3,,,2,,,,0,33,11,11,11,10
File,"AppConstants.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,25,3,6,5,3,17,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,83,0,0,0,0
File,"AppContainer.java",1,1,1,1,3,0,3,0,,,,,2,0,0,1,,2,2,1,2,,1,0,0,1,,36,5,13,9,3,18,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,38,1,1,1,1
File,"BackgroundBlurRadius.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,30,4,7,6,0,19,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,71,0,0,0,0
File,"BackgroundColorOption.java",1,1,1,1,0,0,0,0,,,,,2,0,0,2,,0,2,7,2,,0,0,0,2,,39,4,16,14,0,19,,,,4,6,6,0,,,,,,1,1,1,1,,,0,,,,1,19,2,2,2,2
File,"BackgroundColorOptionAdapter.java",4,1,4,1,11,0,11,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,32,3,29,7,18,0,,,,13,17,7,10,,,,,,8,2,8,1,,,1,,,,0,00,9,3,9,2
File,"BackgroundPaddingPercentage.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,30,4,7,6,0,19,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,71,0,0,0,0
File,"BaseActivity.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,3,5,,0,1,4,0,,67,13,39,22,12,15,,,,26,32,21,11,,,,,,1,1,1,1,,,0,,,,0,38,5,5,5,5
