Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,11,1,9,0,,,,,9,4,0,,4,,26,5,30,,0,13,0,17,,373,77,283,96,164,14,,,,177,236,117,119,,,,,,13,13,15,1,,,3,,,,0,05,55,55,57,30
File,"ARActivityPlusMaps.java",1,1,2,1,5,0,5,0,,,,,1,1,2,14,,14,13,2,14,,0,1,7,6,,134,22,108,42,51,4,,,,48,75,30,45,,,,,,3,3,3,1,,,1,,,,0,04,26,26,28,14
File,"ARNavigatorSetup.java",1,1,1,1,20,2,15,3,,,,,5,0,0,24,,24,24,23,24,,0,12,0,12,,571,86,408,168,264,80,,,,264,294,151,143,,,,,,3,3,3,1,,,2,,,,0,20,29,29,29,24
File,"AbstractModifier.java",1,1,1,1,6,0,3,3,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,5,10,5,2,6,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,60,2,2,2,2
File,"AbstractObj.java",1,1,1,1,3,0,3,0,,,,,1,0,0,20,,20,20,9,20,,0,0,0,20,,136,25,111,59,31,0,,,,45,70,41,29,,,,,,2,2,2,1,,,1,,,,0,00,24,24,24,20
File,"AccuracyTestsSetup.java",1,1,1,1,19,2,17,0,,,,,11,0,0,16,,16,16,6,16,,0,3,0,13,,262,48,214,68,143,0,,,,118,143,71,72,,,,,,3,3,3,1,,,2,,,,0,00,24,24,24,16
File,"Action.java",1,1,1,1,8,0,7,0,,,,,1,0,3,9,,9,9,2,9,,0,0,0,9,,112,17,90,33,49,5,,,,39,51,23,28,,,,,,2,2,2,1,,,1,,,,0,06,11,11,11,9
File,"ActionBufferedCameraAR.java",1,1,1,1,8,0,5,3,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,62,8,31,15,11,23,,,,17,22,11,11,,,,,,1,1,1,1,,,0,,,,0,74,4,4,4,4
File,"ActionCalcRelativePos.java",2,2,2,1,11,0,9,2,,,,,1,0,5,7,,7,7,6,7,,0,4,0,3,,151,19,84,32,50,49,,,,45,60,29,31,,,,,,5,5,6,3,,,3,,,,0,58,14,14,15,9
File,"ActionDoAlongAxis.java",1,1,1,1,10,0,5,4,,,,,1,0,0,4,,5,5,4,5,,0,1,0,4,,74,12,36,18,14,26,,,,20,25,14,11,,,,,,1,1,1,1,,,0,,,,0,72,4,4,4,4
File,"ActionFeedback.java",1,1,1,1,3,0,3,0,,,,,1,0,2,6,,6,6,2,6,,0,0,0,6,,41,10,30,14,11,1,,,,15,22,13,9,,,,,,1,1,1,1,,,0,,,,0,03,6,6,6,6
File,"ActionList.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,5,2,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActionMoveCameraBuffered.java",1,1,1,1,8,1,3,3,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,33,7,12,7,2,14,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,1,17,2,2,2,2
File,"ActionMoveCameraUnbuffered.java",1,1,1,1,6,0,4,2,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,28,6,17,10,4,5,,,,9,12,8,4,,,,,,1,1,1,1,,,0,,,,0,29,2,2,2,2
File,"ActionMoveObject.java",2,2,3,1,11,0,7,4,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,50,6,31,15,12,13,,,,15,23,13,10,,,,,,4,4,5,1,,,2,,,,0,42,7,7,9,3
File,"ActionPlaceObject.java",2,2,2,1,14,0,9,4,,,,,1,0,0,5,,5,5,6,5,,0,1,0,4,,108,11,67,30,31,30,,,,38,50,24,26,,,,,,4,4,4,1,,,3,,,,0,45,11,11,11,5
File,"ActionRotateCameraBuffered.java",1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,24,6,18,10,3,0,,,,5,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ActionRotateCameraBuffered2.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,6,17,8,6,1,,,,10,13,7,6,,,,,,1,1,1,1,,,0,,,,0,06,2,2,2,2
File,"ActionRotateCameraBuffered3.java",1,1,1,1,6,1,5,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,25,7,18,8,7,2,,,,11,14,7,7,,,,,,1,1,1,1,,,0,,,,0,11,2,2,2,2
File,"ActionRotateCameraBuffered4.java",1,1,1,1,6,0,5,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,24,6,18,8,7,2,,,,11,14,7,7,,,,,,1,1,1,1,,,0,,,,0,11,2,2,2,2
File,"ActionRotateCameraBufferedDebug.java",1,1,1,1,6,1,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,52,12,32,23,14,8,,,,15,20,16,4,,,,,,1,1,1,1,,,0,,,,0,25,4,4,4,4
File,"ActionRotateCameraBufferedDirect.java",2,2,3,1,13,1,11,0,,,,,1,0,0,7,,7,7,19,7,,0,1,0,6,,152,23,118,43,68,12,,,,67,86,36,50,,,,,,9,9,12,1,,,4,,,,0,10,18,18,21,7
File,"ActionRotateCameraUnbuffered.java",1,1,1,1,3,0,2,0,,,,,1,0,1,2,,2,2,0,2,,0,0,1,1,,18,6,11,7,2,1,,,,4,7,6,1,,,,,,1,1,1,1,,,0,,,,0,09,2,2,2,2
File,"ActionRotateCameraUnbuffered2.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,19,5,14,7,4,1,,,,7,10,6,4,,,,,,1,1,1,1,,,0,,,,0,07,2,2,2,2
File,"ActionThrowFireball.java",1,1,1,1,9,0,9,0,,,,,2,0,3,10,,10,10,0,10,,0,0,0,10,,104,20,84,26,56,0,,,,43,60,27,33,,,,,,6,6,6,1,,,1,,,,0,00,16,16,16,10
File,"ActionUseCameraAngles.java",1,1,1,1,11,0,7,3,,,,,1,0,0,5,,8,8,4,8,,0,0,0,8,,123,14,55,30,26,54,,,,30,39,21,18,,,,,,3,3,3,1,,,1,,,,0,98,8,8,8,5
File,"ActionUseCameraAngles2.java",1,1,1,1,10,0,6,3,,,,,1,0,0,7,,8,8,9,8,,0,1,0,7,,130,13,68,30,33,49,,,,36,48,25,23,,,,,,3,3,4,1,,,2,,,,0,72,11,11,13,7
File,"ActionWASDMovement.java",1,1,1,1,17,3,9,4,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,106,20,56,24,29,30,,,,35,42,19,23,,,,,,3,3,4,1,,,2,,,,0,54,6,6,7,4
File,"ActionWaitForAccuracy.java",1,1,1,1,11,0,10,0,,,,,7,0,5,18,,19,19,10,19,,0,8,0,11,,250,41,187,50,123,23,,,,104,132,53,79,,,,,,3,3,4,1,,,2,,,,0,12,27,27,31,18
File,"ActionWaitForAccuracy2.java",1,1,1,1,12,0,9,1,,,,,3,0,4,9,,11,11,6,11,,0,3,0,8,,158,22,103,37,62,33,,,,58,73,35,38,,,,,,3,3,4,1,,,2,,,,0,32,14,14,16,9
File,"ActionWithSensorProcessing.java",2,2,3,1,16,0,13,2,,,,,1,0,1,7,,8,8,19,8,,0,0,1,7,,176,24,132,47,71,20,,,,67,88,40,48,,,,,,11,11,14,1,,,4,,,,0,15,20,20,23,7
File,"ActivityConnector.java",1,1,1,1,7,0,4,3,,,,,1,1,2,8,,8,7,2,8,,0,1,0,7,,99,14,48,25,22,37,,,,24,35,22,13,,,,,,2,2,2,1,,,1,,,,0,77,10,10,10,8
File,"Algo.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,18,5,13,6,4,0,,,,6,9,5,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AlgoCubicRootBuffer.java",1,1,1,1,20,1,12,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,4,16,4,10,7,,,,5,7,3,4,,,,,,1,1,1,1,,,0,,,,0,44,1,1,1,1
File,"AndroidDeviceOnlyTests.java",1,1,1,1,7,0,7,0,,,,,2,0,0,4,,4,4,1,4,,0,1,0,3,,36,7,29,10,13,0,,,,11,17,10,7,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"AndroidMeshData.java",1,1,1,1,10,0,10,0,,,,,1,1,2,1,,1,0,0,1,,1,0,0,0,,38,4,34,26,25,0,,,,15,17,11,6,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AnimationAlphaBlend.java",1,1,2,1,10,0,8,2,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,81,11,53,26,22,17,,,,30,38,21,17,,,,,,3,3,5,1,,,2,,,,0,32,7,7,9,4
File,"AnimationBounce.java",1,1,2,1,10,0,8,2,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,70,12,50,23,21,9,,,,29,36,19,17,,,,,,3,3,5,1,,,2,,,,0,18,6,6,8,4
File,"AnimationColorBounce.java",1,1,2,1,11,1,8,2,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,78,14,53,26,22,11,,,,30,38,21,17,,,,,,3,3,5,1,,,2,,,,0,21,7,7,9,4
File,"AnimationColorMorph.java",1,1,1,1,6,0,5,0,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,50,11,38,22,12,1,,,,19,26,18,8,,,,,,3,3,3,1,,,2,,,,0,03,6,6,6,4
File,"AnimationFaceToCamera.java",1,1,1,1,12,0,7,4,,,,,1,0,0,8,,8,8,9,8,,0,1,0,7,,135,20,78,31,38,38,,,,44,57,26,31,,,,,,3,3,3,1,,,1,,,,0,49,12,12,12,8
File,"AnimationGrow.java",1,1,1,1,6,0,5,0,,,,,1,0,1,4,,4,4,3,4,,0,0,0,4,,52,10,39,19,14,3,,,,21,28,16,12,,,,,,3,3,3,1,,,1,,,,0,08,6,6,6,4
File,"AnimationMove.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,5,4,,0,0,0,4,,45,9,36,19,11,0,,,,19,26,16,10,,,,,,3,3,3,1,,,2,,,,0,00,6,6,6,4
File,"AnimationPulse.java",1,1,2,1,9,0,7,2,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,67,10,49,22,21,9,,,,29,36,19,17,,,,,,3,3,5,1,,,2,,,,0,18,6,6,8,4
File,"AnimationRotate.java",1,1,1,1,5,0,4,1,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,53,10,32,18,9,11,,,,17,23,15,8,,,,,,2,2,2,1,,,1,,,,0,34,5,5,5,4
File,"AnimationShrink.java",1,1,1,1,4,0,4,0,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,42,10,32,17,11,0,,,,16,22,14,8,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"AnimationSwingRotate.java",1,1,2,1,12,0,8,3,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,84,10,52,23,23,23,,,,31,38,19,19,,,,,,3,3,5,1,,,2,,,,0,44,6,6,8,4
File,"ArActivity.java",1,1,2,1,6,0,5,0,,,,,1,2,2,14,,14,12,1,14,,0,1,6,7,,138,20,107,39,53,11,,,,46,73,27,46,,,,,,3,3,3,1,,,1,,,,0,10,26,26,28,14
File,"BGUtils.java",1,1,1,1,9,0,6,2,,,,,1,12,0,14,,14,2,3,14,,0,0,0,14,,162,18,104,39,64,40,,,,66,82,37,45,,,,,,2,2,4,1,,,1,,,,0,38,15,15,17,14
File,"BasicMarker.java",1,1,1,1,19,3,8,8,,,,,1,0,0,3,,5,5,5,5,,0,0,0,5,,85,19,42,24,21,24,,,,26,30,19,11,,,,,,1,1,1,1,,,0,,,,0,57,3,3,3,3
Public Class,"BasicWindowMonitor",1,1,1,1,7,0,7,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,1,8,3,5,0,,,,5,7,3,4,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
File,"BasicWindowMonitor.java",1,1,1,1,7,0,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,11,5,5,0,,,,7,9,5,4,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
Public Method,"BasicWindowMonitor.windowClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,5,0,5,1,0,5,6,2,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
File,"BoolModifier.java",1,1,1,1,17,3,13,0,,,,,1,0,0,2,,5,5,1,5,,0,0,0,5,,62,16,45,25,22,1,,,,32,36,21,15,,,,,,2,2,2,1,,,1,,,,0,02,3,3,3,2
File,"Booster.java",1,1,1,1,7,0,6,0,,,,,2,0,2,11,,11,11,2,11,,0,0,0,11,,87,15,65,20,35,7,,,,26,40,22,18,,,,,,2,2,2,1,,,1,,,,0,11,13,13,13,11
File,"BoosterList.java",2,2,2,1,9,0,9,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,12,5,6,0,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"BufferAlgo1.java",2,2,2,2,11,0,9,2,,,,,1,0,0,3,,3,3,4,3,,0,1,0,2,,70,6,36,11,21,30,,,,20,29,10,19,,,,,,6,6,6,6,,,2,,,,0,83,8,8,8,8
File,"BufferAlgo2.java",1,1,1,1,5,0,4,1,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,27,6,17,7,6,4,,,,8,12,6,6,,,,,,1,1,1,1,,,0,,,,0,24,3,3,3,3
File,"BufferAlgo3.java",1,1,2,1,8,0,7,1,,,,,1,0,0,3,,3,3,3,3,,0,1,0,2,,38,6,28,10,13,4,,,,15,21,9,12,,,,,,3,3,5,3,,,1,,,,0,14,5,5,7,5
File,"ButtonModifier.java",1,1,1,1,10,2,8,0,,,,,2,0,0,4,,5,5,1,5,,0,0,0,5,,59,16,43,22,22,0,,,,27,33,20,13,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"Calculus.java",1,1,1,1,18,1,13,3,,,,,2,7,3,7,,8,1,0,8,,0,0,0,8,,157,20,108,25,82,29,,,,86,96,22,74,,,,,,2,2,2,1,,,1,,,,0,27,8,8,8,7
