Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,21,3,18,15,2,0,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Buy.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,16,5,11,10,0,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Command.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,5,2,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CommandFixture.java",1,1,1,1,3,0,3,0,,,,,1,6,0,6,,6,0,0,6,,0,0,0,6,,40,12,28,15,6,0,,,,14,21,15,6,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"DomainEvent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,24,5,19,18,0,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"EventDescriptor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,4,2,,1,1,0,0,,37,9,28,22,4,0,,,,11,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"EventSerializer.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,1,3,,3,0,0,0,,42,9,33,15,12,0,,,,18,24,14,10,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"EventSourcedShopItemRepository.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,5,3,5,,0,1,0,4,,66,13,53,26,22,0,,,,24,30,21,9,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"EventStore.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,4,3,0,3,,3,0,0,0,,28,8,20,12,7,0,,,,11,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"EventStream.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,4,4,,3,1,0,0,,51,13,38,27,7,0,,,,16,21,18,3,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ItemBought.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,3,3,,0,0,0,3,,35,8,27,20,4,0,,,,13,17,14,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ItemPaid.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,2,3,,0,0,0,3,,34,8,26,19,4,0,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ItemPaymentTimeout.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,2,3,,0,0,0,3,,34,8,26,19,4,0,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"JdbcReadModel.java",1,1,1,1,3,0,3,0,,,,,1,0,5,5,,5,5,1,5,,5,0,0,0,,58,15,43,28,14,0,,,,20,27,21,6,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"MarkPaymentTimeout.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,14,5,9,8,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Pay.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,14,5,9,8,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"PaymentTimeoutChecker.java",1,1,1,1,5,0,5,0,,,,,1,0,1,3,,3,2,2,2,,2,0,0,0,,45,8,37,27,11,0,,,,22,25,21,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ReadModelOnDomainEventUpdater.java",2,2,2,1,7,0,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,35,6,29,16,10,0,,,,15,21,13,8,,,,,,4,4,4,1,,,1,,,,0,00,5,5,5,2
File,"ShopItem.java",1,1,1,1,5,0,5,0,,,,,1,1,0,17,,17,14,3,15,,0,9,0,6,,130,21,109,36,52,0,,,,45,70,34,36,,,,,,4,4,4,4,,,1,,,,0,00,26,26,26,20
File,"ShopItemDto.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,7,0,,0,0,0,0,,17,4,13,12,0,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ShopItemFixture.java",1,1,1,1,5,0,5,0,,,,,1,5,2,5,,5,0,0,5,,0,0,0,5,,51,13,38,15,19,0,,,,14,20,15,5,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ShopItemRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,14,6,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ShopItemState.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,4,2,,0,0,0,2,,9,2,7,6,0,0,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ShopItems.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,6,2,6,,0,1,0,5,,62,11,51,28,18,0,,,,27,34,24,10,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.dddbyexamples",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.dddbyexamples.eventsource",1,1,1,1,4,0,4,0,,,,,3,12,2,,3,,0,0,12,,0,0,0,12,,112,28,84,45,27,0,,,,37,52,40,12,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
Public Class,"io.dddbyexamples.eventsource.Application",1,1,1,1,4,0,4,0,1,0,0,0,,1,0,,,,0,0,1,1,0,0,0,1,,7,1,6,3,2,0,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.Application.main",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,1,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"io.dddbyexamples.eventsource.CommandFixture",1,1,1,1,3,0,3,0,1,3,3,0,,6,0,,,,0,0,6,6,0,0,0,6,,27,7,20,7,6,0,,,,6,13,7,6,,,,,,1,1,1,1,,1,0,,0,0,0,00,6,6,6,6
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.buyItemCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.buyItemCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.markPaymentTimeoutCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.markPaymentTimeoutCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.payItemCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.CommandFixture.payItemCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"io.dddbyexamples.eventsource.ShopItemFixture",1,1,1,1,5,0,5,0,1,2,2,0,,5,2,,,,0,0,5,5,0,0,0,5,,39,8,31,8,19,0,,,,7,13,8,5,,,,,,1,1,1,1,,1,0,,0,0,0,00,5,5,5,5
Public Static Method,"io.dddbyexamples.eventsource.ShopItemFixture.bought",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.ShopItemFixture.initialized",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.ShopItemFixture.paid",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,6,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.ShopItemFixture.withTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,6,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"io.dddbyexamples.eventsource.ShopItemFixture.withTimeoutAndPaid",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,1,5,0,7,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"io.dddbyexamples.eventsource.boundary",1,1,1,1,4,0,4,0,,,,,1,0,0,,1,,6,2,6,,0,1,0,5,,62,11,51,28,18,0,,,,27,34,24,10,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
Public Class,"io.dddbyexamples.eventsource.boundary.ShopItems",1,1,1,1,5,0,5,0,1,5,5,0,,0,0,,,,6,2,6,6,0,1,0,5,,43,8,35,12,18,0,,,,14,21,11,10,,,,,,1,1,1,1,,1,0,,66,41,0,00,9,9,9,9
