Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",4,2,4,1,19,0,18,0,,,,,1,0,3,2,,2,2,3,2,,0,0,1,1,,84,8,68,37,32,10,,,,43,49,30,19,,,,,,6,3,6,1,,,2,,,,0,15,8,5,8,2
File,"AbstractLocalDataSource.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,2,2,2,2,,0,0,1,1,,32,5,20,16,4,7,,,,15,17,15,2,,,,,,1,1,1,1,,,0,,,,0,35,1,1,1,1
File,"AbstractRemoteDataSource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,19,4,8,5,1,7,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,88,1,1,1,1
File,"Acknowledgement.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,31,8,16,15,0,7,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,44,0,0,0,0
File,"AcknowledgementAdapter.java",1,1,1,1,8,0,8,0,,,,,4,0,0,6,,7,7,4,7,,1,0,1,5,,98,11,80,42,30,7,,,,38,50,35,15,,,,,,3,3,3,1,,,1,,,,0,09,9,9,9,6
File,"AcknowledgementsActivity.java",1,1,1,1,13,0,13,0,,,,,6,0,3,12,,12,12,5,12,,0,3,1,8,,184,20,155,61,90,9,,,,81,100,60,40,,,,,,5,5,5,1,,,2,,,,0,06,18,18,18,12
File,"App.java",1,1,1,1,3,0,3,0,,,,,2,0,3,27,,27,27,10,27,,0,1,1,25,,214,42,138,59,54,34,,,,65,95,48,47,,,,,,2,2,2,1,,,1,,,,0,25,29,29,29,27
File,"AppAdapter.java",1,1,1,1,6,0,6,0,,,,,3,0,0,10,,12,12,2,12,,7,0,1,4,,114,17,89,43,36,14,,,,42,59,37,22,,,,,,5,5,5,1,,,2,,,,0,16,17,17,18,10
File,"AppContract.java",0,0,0,0,0,0,0,0,,,,,3,0,0,0,,10,10,0,10,,10,0,0,0,,50,18,23,20,0,9,,,,17,20,20,0,,,,,,0,0,0,0,,,0,,,,0,39,0,0,0,0
File,"AppContract.java",0,0,0,0,0,0,0,0,,,,,3,0,0,0,,11,11,0,11,,11,0,0,0,,46,17,22,19,0,7,,,,16,19,19,0,,,,,,0,0,0,0,,,0,,,,0,32,0,0,0,0
