Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseExampleFragment.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,5,5,1,5,,1,0,1,3,,45,11,31,14,10,3,,,,13,20,12,8,,,,,,2,2,2,1,,,1,,,,0,10,5,5,5,3
File,"ColorSuggestion.java",1,1,1,1,3,0,3,0,,,,,2,0,1,9,,9,9,2,9,,0,0,0,9,,72,14,43,18,17,15,,,,17,27,16,11,,,,,,2,2,2,1,,,0,,,,0,35,10,10,10,9
File,"ColorWrapper.java",1,1,1,1,6,0,3,2,,,,,2,0,1,11,,11,11,3,11,,0,1,0,10,,120,16,59,28,20,45,,,,24,36,21,15,,,,,,1,1,1,1,,,0,,,,0,76,11,11,11,11
File,"DataHelper.java",2,2,2,1,18,3,14,0,,,,,7,7,3,12,,14,7,0,14,,2,3,4,5,,221,49,157,44,98,15,,,,66,99,50,49,,,,,,6,6,8,5,,,3,,,,0,10,28,28,31,18
File,"FloatingSearchView.java",1,1,1,1,14,1,10,3,,,,,39,0,31,122,,134,134,89,134,,13,28,2,91,,2068,248,1366,398,872,457,,,,778,995,393,602,,,,,,11,11,11,6,,,3,,,,0,33,229,217,240,129
File,"GestureDetectorListenerAdapter.java",1,1,1,1,3,0,2,0,,,,,1,0,1,6,,6,6,0,6,,0,0,0,6,,56,12,29,18,5,15,,,,8,15,11,4,,,,,,1,1,1,1,,,0,,,,0,52,6,6,6,6
File,"MainActivity.java",1,1,1,1,8,0,7,0,,,,,1,0,0,5,,5,5,2,5,,0,1,1,3,,92,15,62,30,28,15,,,,35,43,25,18,,,,,,4,2,4,1,,,1,,,,0,24,9,7,9,5
File,"MenuPopupHelper.java",1,1,2,1,7,0,6,0,,,,,2,0,2,39,,39,39,21,39,,1,1,0,37,,372,11,334,137,162,28,,,,181,254,121,133,,,,,,6,6,7,5,,,3,,,,0,08,73,73,78,48
File,"MenuView.java",2,2,2,1,14,2,11,1,,,,,21,0,0,37,,39,39,17,39,,2,7,1,29,,565,102,399,95,260,64,,,,199,277,118,159,,,,,,16,16,17,6,,,2,,,,0,16,81,81,87,45
File,"OnItemTouchListenerAdapter.java",1,1,1,1,3,0,2,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,40,9,16,11,2,15,,,,5,9,8,1,,,,,,1,1,1,1,,,0,,,,0,94,3,3,3,3
