Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DownloadStatus.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,11,1,10,9,7,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DownloadTask.java",1,1,1,1,9,0,9,0,,,,,1,0,0,2,,2,2,13,2,,1,0,0,1,,39,3,36,19,14,0,,,,28,31,17,14,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DownloadWorker.java",7,7,9,1,39,4,32,2,,,,,1,0,15,7,,7,7,13,7,,0,5,0,2,,347,47,282,107,199,18,,,,192,231,105,126,,,,,,29,29,41,1,,,5,,,,0,06,50,50,65,7
File,"DownloadedFileProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,6,2,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"FlutterDownloaderInitializer.java",1,1,1,1,7,0,7,0,,,,,1,0,0,7,,7,7,2,7,,0,1,0,6,,93,11,82,55,25,0,,,,35,44,31,13,,,,,,3,3,3,3,,,1,,,,0,00,9,9,9,9
File,"FlutterDownloaderPlugin.java",2,2,2,1,11,0,10,0,,,,,2,1,2,23,,23,22,5,23,,0,13,0,10,,339,37,302,119,190,0,,,,166,221,111,110,,,,,,11,11,11,1,,,3,,,,0,00,52,52,54,23
File,"IntentUtils.java",2,2,2,1,14,1,12,1,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,48,9,37,20,18,2,,,,23,28,19,9,,,,,,2,2,2,1,,,1,,,,0,05,4,4,4,2
File,"MainActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,14,2,12,8,2,0,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"TaskContract.java",1,1,1,1,1,0,1,0,,,,,2,0,13,1,,1,1,0,1,,0,1,0,0,,25,5,20,18,13,0,,,,15,18,18,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"TaskDao.java",2,2,2,1,17,1,15,0,,,,,1,0,0,11,,11,11,2,11,,0,1,0,10,,230,34,196,62,153,0,,,,109,130,58,72,,,,,,4,4,4,1,,,1,,,,0,00,24,24,24,11
