Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,16,2,14,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,70,8,42,24,22,20,,,,30,34,21,13,,,,,,2,2,2,1,,,1,,,,0,48,3,3,3,2
File,"Base32String.java",2,2,2,1,12,0,10,1,,,,,2,3,2,8,,8,5,5,8,,1,0,3,4,,161,19,98,35,58,45,,,,57,78,35,43,,,,,,6,6,7,1,,,3,,,,0,46,18,18,19,8
File,"BaseActivity.java",1,1,2,1,5,0,4,0,,,,,1,0,1,2,,2,2,1,2,,0,0,2,0,,24,5,18,10,6,1,,,,10,14,9,5,,,,,,2,2,3,1,,,1,,,,0,06,3,3,4,2
File,"BaseReorderableAdapter.java",1,1,1,1,20,2,16,1,,,,,6,0,0,6,,9,9,1,9,,0,0,3,6,,113,17,72,23,44,24,,,,38,48,26,22,,,,,,3,2,3,1,,,0,,,,0,33,9,8,9,6
File,"DeleteActivity.java",1,1,1,1,12,1,10,0,,,,,3,0,0,3,,3,3,0,3,,0,0,1,2,,44,7,36,13,20,1,,,,21,25,14,11,,,,,,1,1,1,1,,,0,,,,0,03,3,3,3,3
File,"EditActivity.java",1,1,2,1,13,1,10,0,,,,,1,0,0,8,,8,8,14,8,,0,2,2,4,,176,27,124,49,68,26,,,,84,97,43,54,,,,,,5,3,5,5,,,2,,,,0,21,15,12,19,12
File,"MainActivity.java",1,1,1,1,9,0,8,0,,,,,3,0,1,12,,12,12,4,12,,0,2,5,5,,191,24,129,48,62,38,,,,66,87,39,48,,,,,,3,3,4,1,,,2,,,,0,29,20,19,21,12
File,"ProgressCircle.java",1,1,1,1,7,0,6,0,,,,,1,0,0,10,,10,10,8,10,,0,1,1,8,,129,21,89,37,43,19,,,,59,73,36,37,,,,,,3,3,3,1,,,2,,,,0,21,14,14,15,10
File,"ScanActivity.java",1,1,1,1,10,0,9,0,,,,,4,1,2,10,,10,9,1,10,,0,1,3,6,,162,18,119,46,62,25,,,,59,75,44,31,,,,,,4,4,5,3,,,1,,,,0,21,14,14,15,12
File,"ScanFrameProcessor.java",1,1,1,1,10,0,10,0,,,,,2,0,1,4,,4,4,2,4,,0,1,0,3,,71,7,43,22,19,21,,,,24,30,21,9,,,,,,2,2,2,1,,,1,,,,0,49,5,5,5,4
File,"ScanWindowFrameLayout.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,50,7,23,10,8,20,,,,10,16,9,7,,,,,,2,2,2,1,,,1,,,,0,87,5,5,5,4
File,"Token.java",3,3,3,1,12,1,10,0,,,,,3,0,2,21,,19,21,15,21,,0,3,0,18,,346,61,252,72,165,34,,,,134,192,70,122,,,,,,18,18,20,3,,,3,,,,0,13,70,68,78,25
File,"TokenAdapter.java",1,1,1,1,11,1,9,0,,,,,4,0,0,11,,11,11,4,11,,0,0,3,8,,146,22,102,42,54,22,,,,58,72,40,32,,,,,,3,2,3,1,,,1,,,,0,22,14,13,15,11
File,"TokenCode.java",1,1,1,1,6,0,5,0,,,,,1,0,0,8,,8,8,4,8,,0,2,0,6,,85,13,53,22,30,19,,,,30,44,22,22,,,,,,3,3,4,3,,,1,,,,0,36,13,13,14,10
File,"TokenCodeTest.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,52,11,39,24,13,2,,,,21,27,18,9,,,,,,1,1,1,1,,,0,,,,0,05,5,5,5,5
File,"TokenLayout.java",2,1,2,1,13,1,10,1,,,,,1,0,0,9,,9,9,12,9,,0,1,1,7,,180,27,124,39,75,29,,,,86,103,37,66,,,,,,5,5,5,1,,,2,,,,0,23,18,17,18,9
File,"TokenPersistence.java",1,1,1,1,7,0,6,0,,,,,5,1,2,19,,19,18,7,19,,0,2,2,15,,227,33,153,68,75,43,,,,84,116,66,50,,,,,,4,4,6,4,,,2,,,,0,28,29,29,31,24
File,"TokenPersistenceTest.java",1,1,1,1,13,1,11,0,,,,,5,0,0,13,,13,13,6,13,,0,0,0,13,,211,36,173,61,108,2,,,,113,128,52,76,,,,,,2,2,2,1,,,1,,,,0,01,14,14,14,13
File,"TokenTest.java",1,1,1,1,9,1,8,0,,,,,2,1,0,18,,18,17,1,18,,0,0,0,18,,232,42,185,78,115,7,,,,121,141,59,82,,,,,,1,1,1,1,,,0,,,,0,04,18,18,18,18
File,"TokenTestUtils.java",2,2,2,1,10,1,8,0,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,46,12,32,9,17,2,,,,17,24,9,15,,,,,,4,4,4,1,,,1,,,,0,06,6,6,6,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.google.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.google.android.apps",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.google.android.apps.authenticator",2,2,2,1,12,0,10,1,,,,,2,3,2,,1,,5,5,8,,1,0,3,4,,161,19,98,35,58,45,,,,57,78,35,43,,,,,,6,6,7,1,,,3,,,,0,46,18,18,19,8
Public Class,"com.google.android.apps.authenticator.Base32String",2,2,2,1,13,0,11,1,1,1,1,0,,3,2,,,,4,5,7,7,1,0,3,3,,140,16,95,32,58,30,,,,54,75,32,43,,,,,,6,6,7,1,,1,3,,68,51,0,32,17,17,18,7
Protected Constructor,"com.google.android.apps.authenticator.Base32String.Base32String",,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,10,1,7,0,9,2,0,8,10,2,8,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Static Class,"com.google.android.apps.authenticator.Base32String.DecodingException",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Constructor,"com.google.android.apps.authenticator.Base32String.DecodingException.DecodingException",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.google.android.apps.authenticator.Base32String.clone",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"com.google.android.apps.authenticator.Base32String.decode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.google.android.apps.authenticator.Base32String.decodeInternal",,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,2,27,7,21,10,10,6,1,17,23,8,15,5,5,5,1,1,,,,,0,,2,0,,,0,37,5,5,5,1
Public Static Method,"com.google.android.apps.authenticator.Base32String.encode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.google.android.apps.authenticator.Base32String.encodeInternal",,,,,,,,,,,,,,,,,,,,,,,,,,,6,36,3,30,8,23,3,3,9,1,17,23,8,15,6,6,7,1,2,,,,,0,,3,0,,,0,10,6,6,7,1
Static Method,"com.google.android.apps.authenticator.Base32String.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.fedorahosted",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.fedorahosted.freeotp",1,1,1,1,10,1,8,0,,,,,34,5,5,,13,,135,64,140,,0,11,16,113,,2028,327,1445,547,823,261,,,,857,1089,495,594,,,,,,18,18,20,4,,,3,,,,0,18,233,227,247,148
Public Class,"org.fedorahosted.freeotp.AboutActivity",1,1,1,1,16,2,14,0,1,0,0,0,,0,0,,,,2,0,2,2,0,0,1,1,,39,5,33,15,22,1,,,,21,25,12,13,,,,,,2,2,2,1,,2,1,,0,0,0,03,3,3,3,2
Protected Method,"org.fedorahosted.freeotp.AboutActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.fedorahosted.freeotp.AboutActivity.onStart",,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,4,24,10,20,0,12,2,0,19,21,10,11,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Abstract Class,"org.fedorahosted.freeotp.BaseReorderableAdapter",2,2,2,1,65,9,51,5,1,0,0,1,,0,0,,,,4,0,4,4,0,0,3,1,,82,14,63,14,44,5,,,,29,39,17,22,,,,,,2,2,2,1,,2,0,,0,0,0,08,2,2,2,1
Private Generic Class,"org.fedorahosted.freeotp.BaseReorderableAdapter.Reference",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,1,1,1,0,0,0,1,,7,1,6,3,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Constructor,"org.fedorahosted.freeotp.BaseReorderableAdapter.Reference.Reference",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
TypeVariable,"org.fedorahosted.freeotp.BaseReorderableAdapter.Reference.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Protected Abstract Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.bindView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Protected Abstract Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.createView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,65,9,51,6,43,5,7,2,0,24,31,10,21,2,2,2,1,0,,,,,0,,0,0,,,0,10,2,2,2,1
Anonymous Class,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_1)",3,2,3,1,26,4,22,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,30,4,25,2,22,1,,,,11,14,4,10,,,,,,3,2,3,1,,2,0,,0,0,0,04,3,2,3,1
Public Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_1).onDrag",,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,4,22,2,19,0,8,3,0,11,14,4,10,3,2,3,1,1,,,,,0,,0,0,,,0,00,3,2,3,1
Anonymous Class,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_1).onDrag.(Anon_2)",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_1).onDrag.(Anon_2).run",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_3)",1,1,1,1,19,2,13,4,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,21,2,15,2,13,4,,,,6,8,4,4,,,,,,1,1,1,1,,2,0,,0,0,0,27,1,1,1,1
Public Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_3).onLongClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,2,13,2,11,4,3,1,0,6,8,4,4,1,1,1,1,0,,,,,0,,0,0,,,0,31,1,1,1,1
Anonymous Class,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_3).onLongClick.(Anon_4)",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,0,8,2,7,1,,,,3,4,3,1,,,,,,1,1,1,1,,2,0,,0,0,0,12,1,1,1,1
Public Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.getView.(Anon_3).onLongClick.(Anon_4).run",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,4,0,3,1,0,3,4,3,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Abstract Method,"org.fedorahosted.freeotp.BaseReorderableAdapter.move",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Class,"org.fedorahosted.freeotp.MainActivity",1,1,1,1,9,0,8,0,2,7,7,0,,0,1,,,,10,4,10,10,0,2,5,3,,130,18,110,29,62,2,,,,47,68,20,48,,,,,,3,3,4,1,,2,2,,75,72,0,02,17,16,18,10
