Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAtomFeedParser.java",1,1,1,1,12,0,7,5,,,,,1,0,0,8,,9,9,5,9,,0,0,2,7,,173,17,78,34,33,78,,,,41,56,29,27,,,,,,4,4,4,1,,,2,,,,1,00,12,12,12,8
File,"AbstractDataStore.java",1,1,1,1,7,0,3,4,,,,,1,0,0,7,,7,7,2,7,,0,0,1,6,,96,12,32,16,8,52,,,,16,24,16,8,,,,,,1,1,1,1,,,0,,,,1,62,7,7,7,7
File,"AbstractDataStoreFactory.java",2,2,2,1,16,0,16,0,,,,,1,0,1,1,,2,2,2,2,,0,0,1,1,,73,8,32,18,14,33,,,,20,24,16,8,,,,,,2,2,2,1,,,2,,,,1,03,2,2,2,1
File,"AbstractDataStoreFactoryTest.java",1,1,1,1,14,0,11,2,,,,,1,1,2,13,,14,13,3,14,,0,3,1,10,,243,18,175,35,127,50,,,,135,153,33,120,,,,,,3,3,3,1,,,1,,,,0,29,17,17,17,13
File,"AbstractHttpContent.java",1,1,1,1,8,0,3,4,,,,,1,1,0,10,,10,9,2,10,,0,0,4,6,,134,15,49,19,18,70,,,,21,34,19,15,,,,,,2,2,3,1,,,1,,,,1,43,15,15,16,10
File,"AbstractHttpContentTest.java",1,1,1,1,4,0,4,0,,,,,2,0,0,7,,7,7,2,7,,1,0,0,6,,74,12,44,22,16,18,,,,23,32,19,13,,,,,,1,1,1,1,,,0,,,,0,41,7,7,7,7
File,"AbstractInputStreamContent.java",1,1,1,1,7,0,3,3,,,,,1,0,0,6,,7,7,2,7,,0,0,0,7,,107,12,32,16,10,63,,,,18,25,16,9,,,,,,1,1,1,1,,,0,,,,1,97,6,6,6,6
File,"AbstractJsonFactoryTest.java",1,1,1,1,11,0,10,1,,,,,48,0,59,97,,96,98,101,98,,0,2,1,95,,1788,212,1462,734,905,120,,,,985,1145,632,513,,,,,,5,5,5,1,,,2,,,,0,08,115,115,117,97
File,"AbstractJsonGeneratorTest.java",1,1,1,1,8,1,7,0,,,,,2,0,0,3,,4,4,0,4,,0,0,1,3,,60,11,36,22,15,13,,,,25,30,21,9,,,,,,1,1,1,1,,,0,,,,0,36,3,3,3,3
File,"AbstractJsonParserTest.java",1,1,1,1,10,1,9,0,,,,,1,0,2,2,,3,3,0,3,,0,0,1,2,,59,9,35,24,16,15,,,,27,30,22,8,,,,,,1,1,1,1,,,0,,,,0,43,2,2,2,2
