Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"About.java",5,5,5,1,22,1,18,2,,,,,1,0,0,5,,5,5,3,5,,0,1,1,3,,135,19,106,22,59,10,,,,42,71,21,50,,,,,,16,16,16,1,,,3,,,,0,09,28,28,28,5
File,"AboutMBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractMvcIT.java",1,1,1,1,6,0,5,0,,,,,2,4,2,7,,7,2,2,6,,0,1,4,1,,93,15,76,45,24,2,,,,37,49,34,15,,,,,,3,3,3,1,,,1,,,,0,03,11,11,11,7
File,"Activator.java",1,1,1,1,7,1,6,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,31,8,23,11,9,0,,,,15,18,9,9,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Activator.java",2,2,2,1,7,0,7,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,35,7,28,16,10,0,,,,15,20,14,6,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,2
File,"App.java",5,5,6,2,29,2,25,1,,,,,1,4,2,4,,4,0,0,4,,0,1,1,2,,160,18,119,40,81,24,,,,67,90,42,48,,,,,,14,14,17,5,,,4,,,,0,20,21,21,24,10
File,"AuthHelpers.java",4,4,4,1,17,3,14,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,56,10,28,17,12,18,,,,17,23,17,6,,,,,,4,4,4,1,,,3,,,,0,64,4,4,4,1
File,"AuthInfo.java",1,1,2,1,3,0,3,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,17,5,9,6,1,3,,,,5,7,6,1,,,,,,1,1,2,1,,,0,,,,0,33,1,1,2,1
File,"AuthenticateResult.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,3,2,,0,0,0,2,,10,1,6,5,0,3,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,50,2,2,2,2
File,"AuthenticationConfiguration.java",2,2,2,1,11,0,10,0,,,,,1,2,24,13,,13,11,7,13,,0,1,0,12,,219,32,180,72,112,7,,,,89,125,65,60,,,,,,17,17,19,4,,,3,,,,0,04,33,33,36,16
File,"AuthenticationContainerDiscovery.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,23,4,5,4,0,14,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,2,80,0,0,0,0
File,"AuthenticationFilter.java",2,2,2,1,10,0,9,0,,,,,1,1,1,8,,8,4,1,5,,0,2,0,3,,115,16,91,36,52,8,,,,51,65,32,33,,,,,,8,6,11,4,,,2,,,,0,09,18,16,23,11
File,"Authenticator.java",4,4,4,3,20,2,18,0,,,,,2,10,5,13,,13,2,2,12,,0,7,0,5,,321,49,266,76,162,6,,,,131,195,78,117,,,,,,10,10,12,8,,,7,,,,0,02,55,55,60,42
File,"BaseMojo.java",3,3,3,1,20,2,13,3,,,,,1,0,0,13,,14,14,14,14,,0,0,14,0,,355,68,237,111,122,50,,,,133,177,101,76,,,,,,7,7,7,3,,,3,,,,0,21,39,39,42,15
File,"BaseRunMojo.java",2,2,2,1,22,3,17,2,,,,,3,0,0,11,,12,12,8,12,,1,0,8,3,,220,44,159,55,91,18,,,,87,116,47,69,,,,,,6,6,7,1,,,3,,,,0,11,27,27,29,11
File,"BaseTagHrefFilter.java",1,1,1,1,6,0,5,0,,,,,3,0,2,13,,13,13,4,13,,0,0,0,13,,137,27,109,59,42,1,,,,55,76,51,25,,,,,,5,5,6,1,,,3,,,,0,01,20,20,22,13
File,"BaseTagHrefFilterTest.java",1,1,1,1,4,0,4,0,,,,,2,0,0,12,,12,12,7,12,,0,3,0,9,,113,21,92,51,29,0,,,,55,69,42,27,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
File,"CORSFilter.java",2,2,2,1,9,0,8,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,29,4,24,9,10,1,,,,11,17,8,9,,,,,,4,4,4,1,,,2,,,,0,04,5,5,5,2
File,"CacheHeadersFilter.java",2,2,3,1,10,0,9,0,,,,,1,2,3,6,,6,4,1,6,,2,1,1,2,,89,16,71,25,37,2,,,,34,51,22,29,,,,,,5,5,5,3,,,1,,,,0,03,16,16,19,8
File,"CacheValue.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,35,4,12,7,3,19,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,1,58,2,2,2,2
File,"CamelBlueprintMojo.java",6,6,7,2,23,1,20,1,,,,,1,0,0,4,,4,4,5,4,,0,0,4,0,,133,20,108,36,53,5,,,,49,78,32,46,,,,,,11,11,13,4,,,5,,,,0,05,24,24,28,11
File,"CamelCdiMojo.java",5,5,6,2,18,1,16,1,,,,,1,0,0,4,,4,4,1,4,,0,0,4,0,,101,14,83,27,41,4,,,,36,61,27,34,,,,,,7,7,9,4,,,5,,,,0,05,20,20,24,11
File,"CamelMojo.java",4,4,5,2,16,1,14,1,,,,,1,0,0,4,,4,4,3,4,,0,0,4,0,,100,14,81,31,38,5,,,,37,59,26,33,,,,,,9,9,11,5,,,5,,,,0,06,19,19,22,10
File,"ClassLoaderProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,29,2,4,3,0,23,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,5,75,0,0,0,0
File,"ClassLoaderProviders.java",1,1,1,1,11,0,11,0,,,,,3,2,1,6,,6,4,0,6,,0,0,0,6,,75,7,48,11,30,20,,,,19,29,15,14,,,,,,5,5,5,3,,,2,,,,0,42,10,10,10,8
File,"ClassResource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,40,5,16,8,4,19,,,,8,12,8,4,,,,,,1,1,1,1,,,0,,,,1,19,3,3,3,3
File,"ClassScanner.java",2,2,3,1,12,0,10,1,,,,,3,1,2,38,,38,37,5,38,,0,2,16,20,,560,57,433,159,260,70,,,,210,328,173,155,,,,,,8,8,9,5,,,5,,,,0,16,104,104,115,49
File,"Closeables.java",2,2,2,1,6,0,5,1,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,20,4,14,5,4,2,,,,3,8,5,3,,,,,,3,3,3,1,,,2,,,,0,14,4,4,4,2
File,"ConditionalOnExposedEndpoint.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,15,3,12,11,0,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ConfigAdmin.java",2,2,2,1,9,0,8,0,,,,,1,0,0,4,,4,4,3,4,,3,0,0,1,,59,7,52,23,21,0,,,,27,38,22,16,,,,,,4,4,4,1,,,2,,,,0,00,10,10,11,4
File,"ConfigAdminMXBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,12,2,5,4,0,5,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ConfigAdminTest.java",1,1,1,1,23,7,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,42,12,30,20,14,0,,,,24,26,18,8,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ConfigFacade.java",1,1,1,1,6,0,5,0,,,,,1,1,3,11,,11,10,2,11,,0,0,1,10,,108,16,85,40,36,7,,,,44,62,36,26,,,,,,3,3,3,3,,,2,,,,0,08,17,17,17,13
File,"ConfigFacadeMBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,16,2,5,4,0,9,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"ConfigFacadeTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,47,12,35,22,13,0,,,,21,26,18,8,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ConfigManager.java",1,1,1,1,6,0,5,0,,,,,1,2,2,11,,11,6,2,8,,0,2,0,6,,105,22,77,26,38,6,,,,34,51,24,27,,,,,,5,5,5,1,,,2,,,,0,08,19,19,19,11
File,"ConfigManagerTest.java",1,1,1,1,6,0,5,0,,,,,2,2,1,17,,17,13,2,15,,0,0,0,15,,168,40,128,61,62,0,,,,71,88,42,46,,,,,,2,2,2,1,,,0,,,,0,00,19,19,19,17
File,"ContentSecurityPolicyFilter.java",3,3,3,1,17,1,15,0,,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,73,9,60,30,31,4,,,,33,41,27,14,,,,,,6,6,6,1,,,3,,,,0,07,7,7,7,2
File,"ContentSecurityPolicyFilterTest.java",1,1,1,1,12,0,9,2,,,,,1,0,0,4,,4,4,7,4,,0,0,0,4,,85,13,63,28,30,9,,,,40,45,24,21,,,,,,1,1,1,1,,,0,,,,0,14,4,4,4,4
File,"DefaultJUnitService.java",3,3,3,1,14,1,11,1,,,,,1,6,0,12,,12,6,0,12,,0,6,0,6,,200,33,152,48,86,15,,,,63,107,45,62,,,,,,6,6,8,5,,,3,,,,0,10,40,40,44,22
File,"DefaultMojoLifecycle.java",4,4,4,2,18,0,16,3,,,,,1,0,0,5,,5,5,2,5,,0,2,0,3,,116,10,95,26,59,18,,,,47,70,29,41,,,,,,10,10,10,6,,,3,,,,0,19,20,20,21,13
File,"DefaultProxyAddress.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,57,7,30,15,9,20,,,,12,18,11,7,,,,,,1,1,1,1,,,0,,,,0,67,5,5,5,5
File,"DefaultSettingsMvcIT.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,29,6,23,14,5,0,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"EndpointPathResolver.java",2,2,2,1,11,1,9,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,67,15,52,29,25,0,,,,32,40,26,14,,,,,,3,3,4,1,,,1,,,,0,00,8,8,10,4
File,"ExposedEndpoint.java",2,2,3,1,13,2,11,0,,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,34,7,27,21,10,0,,,,20,23,20,3,,,,,,2,2,3,1,,,1,,,,0,00,2,2,3,1
File,"FailureDTO.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,5,13,,0,0,0,13,,98,16,61,26,22,21,,,,27,42,25,17,,,,,,2,2,2,1,,,1,,,,0,34,14,14,14,13
File,"FileDTO.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,43,10,30,13,9,3,,,,14,22,13,9,,,,,,1,1,1,1,,,0,,,,0,10,7,7,7,7
File,"FileFilters.java",1,1,1,1,6,0,6,0,,,,,6,6,1,16,,16,10,0,16,,0,0,0,16,,101,13,85,15,53,3,,,,27,48,24,24,,,,,,5,5,5,4,,,2,,,,0,04,20,20,21,19
File,"FileLocker.java",1,1,1,1,7,0,5,1,,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,45,7,30,10,12,8,,,,12,20,9,11,,,,,,3,3,3,3,,,2,,,,0,27,7,7,7,6
File,"Files.java",4,4,4,2,17,0,15,2,,,,,1,8,2,8,,8,0,0,8,,0,0,0,8,,186,15,133,32,78,38,,,,58,95,33,62,,,,,,15,15,17,15,,,3,,,,0,29,34,34,38,22
File,"ForbiddenReason.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,6,1,5,4,0,0,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Function.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,1,4,3,0,6,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"HawtPlugin.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,56,12,44,21,13,0,,,,19,29,16,13,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"HawtPlugin.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,56,12,44,21,13,0,,,,19,29,16,13,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"HawtioAuthenticationIsDisabledMvcIT.java",1,1,1,1,4,0,4,0,,,,,38,0,0,58,,58,58,6,58,,0,0,2,56,,500,77,423,201,128,0,,,,101,197,119,78,,,,,,3,3,3,1,,,0,,,,0,00,60,60,60,58
File,"HawtioAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,2,0,0,6,,6,6,1,6,,0,0,1,5,,68,12,53,39,7,3,,,,22,30,24,6,,,,,,1,1,1,1,,,0,,,,0,06,6,6,6,6
File,"HawtioBlueprintContextListener.java",3,3,4,1,19,0,18,0,,,,,2,0,4,5,,5,5,0,5,,0,0,2,3,,145,13,110,52,68,22,,,,63,87,56,31,,,,,,8,8,8,1,,,5,,,,0,20,19,19,20,5
File,"HawtioBlueprintContextListener.java",3,3,4,1,19,0,18,0,,,,,2,0,4,5,,5,5,0,5,,0,0,2,3,,145,13,110,52,68,22,,,,63,87,56,31,,,,,,8,8,8,1,,,5,,,,0,20,19,19,20,5
File,"HawtioConfiguration.java",1,1,1,1,6,0,6,0,,,,,3,0,1,27,,27,26,4,26,,2,1,2,21,,330,47,263,141,118,34,,,,142,175,104,71,,,,,,2,2,3,1,,,1,,,,0,13,31,31,33,27
File,"HawtioConfigurationIT.java",1,1,1,1,3,0,3,0,,,,,8,0,0,7,,7,7,2,7,,0,0,0,7,,98,18,80,58,7,0,,,,24,39,32,7,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"HawtioContextListener.java",1,1,1,1,8,0,8,0,,,,,1,0,1,5,,5,5,6,5,,0,0,1,4,,77,12,62,25,30,3,,,,44,52,25,27,,,,,,2,2,2,1,,,1,,,,0,05,7,7,7,5
File,"HawtioEndpoint.java",1,1,1,1,8,0,6,2,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,71,9,52,26,23,16,,,,21,27,20,7,,,,,,1,1,1,1,,,0,,,,0,31,5,5,5,5
File,"HawtioEndpoint.java",1,1,1,1,8,0,6,2,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,71,9,52,25,23,16,,,,21,27,19,8,,,,,,1,1,1,1,,,0,,,,0,31,5,5,5,5
File,"HawtioEndpointAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,1,5,,0,0,1,4,,67,9,55,43,6,3,,,,22,29,24,5,,,,,,1,1,1,1,,,0,,,,0,05,5,5,5,5
File,"HawtioEndpointTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,25,5,20,13,4,0,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"HawtioEndpointTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,25,5,20,13,5,0,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"HawtioManagementConfiguration.java",1,1,1,1,6,0,5,0,,,,,3,0,1,28,,28,27,2,27,,1,1,2,23,,310,46,246,131,107,31,,,,137,170,100,70,,,,,,2,2,2,1,,,1,,,,0,13,31,31,31,28
File,"HawtioProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,20,5,12,7,2,3,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"HawtioProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,20,5,12,7,2,3,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"HawtioProperty.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,23,3,5,4,2,15,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,00,0,0,0,0
File,"HawtioSpringBootCustomManagementPortIT.java",1,1,1,1,5,0,5,0,,,,,1,0,0,21,,21,11,0,11,,0,0,0,11,,124,14,110,46,72,0,,,,35,47,25,22,,,,,,1,1,1,1,,,0,,,,0,00,21,21,21,21
File,"HawtioSpringBootEndpointIT.java",1,1,1,1,6,0,6,0,,,,,1,0,0,64,,64,32,0,32,,0,0,0,32,,400,44,356,135,255,1,,,,106,139,71,68,,,,,,1,1,1,1,,,0,,,,0,00,64,64,64,64
File,"HawtioSpringBootExposedEndpointIT.java",1,1,1,1,2,0,2,0,,,,,2,0,0,11,,11,5,1,5,,0,0,0,5,,54,10,41,21,14,3,,,,14,21,14,7,,,,,,1,1,1,1,,,0,,,,0,07,11,11,11,11
File,"HawtioSpringBootTestCommon.java",1,1,1,1,8,1,7,0,,,,,1,0,0,12,,12,6,0,6,,0,0,0,6,,86,16,70,29,46,0,,,,28,35,18,17,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
File,"HawtioSpringBootTestSupport.java",1,1,1,1,6,0,6,0,,,,,3,1,2,30,,30,28,19,29,,0,3,3,23,,279,47,232,84,118,1,,,,110,152,78,74,,,,,,9,9,9,1,,,1,,,,0,00,40,40,40,30
File,"HelloController.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,12,9,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
