Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AesTools.java",1,1,1,1,16,0,7,9,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,91,7,36,26,18,48,,,,28,32,26,6,,,,,,1,1,1,1,,,0,,,,1,33,3,3,3,3
File,"AmqController.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,32,3,8,7,0,21,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,62,0,0,0,0
File,"BaseController.java",1,1,1,1,10,0,4,5,,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,106,11,41,23,16,54,,,,23,31,22,9,,,,,,2,2,2,1,,,1,,,,1,32,7,7,7,6
File,"Cmd.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,57,8,28,11,9,21,,,,11,19,10,9,,,,,,2,2,2,1,,,1,,,,0,75,7,7,7,5
File,"DbsApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,36,2,13,10,1,21,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,1,62,1,1,1,1
File,"Device.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,19,3,10,9,0,6,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"DeviceGroupApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,39,3,15,12,1,21,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,1,40,1,1,1,1
File,"DeviceManagerApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,39,3,15,12,1,21,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,1,40,1,1,1,1
File,"DeviceManagerFeignApi.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,32,3,8,7,0,21,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,62,0,0,0,0
File,"DeviceManagerFeignApiHystrix.java",1,1,1,1,5,0,5,0,,,,,2,0,0,1,,1,1,0,1,,0,0,0,1,,39,3,15,10,3,21,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,1,40,1,1,1,1
File,"ErrorCode.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,32,7,25,10,9,0,,,,13,19,10,9,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ErrorCodeEnum.java",1,1,1,1,4,0,3,1,,,,,1,1,0,4,,2,3,9,4,,1,0,0,3,,80,6,26,15,6,48,,,,9,14,8,6,,,,,,3,3,3,3,,,2,,,,1,85,6,6,6,6
File,"ErrorCodes.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,2,4,3,1,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
