Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActualWorkTime.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,3,10,,0,0,0,10,,57,13,41,19,11,3,,,,18,29,18,11,,,,,,1,1,1,1,,,0,,,,0,07,10,10,10,10
File,"ActualWorkTimeTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,4,0,4,,4,0,0,0,,83,7,72,52,23,4,,,,18,23,19,4,,,,,,1,1,1,1,,,0,,,,0,06,7,7,7,7
File,"Amount.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,1,7,,0,0,0,7,,48,10,35,16,12,3,,,,15,24,15,9,,,,,,2,2,2,1,,,1,,,,0,09,8,8,8,7
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,11,2,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AttendDates.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,23,6,14,9,2,3,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,21,2,2,2,2
File,"Attendance.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,8,3,8,,0,0,0,8,,55,12,40,18,13,3,,,,19,28,18,10,,,,,,1,1,1,1,,,0,,,,0,07,9,9,9,9
File,"AttendanceController.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,3,4,,3,0,0,1,,55,8,44,31,10,3,,,,27,32,24,8,,,,,,1,1,1,1,,,0,,,,0,07,4,4,4,4
File,"AttendanceForm.java",2,2,2,2,9,0,8,0,,,,,1,0,0,14,,14,14,17,14,,4,2,0,8,,194,42,152,68,79,0,,,,91,124,58,66,,,,,,5,5,6,5,,,2,,,,0,00,32,32,35,30
File,"AttendanceQueryService.java",1,1,1,1,5,0,3,2,,,,,1,0,0,3,,3,3,1,3,,1,0,0,2,,38,6,23,16,4,9,,,,14,18,15,3,,,,,,1,1,1,1,,,0,,,,0,39,3,3,3,3
File,"AttendanceStatus.java",1,1,1,1,1,0,1,0,,,,,1,1,0,4,,2,3,2,4,,0,0,0,4,,18,3,12,6,3,3,,,,5,8,4,4,,,,,,2,2,2,1,,,1,,,,0,25,5,5,5,4
File,"BaseControllerAdvice.java",1,1,1,1,7,1,6,0,,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,32,7,25,12,10,0,,,,13,15,9,6,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BindingTime.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,24,6,15,8,3,3,,,,6,10,7,3,,,,,,1,1,1,1,,,0,,,,0,20,3,3,3,3
File,"BreakTime.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,5,13,8,2,3,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"ClockTime.java",1,1,1,1,4,0,4,0,,,,,1,0,0,12,,12,12,1,12,,1,0,0,11,,72,15,54,26,23,3,,,,24,39,24,15,,,,,,2,2,2,1,,,1,,,,0,06,14,14,14,12
File,"ClockTimeRange.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,27,6,18,8,5,3,,,,8,13,8,5,,,,,,1,1,1,1,,,0,,,,0,17,4,4,4,4
File,"ClockTimeRangeTest.java",1,1,1,1,9,2,7,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,28,6,22,19,5,0,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Contract.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,8,2,8,,0,0,0,8,,66,11,52,22,20,3,,,,25,37,22,15,,,,,,2,2,2,1,,,1,,,,0,06,14,14,14,10
File,"ContractDataSource.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,1,0,0,3,,51,8,43,27,13,0,,,,25,32,24,8,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
