Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccelerationLogger.java",2,2,2,1,8,0,8,0,,,,,1,0,2,6,,6,6,7,6,,0,0,0,6,,93,13,75,34,39,5,,,,39,55,32,23,,,,,,3,3,3,3,,,2,,,,0,07,13,12,13,10
File,"Coordinates.java",1,1,1,1,9,0,8,0,,,,,1,8,1,8,,8,0,0,8,,0,3,0,5,,96,19,73,41,44,6,,,,45,56,38,18,,,,,,3,3,4,1,,,1,,,,0,08,12,12,13,8
File,"CoordinatesUnitTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,45,8,33,19,14,4,,,,19,24,15,9,,,,,,1,1,1,1,,,0,,,,0,12,4,4,4,4
File,"DeviationCalculator.java",2,2,2,1,9,0,9,0,,,,,1,0,1,9,,9,9,10,9,,0,1,0,8,,110,10,97,25,59,4,,,,73,96,32,64,,,,,,6,6,6,3,,,2,,,,0,04,22,22,22,11
File,"DeviationsCalculatorTest.java",4,4,4,1,17,1,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,7,25,17,12,3,,,,20,24,18,6,,,,,,4,4,4,1,,,2,,,,0,12,4,4,4,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"GPSAccKalmanFilter.java",1,1,1,1,10,0,9,0,,,,,1,0,1,12,,12,12,8,12,,0,5,0,7,,165,26,133,74,73,7,,,,63,77,38,39,,,,,,2,2,2,1,,,1,,,,0,05,14,14,14,12
File,"GPSDataLogger.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,3,8,,0,0,0,8,,85,16,65,31,27,4,,,,30,43,26,17,,,,,,3,3,3,3,,,1,,,,0,06,12,12,13,10
File,"GeoHash.java",1,1,1,1,13,1,11,1,,,,,1,3,2,3,,3,0,0,3,,0,1,0,2,,57,9,43,14,32,8,,,,29,34,10,24,,,,,,2,2,2,1,,,1,,,,0,19,4,4,4,3
File,"GeoHashUnitTest.java",1,1,1,1,16,1,15,0,,,,,2,0,0,4,,4,4,4,4,,1,0,0,3,,100,16,79,60,46,5,,,,38,48,37,11,,,,,,3,3,3,1,,,1,,,,0,06,6,6,6,4
File,"GeoPoint.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,15,3,9,5,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
