Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimatedCircleDrawable.java",1,1,1,1,6,0,5,0,,,,,2,0,0,6,,6,6,6,6,,0,0,0,6,,75,16,55,29,21,4,,,,35,44,26,18,,,,,,2,2,2,1,,,1,,,,0,07,7,7,7,6
File,"AppActivity.java",1,1,1,1,8,0,8,0,,,,,2,1,1,3,,3,2,1,3,,0,0,1,2,,42,7,31,14,14,4,,,,14,19,13,6,,,,,,2,2,2,1,,,1,,,,0,13,4,4,4,3
File,"GcmInstanceIDListener.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,19,4,11,7,3,4,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"GcmMessageHandler.java",1,1,1,1,12,1,10,0,,,,,1,1,3,7,,7,6,0,7,,0,2,0,5,,123,24,95,42,58,4,,,,51,66,37,29,,,,,,5,5,5,1,,,2,,,,0,04,13,13,13,7
File,"IResultListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,1,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"InitialLoad.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,9,1,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"JacksonConverterFactory.java",1,1,1,1,5,0,5,0,,,,,3,2,1,9,,9,7,3,9,,2,1,0,6,,96,17,75,42,25,4,,,,39,55,38,17,,,,,,3,3,3,1,,,2,,,,0,05,12,12,12,9
File,"MainActivity.java",3,3,3,2,30,4,23,2,,,,,6,0,0,17,,17,17,6,17,,0,1,6,10,,365,71,271,54,175,23,,,,140,197,58,139,,,,,,21,21,24,21,,,3,,,,0,08,56,56,59,42
File,"MattermostApplication.java",1,1,1,1,10,1,8,0,,,,,2,2,2,5,,5,3,0,5,,0,0,0,5,,73,15,52,18,29,6,,,,28,38,18,20,,,,,,5,5,5,1,,,2,,,,0,12,9,9,9,5
File,"MattermostService.java",1,1,1,1,5,0,5,0,,,,,2,0,2,17,,21,21,8,21,,4,0,0,17,,186,42,140,73,53,4,,,,85,108,65,43,,,,,,3,3,3,3,,,1,,,,0,03,21,21,21,19
File,"NotificationDismissReceiver.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,2,10,7,1,4,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"PersistentCookieStore.java",2,2,2,1,11,1,10,0,,,,,1,0,3,13,,13,13,2,13,,0,0,5,8,,198,33,161,61,99,4,,,,87,128,61,67,,,,,,7,7,8,3,,,6,,,,0,02,36,36,38,15
File,"Ping.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,10,1,5,4,0,4,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,80,0,0,0,0
File,"Promise.java",1,1,1,1,9,0,9,0,,,,,4,1,0,15,,15,14,5,15,,1,0,0,14,,145,23,116,31,62,6,,,,48,78,37,41,,,,,,5,5,6,1,,,2,,,,0,05,27,27,28,15
File,"PromiseConverterFactory.java",1,1,1,1,10,2,8,0,,,,,2,1,0,4,,4,3,0,4,,0,0,0,4,,59,14,41,19,19,4,,,,23,30,20,10,,,,,,3,3,3,1,,,0,,,,0,10,6,6,6,4
