Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"A_Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,11,8,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApiCallDemo.java",1,1,1,1,6,0,4,1,,,,,2,1,0,5,,5,4,4,5,,0,2,0,3,,58,15,37,19,14,8,,,,20,29,19,10,,,,,,2,2,2,1,,,1,,,,0,22,7,7,7,5
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,38,4,20,9,3,14,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
File,"B2_Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,11,8,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"B_Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,11,8,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ComputeController.java",1,1,1,1,6,0,5,1,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,38,7,30,23,8,3,,,,20,23,19,4,,,,,,1,1,1,1,,,0,,,,0,10,2,2,2,2
File,"ComputeController.java",4,4,5,1,38,4,22,12,,,,,1,0,2,1,,1,1,4,1,,0,0,0,1,,87,16,47,31,21,24,,,,33,38,27,11,,,,,,4,4,5,1,,,1,,,,0,51,4,4,5,1
File,"ComputeController.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,36,7,28,22,7,2,,,,18,21,18,3,,,,,,1,1,1,1,,,0,,,,0,07,2,2,2,2
File,"ConfigApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,11,8,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ConsumerController.java",1,1,1,1,5,1,4,2,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,27,7,20,16,2,2,,,,12,14,12,2,,,,,,1,1,1,1,,,0,,,,0,10,1,1,1,1
