Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CircularImageView.java",1,1,1,1,8,1,7,0,,,,,1,0,7,27,,27,27,19,27,,0,4,2,21,,337,71,263,92,143,3,,,,154,202,82,120,,,,,,5,5,6,4,,,2,,,,0,01,48,48,49,33
File,"ConstantStrings.java",1,1,1,1,23,0,23,1,,,,,1,4,2,4,,4,0,0,4,,0,0,0,4,,106,6,97,8,86,9,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,0,09,4,4,4,4
File,"Constants.java",7,7,7,1,24,0,24,0,,,,,3,1,19,1,,1,0,0,1,,0,0,0,1,,87,13,50,24,34,25,,,,28,38,24,14,,,,,,7,7,7,1,,,1,,,,0,50,7,7,7,1
File,"CustomSwipeRefresh.java",1,1,1,1,4,0,4,0,,,,,2,0,0,4,,5,5,1,5,,1,0,0,4,,37,7,27,13,6,3,,,,11,18,12,6,,,,,,2,2,2,1,,,1,,,,0,11,5,5,5,4
File,"FullscreenWebPlayer.java",1,1,1,1,12,2,10,0,,,,,1,0,2,3,,3,3,2,3,,0,0,2,1,,59,11,48,21,25,0,,,,30,36,17,19,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"GetPermission.java",2,2,2,1,16,1,15,0,,,,,4,0,2,6,,6,6,3,6,,0,1,2,3,,109,11,95,31,59,3,,,,48,63,30,33,,,,,,6,6,6,1,,,3,,,,0,03,14,14,15,6
File,"ImageLoadTask.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,1,3,,0,0,2,1,,46,10,33,19,14,3,,,,19,24,16,8,,,,,,2,2,2,1,,,1,,,,0,09,4,4,4,3
File,"JavaScript.java",1,1,1,1,3,0,3,0,,,,,1,15,0,15,,15,0,0,15,,0,0,0,15,,72,16,53,17,20,3,,,,16,32,17,15,,,,,,1,1,1,1,,,0,,,,0,06,15,15,15,15
File,"JavaScriptInterface.java",1,1,1,1,5,0,5,0,,,,,3,0,1,7,,7,7,1,7,,0,0,0,7,,58,4,47,20,20,7,,,,23,31,18,13,,,,,,1,1,1,1,,,0,,,,0,15,7,7,7,7
File,"LoadDetailsTask.java",1,1,1,1,10,2,8,0,,,,,1,0,0,3,,3,3,2,3,,0,0,2,1,,57,15,39,21,14,3,,,,22,28,19,9,,,,,,3,3,3,1,,,2,,,,0,08,5,5,5,3
File,"MainActivity.java",2,2,2,1,19,1,17,0,,,,,13,1,1,26,,26,25,14,26,,0,3,2,21,,425,45,363,105,232,22,,,,200,255,109,146,,,,,,5,5,6,4,,,4,,,,0,06,52,52,56,33
File,"PlayerService.java",3,3,3,1,33,2,29,2,,,,,6,10,33,30,,30,20,40,30,,0,9,0,21,,978,98,812,153,600,73,,,,486,589,149,440,,,,,,20,18,20,3,,,4,,,,0,09,110,105,115,32
File,"RateOrStar.java",3,1,3,1,25,1,18,6,,,,,1,0,0,3,,3,3,6,3,,1,0,1,1,,97,9,73,25,47,19,,,,51,57,22,35,,,,,,7,3,7,1,,,2,,,,0,26,9,5,9,3
File,"Session.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,30,5,4,3,0,21,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,5,25,0,0,0,0
File,"SettingsActivity.java",1,1,1,1,16,1,15,0,,,,,4,0,0,7,,7,7,10,7,,0,1,1,5,,134,14,119,47,73,2,,,,85,96,46,50,,,,,,3,2,3,1,,,1,,,,0,02,11,10,12,7
File,"SuggestionCursorAdapter.java",1,1,1,1,6,0,6,0,,,,,3,0,0,5,,5,5,1,5,,0,0,0,5,,48,6,42,21,18,0,,,,24,30,21,9,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"SuggestionRepository.java",1,1,1,1,8,0,8,0,,,,,2,1,1,5,,5,4,2,5,,1,0,0,4,,57,10,47,20,23,0,,,,23,31,21,10,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,5
File,"SuggestionService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,15,3,12,11,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"SuggestionViewModel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,20,6,14,8,3,0,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"WebPlayer.java",1,1,1,1,6,0,5,0,,,,,2,2,1,8,,8,6,1,8,,0,0,0,8,,72,15,52,18,22,5,,,,26,37,20,17,,,,,,3,3,3,1,,,0,,,,0,10,10,10,10,8
File,"YTubeView.java",6,6,8,1,55,2,41,13,,,,,1,0,3,3,,3,3,2,3,,0,1,1,1,,213,17,144,38,99,54,,,,84,104,34,70,,,,,,10,10,14,3,,,4,,,,0,38,18,18,24,5
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.shapps",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
