Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractTask.java",2,2,2,1,7,0,7,0,,,,,1,0,0,3,,5,5,2,5,,1,0,4,0,,43,8,32,13,12,5,,,,14,21,11,10,,,,,,3,3,3,1,,,2,,,,0,16,6,6,6,3
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BackgroundWork.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Completion.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,8,2,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"MainActivity.java",1,1,1,1,10,0,10,0,,,,,4,0,0,7,,7,7,0,7,,0,2,1,4,,61,9,52,18,28,0,,,,28,36,21,15,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"Task.java",1,1,2,1,5,0,5,0,,,,,1,0,0,3,,3,3,2,3,,1,0,2,0,,37,8,26,13,9,5,,,,12,18,11,7,,,,,,2,2,3,1,,,1,,,,0,19,5,5,7,3
File,"Tasks.java",1,1,1,1,5,0,5,0,,,,,1,2,0,3,,3,1,0,3,,0,1,0,2,,37,7,27,12,9,3,,,,11,17,10,7,,,,,,2,2,2,1,,,1,,,,0,11,5,5,5,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.nanotasks",1,1,2,1,6,0,6,0,,,,,5,2,0,,5,,12,4,14,,5,1,6,2,,130,26,95,46,30,13,,,,43,64,40,24,,,,,,3,3,3,1,,,2,,,,0,14,16,16,18,9
Abstract Generic Class,"com.nanotasks.AbstractTask",2,2,2,1,7,0,7,0,1,1,1,1,,0,0,,,,5,2,5,5,1,0,4,0,,37,5,29,10,12,5,,,,11,18,8,10,,,,,,3,3,3,1,,2,2,,33,33,0,17,6,6,6,3
Constructor,"com.nanotasks.AbstractTask.AbstractTask",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,1,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,33,1,1,1,1
TypeVariable,"com.nanotasks.AbstractTask.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Protected Method,"com.nanotasks.AbstractTask.doInBackground",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,5,0,3,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Abstract Method,"com.nanotasks.AbstractTask.onError",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Protected Method,"com.nanotasks.AbstractTask.onPostExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,1,6,0,6,3,0,3,6,1,5,3,3,3,1,1,,,,,0,,2,0,,,0,00,3,3,3,1
