Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractHttpHandler.java",1,1,1,1,11,0,7,3,,,,,1,2,0,10,,10,8,1,10,,6,1,0,3,,156,14,88,28,45,54,,,,40,57,26,31,,,,,,3,3,3,1,,,1,,,,0,61,16,16,17,10
File,"AbstractHttpHandlerTest.java",1,1,1,1,7,0,7,0,,,,,3,0,0,14,,14,14,15,14,,0,1,0,13,,213,25,172,93,82,17,,,,114,131,79,52,,,,,,2,2,2,1,,,1,,,,0,10,15,15,15,14
File,"AbstractMvcIntegrationTest.java",1,1,1,1,7,0,5,2,,,,,1,0,0,2,,2,2,2,2,,0,0,1,1,,52,7,25,19,6,20,,,,17,20,16,4,,,,,,1,1,1,1,,,0,,,,0,80,2,2,2,2
File,"AgentBuilderListener.java",1,1,1,1,5,0,5,0,,,,,1,0,1,5,,5,5,0,5,,0,0,0,5,,68,9,40,35,3,19,,,,10,16,14,2,,,,,,1,1,1,1,,,0,,,,0,47,5,5,5,5
File,"AgentMain.java",1,1,1,1,14,1,8,4,,,,,1,2,1,3,,3,1,0,3,,0,2,0,1,,97,13,40,20,19,44,,,,24,30,20,10,,,,,,2,2,2,1,,,1,,,,1,10,4,4,4,3
File,"Aggregation.java",1,1,1,1,5,0,3,1,,,,,6,5,4,16,,18,13,0,18,,5,1,0,12,,239,30,108,81,15,101,,,,22,44,33,11,,,,,,1,1,1,1,,,0,,,,0,94,16,16,16,16
File,"AggregationData.java",1,1,1,1,9,0,5,3,,,,,8,10,0,27,,40,30,0,40,,7,1,0,32,,532,52,225,164,33,255,,,,45,84,60,24,,,,,,3,3,3,1,,,1,,,,1,13,29,29,29,27
File,"AggregationDataTest.java",1,1,1,1,10,0,10,0,,,,,7,0,5,14,,14,14,1,14,,0,0,0,14,,194,16,162,60,98,16,,,,70,87,54,33,,,,,,2,2,2,1,,,0,,,,0,10,15,15,15,14
File,"AggregationTest.java",1,1,1,1,12,0,11,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,98,11,71,33,37,16,,,,29,36,28,8,,,,,,2,2,2,1,,,1,,,,0,23,5,5,5,4
File,"AlwaysSampleSampler.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,1,0,0,3,,55,7,31,24,3,17,,,,12,17,14,3,,,,,,1,1,1,1,,,0,,,,0,55,4,4,4,4
