Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccountEditor.java",2,2,2,1,16,0,14,2,,,,,2,0,0,4,,4,4,3,4,,0,0,1,3,,72,9,59,23,32,7,,,,36,46,20,26,,,,,,4,4,4,3,,,1,,,,0,12,9,9,9,6
File,"AccountInfo.java",1,1,1,1,4,0,3,0,,,,,1,2,0,8,,8,6,3,8,,0,0,0,8,,53,11,40,20,14,2,,,,22,31,20,11,,,,,,1,1,1,1,,,0,,,,0,05,8,8,8,8
File,"AddCatagory.java",4,4,4,1,38,9,25,4,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,91,24,59,27,36,8,,,,28,38,20,18,,,,,,6,6,6,1,,,3,,,,0,14,9,9,9,2
File,"AlertUtil.java",1,1,1,1,20,1,10,8,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,110,12,48,21,30,50,,,,13,18,14,4,,,,,,1,1,1,1,,,0,,,,1,04,4,4,4,4
File,"ApiHelper.java",4,4,4,1,38,3,32,1,,,,,2,5,1,7,,7,2,4,7,,1,0,2,4,,325,42,270,94,187,14,,,,185,216,90,126,,,,,,7,7,7,4,,,4,,,,0,05,32,32,32,12
File,"Article.java",1,1,1,1,3,0,3,0,,,,,1,0,16,29,,29,29,15,29,,0,0,0,29,,196,49,140,64,62,7,,,,80,111,64,47,,,,,,2,2,2,1,,,1,,,,0,05,30,30,30,29
File,"AsyncCache.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,5,5,1,5,,0,0,2,3,,52,12,28,13,11,12,,,,14,20,11,9,,,,,,2,2,2,1,,,1,,,,0,43,5,5,5,4
File,"Base64.java",3,3,4,1,37,3,18,19,,,,,4,27,20,41,,41,14,19,41,,0,6,0,35,,2100,268,957,333,672,1169,,,,380,529,169,360,,,,,,16,16,18,13,,,5,,,,1,22,157,155,167,70
File,"Base64.java",3,3,4,1,37,3,18,19,,,,,4,27,20,41,,41,14,19,41,,0,6,0,35,,2101,269,957,333,672,1169,,,,380,529,169,360,,,,,,16,16,18,13,,,5,,,,1,22,157,155,167,70
File,"Base64Coder.java",3,3,4,1,17,0,11,6,,,,,1,6,2,7,,7,1,1,7,,6,1,0,0,,191,13,107,42,73,73,,,,68,89,45,44,,,,,,10,10,17,1,,,2,,,,0,68,21,21,28,7
