Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AjaxIntercept.java",1,1,1,1,6,0,6,0,,,,,3,0,1,14,,14,14,6,14,,0,1,0,13,,179,23,153,79,61,3,,,,95,119,76,43,,,,,,4,4,4,1,,,2,,,,0,02,20,20,20,14
File,"ApiController.java",2,2,3,1,12,0,12,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,46,4,42,25,18,0,,,,25,32,24,8,,,,,,4,4,5,1,,,3,,,,0,00,5,5,6,2
File,"AppUtil.java",2,2,2,1,14,0,11,2,,,,,2,5,4,6,,6,1,0,6,,0,0,0,6,,123,8,100,50,48,16,,,,58,72,49,23,,,,,,6,6,7,1,,,2,,,,0,16,13,13,16,6
File,"Browser.java",1,1,1,1,11,0,10,0,,,,,1,0,0,8,,8,5,4,5,,0,0,1,4,,84,8,75,30,45,1,,,,42,51,29,22,,,,,,2,2,2,1,,,1,,,,0,01,11,11,11,8
File,"CheckUpdate.java",4,4,4,4,18,0,18,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,32,4,28,16,14,0,,,,17,22,16,6,,,,,,4,4,4,4,,,3,,,,0,00,4,4,4,4
File,"CheckboxMenuItemGroup.java",2,2,2,1,7,0,7,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,56,8,48,17,21,0,,,,20,36,19,17,,,,,,5,5,5,3,,,3,,,,0,00,12,12,12,7
File,"Components.java",1,1,1,1,11,0,9,2,,,,,1,4,0,5,,5,0,0,4,,0,1,0,3,,81,10,61,32,35,10,,,,49,56,33,23,,,,,,2,2,2,1,,,1,,,,0,16,6,6,6,5
File,"ConfigUtil.java",1,1,1,1,5,0,5,0,,,,,1,8,1,8,,8,0,2,8,,1,4,0,3,,68,13,55,18,26,0,,,,24,39,19,20,,,,,,4,4,5,1,,,3,,,,0,00,13,13,14,8
File,"Console.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,29,5,24,7,11,0,,,,8,15,7,8,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,4
File,"ContentScript.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,5,2,5,,0,0,0,5,,35,8,27,10,10,0,,,,12,19,10,9,,,,,,2,2,3,1,,,1,,,,0,00,7,7,8,6
File,"CookieIntercept.java",4,4,5,1,25,0,24,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,49,3,42,25,20,4,,,,32,36,24,12,,,,,,4,4,5,1,,,2,,,,0,10,4,4,5,1
File,"DefaultController.java",10,3,10,1,37,0,37,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,95,4,91,26,62,0,,,,53,62,24,38,,,,,,16,4,16,1,,,3,,,,0,00,20,7,20,2
File,"Document.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,14,4,10,5,2,0,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DownApplication.java",1,1,2,1,10,0,9,1,,,,,1,2,6,34,,34,15,13,17,,0,10,0,7,,400,30,330,120,197,42,,,,207,254,117,137,,,,,,5,5,7,1,,,5,,,,0,13,62,62,68,34
File,"EmbedHttpServer.java",2,2,2,1,14,0,13,0,,,,,3,1,1,11,,11,10,3,11,,0,1,2,8,,152,15,136,57,72,1,,,,75,100,61,39,,,,,,7,7,7,7,,,6,,,,0,01,23,23,23,17
File,"ExecUtil.java",2,2,2,1,13,0,11,2,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,89,8,69,27,39,13,,,,27,40,26,14,,,,,,3,3,3,1,,,2,,,,0,19,10,10,10,5
