Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,6,10,,10,10,3,10,,0,0,1,9,,96,19,76,45,28,9,,,,41,53,35,18,,,,,,2,2,2,1,,,1,,,,0,12,11,11,11,10
File,"AccountManager.java",1,1,1,1,6,0,6,0,,,,,1,10,0,12,,12,0,0,10,,0,1,0,9,,113,20,82,33,42,11,,,,39,55,32,23,,,,,,5,5,5,1,,,2,,,,0,13,17,17,17,12
File,"Action0.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"Action1.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"Action2.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"Action3.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"AnalyticsService.java",1,1,1,1,4,0,4,0,,,,,1,19,1,28,,28,9,1,28,,0,4,0,24,,178,38,136,54,53,4,,,,59,92,48,44,,,,,,3,3,3,1,,,1,,,,0,03,33,33,33,28
File,"AnnotationExclusionStrategy.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,21,6,14,9,2,2,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,14,2,2,2,2
File,"ApiCallEvent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,3,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ApiError.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,15,5,8,7,0,4,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"ApiErrorEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,15,6,9,6,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApiErrorList.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,1,1,,0,0,0,1,,17,5,12,8,3,0,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApiFailure.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,30,8,22,12,6,0,,,,11,15,9,6,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ApiProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,11,5,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApiProviderFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AppState.java",1,1,1,1,4,0,4,0,,,,,2,1,3,3,,3,2,0,3,,1,1,0,1,,38,11,22,11,8,6,,,,10,16,11,5,,,,,,2,2,2,1,,,1,,,,0,27,4,4,4,3
File,"AppUtils.java",1,1,1,1,11,0,11,0,,,,,2,7,1,8,,8,1,0,8,,0,1,0,7,,137,15,114,59,64,9,,,,70,84,53,31,,,,,,3,3,3,3,,,2,,,,0,08,12,12,12,10
File,"AuthReqBody.java",1,1,1,1,7,0,7,0,,,,,1,2,0,4,,4,2,8,4,,0,1,0,3,,59,11,46,24,17,2,,,,22,27,16,11,,,,,,1,1,1,1,,,0,,,,0,04,4,4,4,4
File,"AuthService.java",1,1,1,1,6,0,6,0,,,,,2,7,0,29,,31,16,6,23,,4,13,0,6,,262,36,205,80,110,21,,,,91,124,69,55,,,,,,3,3,4,1,,,1,,,,0,10,39,39,42,29
File,"AuthServiceTest.java",1,1,1,1,8,1,6,0,,,,,2,0,4,6,,6,6,3,6,,0,1,0,5,,119,25,86,57,33,9,,,,65,73,52,21,,,,,,1,1,1,1,,,0,,,,0,10,6,6,6,6
File,"AuthStore.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,62,9,51,22,25,2,,,,28,36,17,19,,,,,,3,3,3,1,,,1,,,,0,04,7,7,7,5
File,"AuthToken.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,5,14,,0,0,0,14,,100,22,69,32,24,10,,,,28,43,26,17,,,,,,1,1,1,1,,,0,,,,0,14,14,14,14,14
File,"BaseActivity.java",1,1,1,1,5,0,5,0,,,,,2,0,1,20,,20,20,3,20,,0,0,14,6,,198,31,161,72,67,7,,,,84,115,60,55,,,,,,6,6,6,6,,,3,,,,0,04,28,28,28,25
File,"BaseFragment.java",1,1,1,1,5,0,4,0,,,,,1,0,1,16,,16,16,2,16,,0,1,4,11,,140,23,107,51,39,11,,,,55,74,39,35,,,,,,2,2,2,1,,,1,,,,0,10,18,18,18,16
File,"BaseKey.java",1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,3,4,,1,0,0,3,,20,6,14,9,6,1,,,,10,15,9,6,,,,,,1,1,1,1,,,0,,,,0,07,4,4,4,4
File,"BlogDBMigration.java",3,3,3,1,14,1,11,2,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,31,8,21,11,8,2,,,,12,16,10,6,,,,,,3,3,3,1,,,2,,,,0,10,3,3,3,1
File,"BlogDataModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,27,3,23,23,0,1,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,04,0,0,0,0
File,"BlogMetadata.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,6,14,,0,0,0,14,,96,24,67,34,26,5,,,,31,46,32,14,,,,,,1,1,1,1,,,0,,,,0,07,14,14,14,14
File,"BlogMetadataDBMigration.java",10,10,10,1,98,10,79,9,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,123,17,97,24,69,9,,,,45,57,22,35,,,,,,10,10,10,1,,,3,,,,0,09,10,10,10,1
File,"BlogMetadataModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,7,7,0,1,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,14,0,0,0,0
File,"BlogSettingsLoadedEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,15,6,9,6,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BlogUrlValidator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,5,6,5,0,7,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,17,0,0,0,0
File,"BorderedCircleTransformation.java",1,1,1,1,19,4,13,1,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,73,15,40,25,23,18,,,,29,33,22,11,,,,,,2,2,2,1,,,1,,,,0,45,3,3,3,2
File,"BundleKeys.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,13,4,9,8,6,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BusProvider.java",1,1,1,1,1,0,1,0,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,21,8,13,10,3,0,,,,7,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ChipsEditText.java",1,1,2,1,8,0,7,1,,,,,4,1,0,21,,21,19,9,20,,0,3,0,17,,266,35,189,83,96,44,,,,104,142,80,62,,,,,,4,4,6,3,,,3,,,,0,23,36,36,42,25
File,"ConfigurationList.java",1,1,1,1,5,0,5,0,,,,,1,1,0,5,,5,4,1,5,,0,0,0,5,,50,11,39,17,13,0,,,,17,29,17,12,,,,,,3,3,3,3,,,2,,,,0,00,9,9,9,9
File,"ConfigurationListDeserializer.java",2,2,2,1,13,0,11,2,,,,,1,0,0,3,,3,3,0,3,,0,2,0,1,,66,9,51,26,22,7,,,,30,39,24,15,,,,,,3,3,4,1,,,1,,,,0,14,7,7,8,3
File,"ConfigurationParam.java",1,1,1,1,2,0,2,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,45,12,33,19,7,0,,,,14,22,15,7,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"CrashReportingTree.java",4,4,5,1,12,0,11,1,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,25,6,18,7,6,1,,,,7,12,6,6,,,,,,4,4,5,1,,,1,,,,0,06,4,4,5,1
File,"CreatePostEvent.java",1,1,1,1,1,0,1,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,7,3,4,3,0,0,,,,1,3,3,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"CredentialSink.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,20,6,7,6,0,7,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"CredentialSource.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,19,5,7,6,0,7,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"CredentialsExpiredEvent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,5,2,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DataRefreshedEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,15,6,9,6,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"DateDeserializer.java",2,2,2,1,15,2,13,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,38,9,29,20,9,0,,,,19,22,17,5,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"DateTimeUtils.java",1,1,1,1,8,0,4,3,,,,,1,3,2,3,,3,0,0,3,,0,0,0,3,,46,10,25,15,9,11,,,,15,20,15,5,,,,,,2,2,2,1,,,1,,,,0,44,4,4,4,3
File,"DebugSpectreApplication.java",1,1,1,1,11,1,9,1,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,62,12,47,23,19,3,,,,23,29,20,9,,,,,,2,2,2,1,,,1,,,,0,06,5,5,5,3
File,"DeletePostEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,13,5,8,5,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"DeviceUtils.java",1,1,1,1,3,0,3,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,17,5,12,7,2,0,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ETag.java",1,1,1,1,2,0,2,0,,,,,2,0,4,6,,6,6,2,6,,0,0,0,6,,56,15,40,28,10,1,,,,20,28,22,6,,,,,,1,1,1,1,,,0,,,,0,03,6,6,6,6
File,"EditTextSelectionState.java",1,1,2,1,6,0,6,0,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,63,10,46,20,23,7,,,,26,36,20,16,,,,,,3,3,8,1,,,1,,,,0,15,9,9,16,6
File,"EditTextUtils.java",1,1,1,1,7,0,7,0,,,,,1,13,0,15,,15,0,0,13,,0,9,0,4,,178,21,103,49,57,54,,,,53,72,43,29,,,,,,3,3,3,1,,,2,,,,0,52,22,22,24,15
File,"EventBusRule.java",1,1,1,1,6,0,6,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,22,5,17,8,6,0,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"FileUploadErrorEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,14,5,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"FileUploadEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,20,6,13,8,2,1,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,08,2,2,2,2
File,"FileUploadFailedException.java",1,1,1,1,6,0,3,3,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,19,4,9,4,2,6,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,67,2,2,2,2
File,"FileUploadedEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,11,4,7,4,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ForceCancelRefreshEvent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,5,2,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"FormatOptionClickListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,10,2,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Func1.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"GhostApiService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,13,13,0,13,,13,0,0,0,,83,17,61,60,0,5,,,,38,39,39,0,,,,,,0,0,0,0,,,0,,,,0,08,0,0,0,0
File,"GhostApiTest.java",1,1,1,1,13,0,12,0,,,,,1,8,6,50,,50,17,0,25,,0,6,0,19,,520,58,425,188,281,40,,,,271,310,156,154,,,,,,3,3,4,1,,,1,,,,0,09,60,60,61,50
File,"GhostApiUtils.java",1,1,1,1,18,0,16,4,,,,,1,4,1,4,,4,0,0,4,,0,0,0,4,,113,11,91,40,55,17,,,,39,45,37,8,,,,,,2,2,2,1,,,1,,,,0,19,5,5,5,4
