Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ANDCondition.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,37,6,11,6,2,20,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,1,82,2,2,2,2
File,"AbstractCacheMap.java",1,1,1,1,8,0,7,0,,,,,8,0,0,43,,44,44,6,44,,0,1,8,35,,473,65,337,101,168,71,,,,129,220,87,133,,,,,,6,6,6,4,,,4,,,,0,21,83,83,84,64
File,"AbstractNamingScheme.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,37,6,12,7,2,19,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,1,58,2,2,2,2
File,"AbstractReadWriteAccessStrategy.java",1,1,1,1,7,0,6,0,,,,,4,0,2,24,,29,29,13,29,,0,0,2,27,,356,46,219,96,101,91,,,,107,149,79,70,,,,,,4,4,4,3,,,2,,,,0,42,36,36,41,28
File,"AbstractReadWriteAccessStrategy.java",1,1,1,1,7,0,6,0,,,,,4,0,2,24,,29,29,13,29,,0,0,2,27,,356,46,219,96,101,91,,,,107,149,79,70,,,,,,4,4,4,3,,,2,,,,0,42,36,36,41,28
File,"AbstractReadWriteAccessStrategy.java",1,1,1,1,7,0,6,0,,,,,4,0,2,24,,29,29,13,29,,0,0,2,27,,355,46,218,95,101,91,,,,106,148,78,70,,,,,,4,4,4,3,,,2,,,,0,42,36,36,41,28
File,"AbstractRedissonNamespaceDefinitionParser.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,6,6,3,6,,0,0,5,1,,84,11,54,23,25,19,,,,27,34,19,15,,,,,,2,2,2,1,,,1,,,,0,35,6,6,6,5
File,"AccessorInterceptor.java",3,3,4,2,17,1,16,0,,,,,1,2,0,8,,8,6,2,8,,0,5,1,2,,206,24,159,60,90,23,,,,83,113,57,56,,,,,,20,20,25,12,,,4,,,,0,14,29,29,35,19
File,"AddCacheOperation.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,3,8,,0,0,0,8,,81,13,48,23,17,20,,,,25,35,21,14,,,,,,2,2,2,1,,,1,,,,0,42,9,9,9,8
File,"AddOperation.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,59,9,30,17,9,20,,,,16,22,15,7,,,,,,1,1,1,1,,,0,,,,0,67,5,5,5,5
File,"AddressResolverGroupFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,5,8,7,0,18,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,2,25,0,0,0,0
File,"AdvBeanCopy.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,40,5,15,7,5,20,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,1,33,2,2,2,2
File,"AsyncDetails.java",1,1,1,1,4,0,3,0,,,,,1,2,0,23,,23,20,14,22,,0,0,0,22,,160,28,112,53,36,20,,,,60,84,50,34,,,,,,2,2,2,1,,,1,,,,0,18,24,24,24,23
File,"AsyncRemoteProxy.java",3,3,3,2,37,5,31,0,,,,,3,0,0,16,,16,11,1,11,,0,4,3,4,,344,51,266,76,172,27,,,,128,180,67,113,,,,,,8,8,10,6,,,3,,,,0,10,55,55,58,37
File,"AsyncSemaphore.java",2,2,2,1,7,0,7,0,,,,,3,0,0,16,,16,16,4,16,,1,0,0,15,,184,30,134,42,71,20,,,,56,94,38,56,,,,,,7,7,7,7,,,3,,,,0,15,32,32,32,22
File,"AttributeMessage.java",1,1,1,1,6,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,80,14,46,19,18,20,,,,22,33,19,14,,,,,,2,2,2,1,,,1,,,,0,43,8,8,8,6
File,"AttributeMessage.java",1,1,1,1,6,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,80,14,46,19,18,20,,,,22,33,19,14,,,,,,2,2,2,1,,,1,,,,0,43,8,8,8,6
File,"AttributeMessage.java",1,1,1,1,6,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,80,14,46,19,18,20,,,,22,33,19,14,,,,,,2,2,2,1,,,1,,,,0,43,8,8,8,6
File,"AttributeMessage.java",1,1,1,1,6,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,80,14,46,19,18,20,,,,22,33,19,14,,,,,,2,2,2,1,,,1,,,,0,43,8,8,8,6
File,"AttributeRemoveMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,42,7,15,7,4,20,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,1,33,3,3,3,3
File,"AttributeRemoveMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,42,7,15,7,4,20,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,1,33,3,3,3,3
