Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AddAnyPortMappingCall.java",1,1,1,1,5,0,5,0,,,,,1,0,1,3,,3,3,0,3,,0,0,1,2,,37,10,27,18,9,0,,,,16,21,16,5,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"AddAnyPortMappingResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,19,6,13,7,3,0,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AddPortMappingCall.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,0,3,,0,0,1,2,,28,10,18,11,4,0,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AdvancedDividerItemDecoration.java",2,2,2,1,10,0,10,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,80,10,55,26,29,15,,,,35,43,23,20,,,,,,4,4,4,3,,,2,,,,0,27,8,8,8,6
File,"AlignToPointSpan.java",1,1,2,1,5,0,5,0,,,,,2,1,0,4,,4,3,2,4,,0,0,0,4,,47,9,37,21,11,1,,,,16,25,18,7,,,,,,3,3,4,1,,,1,,,,0,03,7,7,8,4
File,"AndroidArrayUtils.java",2,2,2,1,8,0,8,0,,,,,1,4,0,4,,4,0,0,4,,4,0,0,0,,58,7,36,12,20,15,,,,18,26,10,16,,,,,,2,2,2,1,,,1,,,,0,42,8,8,8,4
File,"AppCompatViewFactory.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,30,7,23,14,6,0,,,,12,17,12,5,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"AppSettingsHelper.java",2,2,2,1,8,0,8,0,,,,,1,1,1,2,,2,0,0,1,,1,0,0,0,,31,7,24,9,12,0,,,,10,15,7,8,,,,,,4,4,4,1,,,3,,,,0,00,5,5,5,2
File,"AutoMultilineTextListener.java",2,2,3,2,8,0,8,0,,,,,1,0,0,6,,6,6,4,6,,0,1,0,5,,81,10,67,21,34,4,,,,32,50,21,29,,,,,,5,5,5,4,,,3,,,,0,06,17,17,18,15
File,"AutoResizeSpinner.java",1,1,1,1,6,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,1,4,,50,11,39,18,18,0,,,,22,31,18,13,,,,,,4,4,5,1,,,2,,,,0,00,8,8,9,5
File,"AutoRunCommandListEditText.java",2,2,2,1,10,0,9,0,,,,,2,3,1,23,,23,18,7,21,,0,10,1,10,,290,42,248,94,151,0,,,,153,203,91,112,,,,,,5,5,7,5,,,3,,,,0,00,48,48,60,36
File,"AutocompletePreferenceFragment.java",1,1,1,1,16,0,16,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,51,6,45,17,29,0,,,,19,22,13,9,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BackButtonListenerEditText.java",1,1,1,1,4,0,4,0,,,,,2,0,0,5,,6,6,1,6,,1,0,0,5,,44,12,32,15,9,0,,,,14,23,14,9,,,,,,3,3,3,1,,,2,,,,0,00,7,7,7,5
File,"BackupActivity.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,1,0,1,,0,0,1,0,,26,5,21,10,11,0,,,,14,16,9,7,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"BackupCompleteActivity.java",1,1,1,1,7,0,6,0,,,,,1,0,2,3,,3,2,0,2,,0,0,1,1,,36,8,28,13,14,0,,,,16,21,11,10,,,,,,3,3,3,1,,,1,,,,0,00,5,5,5,3
File,"BackupManager.java",6,6,7,1,40,3,36,0,,,,,1,6,11,6,,6,0,0,6,,0,2,0,4,,301,33,268,92,195,2,,,,169,221,98,123,,,,,,19,19,22,4,,,4,,,,0,01,40,40,46,9
File,"BackupPasswordActivity.java",3,3,3,2,26,2,24,0,,,,,1,0,4,2,,2,1,0,1,,0,0,1,0,,58,12,46,20,30,0,,,,32,39,19,20,,,,,,4,4,4,3,,,2,,,,0,00,7,7,7,4
File,"BackupProgressActivity.java",2,2,2,1,11,0,11,0,,,,,7,0,7,19,,19,19,14,19,,0,0,8,11,,312,37,274,101,163,2,,,,151,208,93,115,,,,,,7,7,8,3,,,4,,,,0,01,51,51,54,21
File,"BaseAddPortMappingCall.java",1,1,1,1,3,0,3,0,,,,,1,0,2,21,,22,22,9,22,,0,0,4,18,,121,27,94,41,36,2,,,,45,67,38,29,,,,,,4,4,4,1,,,0,,,,0,02,24,24,27,21
File,"BaseThemeEditorFragment.java",1,1,1,1,6,0,6,0,,,,,6,2,3,20,,20,17,6,19,,0,2,4,13,,201,36,165,72,79,0,,,,80,117,60,57,,,,,,3,3,4,3,,,1,,,,0,00,31,31,32,22
