Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,49,5,23,16,4,21,,,,13,16,12,4,,,,,,1,1,1,1,,,0,,,,0,91,2,2,2,2
File,"AdminController.java",3,3,4,1,18,0,18,0,,,,,1,0,2,5,,5,5,3,5,,0,0,0,5,,163,10,132,55,72,22,,,,83,101,49,52,,,,,,7,7,10,5,,,3,,,,0,17,18,18,24,9
File,"Comment.java",1,1,1,1,4,0,4,0,,,,,1,0,4,14,,14,14,3,14,,0,1,0,13,,121,19,81,34,34,22,,,,42,61,34,27,,,,,,4,4,5,4,,,1,,,,0,27,18,18,21,17
File,"CommentController.java",3,3,4,1,15,0,14,0,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,166,10,132,68,63,25,,,,84,103,59,44,,,,,,5,5,7,1,,,4,,,,0,19,18,18,26,6
File,"CsrfFilter.java",3,3,4,2,15,1,13,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,96,12,62,31,29,22,,,,37,48,28,20,,,,,,7,7,10,5,,,3,,,,0,35,10,10,13,7
File,"ErrorController.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,52,6,25,15,7,21,,,,16,19,12,7,,,,,,1,1,1,1,,,0,,,,0,84,2,2,2,2
File,"Feedback.java",1,1,1,1,2,0,2,0,,,,,2,0,1,6,,4,6,3,6,,0,0,0,6,,49,7,21,11,5,21,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,1,00,6,6,6,6
File,"FeedbackController.java",2,2,2,1,15,0,14,0,,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,197,15,159,68,88,23,,,,105,124,55,69,,,,,,5,5,7,4,,,3,,,,0,14,18,18,20,13
File,"HttpUtils.java",1,1,2,1,12,0,5,6,,,,,1,7,0,8,,8,1,0,8,,0,1,0,7,,140,11,54,20,23,75,,,,23,38,18,20,,,,,,5,5,6,5,,,2,,,,1,39,14,14,19,12
File,"LanguageUtils.java",4,4,5,1,21,0,16,4,,,,,1,0,6,17,,17,17,4,17,,0,3,0,14,,471,33,335,96,205,104,,,,163,249,99,150,,,,,,12,12,13,5,,,7,,,,0,31,76,76,97,30
