Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AMUtils.java",1,1,1,1,9,1,6,2,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,53,12,28,15,14,13,,,,18,24,15,9,,,,,,2,2,2,1,,,1,,,,0,46,5,5,5,3
File,"AboutRongCloudActivity.java",1,1,1,1,17,2,15,0,,,,,13,0,0,19,,19,19,4,19,,0,2,1,16,,224,31,193,54,135,0,,,,105,132,69,63,,,,,,3,3,3,1,,,1,,,,0,00,26,26,26,19
File,"AccountSettingActivity.java",1,1,1,1,12,1,10,0,,,,,7,0,1,17,,17,17,1,17,,0,1,1,15,,179,29,146,35,96,4,,,,68,94,47,47,,,,,,6,5,6,4,,,2,,,,0,03,28,24,29,20
File,"AddGroupMemberRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,35,9,22,10,6,4,,,,10,16,10,6,,,,,,1,1,1,1,,,0,,,,0,18,5,5,5,5
File,"AddGroupMemberResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,17,3,10,5,2,4,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"AddToBlackListRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,21,4,13,6,3,4,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,0,31,3,3,3,3
File,"AddToBlackListResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,17,3,10,5,2,4,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"AgreeFriendsRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,23,6,13,6,3,4,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,0,31,3,3,3,3
File,"AgreeFriendsResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,18,4,10,5,2,4,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"App.java",1,1,1,1,15,1,13,0,,,,,7,4,2,17,,17,13,0,17,,0,1,3,13,,255,30,213,85,122,13,,,,120,150,92,58,,,,,,3,3,3,3,,,2,,,,0,06,29,29,29,19
