Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,1,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Action.java",1,1,1,1,3,0,3,0,,,,,1,0,0,19,,19,19,8,19,,0,0,0,19,,102,23,75,30,30,4,,,,34,54,29,25,,,,,,1,1,1,1,,,0,,,,0,05,19,19,19,19
File,"ActionWrap.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,37,10,24,11,6,3,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,12,6,6,6,6
File,"AdminRole.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,25,5,17,8,4,3,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,0,18,4,4,4,4
File,"AdminRolesMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,15,2,10,9,0,3,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"AggregateType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,4,2,,0,0,0,2,,11,1,7,6,0,3,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,43,2,2,2,2
File,"AlarmBiz.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,58,58,0,58,,58,0,0,0,,157,74,67,66,0,16,,,,65,66,66,0,,,,,,0,0,0,0,,,0,,,,0,24,0,0,0,0
File,"AlarmBizImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,58,,58,58,14,58,,0,0,0,58,,371,76,279,159,61,16,,,,86,146,86,60,,,,,,2,2,2,1,,,1,,,,0,06,59,59,59,58
File,"AlarmEventController.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,34,5,26,21,2,3,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,12,2,2,2,2
File,"AlarmEventInfo.java",1,1,1,1,3,0,3,0,,,,,2,0,0,29,,29,29,13,29,,0,0,0,29,,163,33,127,50,45,3,,,,58,91,47,44,,,,,,3,3,3,3,,,1,,,,0,02,31,31,31,31
File,"AlarmEventInfoDraft.java",1,1,1,1,3,0,3,0,,,,,1,0,0,36,,36,36,17,36,,0,0,0,36,,186,38,145,57,51,3,,,,69,106,55,51,,,,,,1,1,1,1,,,0,,,,0,02,36,36,36,36
File,"AlarmEventInfoMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,27,7,17,16,0,3,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,18,0,0,0,0
File,"AlarmEventService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,28,5,7,6,0,16,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,29,0,0,0,0
File,"AlarmEventServiceImpl.java",5,4,5,2,25,2,23,0,,,,,2,3,1,8,,8,5,7,8,,0,3,0,5,,288,42,242,87,144,8,,,,144,184,82,102,,,,,,13,13,14,11,,,7,,,,0,03,44,33,47,22
File,"AlarmGroupMember.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,0,8,,46,11,32,14,9,3,,,,14,23,14,9,,,,,,1,1,1,1,,,0,,,,0,09,8,8,8,8
File,"AlarmSenderController.java",1,1,1,1,8,0,8,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,56,6,47,34,9,3,,,,21,25,16,9,,,,,,1,1,1,1,,,0,,,,0,06,3,3,3,3
File,"AlarmSenderService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,39,5,7,6,0,27,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,3,86,0,0,0,0
File,"AlarmSenderServiceImpl.java",5,5,5,1,21,2,18,0,,,,,1,0,1,4,,4,4,0,4,,0,1,0,3,,116,18,95,31,50,3,,,,43,67,28,39,,,,,,11,11,13,1,,,5,,,,0,03,21,21,23,4
File,"AllDockerImages.java",1,1,1,1,5,0,5,0,,,,,2,0,0,9,,9,9,4,9,,0,0,0,9,,77,13,61,21,26,3,,,,26,43,20,23,,,,,,7,7,9,7,,,2,,,,0,05,15,15,17,15
File,"AllExclusiveImages.java",1,1,1,1,3,0,3,0,,,,,2,0,0,12,,12,12,4,12,,0,0,0,12,,68,13,52,20,18,3,,,,22,36,21,15,,,,,,2,2,3,1,,,0,,,,0,06,13,13,14,12
File,"ApiController.java",1,1,1,1,8,0,8,0,,,,,1,0,0,5,,5,5,2,5,,0,2,0,3,,77,9,66,34,29,2,,,,41,50,29,21,,,,,,2,2,2,1,,,1,,,,0,03,8,8,8,5
File,"ApiException.java",1,1,1,1,5,0,3,1,,,,,1,4,0,11,,11,7,1,11,,0,2,3,6,,90,14,40,15,13,36,,,,16,28,15,13,,,,,,1,1,1,1,,,0,,,,0,90,11,11,11,11
File,"Application.java",2,2,2,1,23,2,20,0,,,,,2,1,0,4,,4,3,0,4,,0,0,0,4,,88,9,73,33,37,6,,,,41,51,30,21,,,,,,6,6,6,1,,,1,,,,0,08,9,9,9,4
File,"AssistController.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,44,7,34,25,4,3,,,,13,18,14,4,,,,,,1,1,1,1,,,0,,,,0,09,4,4,4,4
File,"AssistService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,18,6,9,8,0,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
File,"AssistServiceImpl.java",2,2,2,2,12,1,10,0,,,,,1,0,1,4,,4,4,3,4,,0,0,0,4,,96,18,75,42,28,3,,,,43,56,35,21,,,,,,6,6,6,6,,,2,,,,0,04,11,11,11,9
File,"AuthBiz.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,12,0,0,0,,35,14,18,17,0,3,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,0,17,0,0,0,0
