Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Shimmer.java",2,1,2,1,9,0,8,1,,,,,6,1,1,35,,36,35,28,36,,8,1,3,24,,469,49,369,106,229,51,,,,180,252,93,159,,,,,,24,20,24,1,,,2,,,,0,14,74,68,74,35
File,"ShimmerDrawable.java",2,2,3,1,10,0,10,0,,,,,2,0,0,15,,15,15,6,15,,1,3,0,11,,220,25,183,62,111,12,,,,92,119,56,63,,,,,,7,5,9,1,,,1,,,,0,07,35,31,49,15
File,"ShimmerFrameLayout.java",1,1,1,1,5,0,5,0,,,,,1,0,0,14,,14,14,2,14,,0,1,1,12,,133,19,97,41,44,17,,,,48,66,33,33,,,,,,3,3,4,1,,,1,,,,0,18,17,17,20,14
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.facebook",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.facebook.shimmer",1,1,2,1,9,0,8,0,,,,,9,1,1,,3,,64,36,65,,9,5,4,47,,822,93,649,209,384,80,,,,320,437,182,255,,,,,,24,20,24,1,,,2,,,,0,12,126,116,143,64
Public Class,"com.facebook.shimmer.Shimmer",2,1,2,1,8,0,8,0,1,2,2,0,,0,1,,,,6,21,6,6,6,0,0,0,,454,47,356,93,229,51,,,,167,239,80,159,,,,,,3,2,3,1,,1,1,,88,85,0,14,12,10,12,6
Public Static Class,"com.facebook.shimmer.Shimmer.AlphaHighlightBuilder",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,2,0,2,25,0,0,1,1,,10,1,9,4,2,0,,,,2,5,3,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,2,2,2,2
Public Constructor,"com.facebook.shimmer.Shimmer.AlphaHighlightBuilder.AlphaHighlightBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.facebook.shimmer.Shimmer.AlphaHighlightBuilder.getThis",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Abstract Generic Class,"com.facebook.shimmer.Shimmer.Builder",2,2,2,1,11,0,10,1,1,3,3,3,,1,0,,,,22,1,23,23,1,1,1,20,,285,26,225,31,150,34,,,,100,150,30,120,,,,,,24,20,24,1,,1,2,,9,4,0,15,53,49,53,22
TypeVariable,"com.facebook.shimmer.Shimmer.Builder.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,2,0,,0,0,0,00,0,0,0,0
Public Method,"com.facebook.shimmer.Shimmer.Builder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"com.facebook.shimmer.Shimmer.Builder.clamp",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.facebook.shimmer.Shimmer.Builder.consumeAttributes",,,,,,,,,,,,,,,,,,,,,,,,,,,26,98,3,95,4,73,0,24,786432,6,30,50,3,47,24,20,24,1,7,,,,,0,,2,0,,,0,00,24,20,24,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.consumeAttributes",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.copyFrom",,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,0,20,1,18,1,20,1,0,18,19,1,18,1,1,1,1,0,,,,,0,,0,0,,,0,05,1,1,1,1
Protected Abstract Method,"com.facebook.shimmer.Shimmer.Builder.getThis",,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Method,"com.facebook.shimmer.Shimmer.Builder.setAutoStart",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setBaseAlpha",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,5,2,3,4,5,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,80,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setClipToChildren",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,4,1,2,4,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setDirection",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setDropoff",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,7,1,4,3,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,43,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setDuration",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setFixedHeight",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setFixedWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setHeightRatio",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setHighlightAlpha",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,5,2,3,1,5,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setIntensity",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setRepeatCount",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,4,1,2,4,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setRepeatDelay",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setRepeatMode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,4,1,2,4,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setShape",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setTilt",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.Builder.setWidthRatio",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,7,1,4,1,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,14,2,2,2,1
Public Static Class,"com.facebook.shimmer.Shimmer.ColorHighlightBuilder",1,1,1,1,5,0,5,0,1,1,1,0,,0,0,,,,5,0,5,28,1,0,1,3,,37,4,31,8,15,2,,,,10,18,6,12,,,,,,3,3,3,1,,2,1,,0,0,0,06,7,7,7,5
Public Constructor,"com.facebook.shimmer.Shimmer.ColorHighlightBuilder.ColorHighlightBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.facebook.shimmer.Shimmer.ColorHighlightBuilder.consumeAttributes",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,1,9,0,7,4,1,4,7,1,6,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Protected Method,"com.facebook.shimmer.Shimmer.ColorHighlightBuilder.getThis",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.facebook.shimmer.Shimmer.ColorHighlightBuilder.setBaseColor",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,4,1,2,1,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
