Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityInjector.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,6,4,6,,0,2,0,4,,57,9,48,22,22,0,,,,28,38,22,16,,,,,,5,5,5,1,,,2,,,,0,00,10,10,10,6
File,"AddProductActivity.java",1,1,1,1,5,0,5,0,,,,,3,0,0,5,,5,5,2,5,,0,0,1,4,,50,9,41,21,13,0,,,,25,32,21,11,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"AddProductFragment.java",1,1,1,1,4,0,4,0,,,,,3,0,0,7,,7,7,2,7,,0,0,0,7,,62,11,51,28,14,0,,,,27,36,25,11,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"AddProductPresenter.java",1,1,1,1,5,0,5,0,,,,,5,0,0,5,,7,7,2,7,,2,0,0,5,,52,8,44,22,12,0,,,,20,30,22,8,,,,,,2,2,3,1,,,0,,,,0,00,6,6,7,5
File,"AddProductPresenterTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,56,11,45,27,13,0,,,,28,34,22,12,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"AddProductUseCase.java",1,1,2,1,6,0,6,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,26,4,22,13,7,0,,,,12,16,11,5,,,,,,2,2,3,1,,,1,,,,0,00,3,3,4,2
File,"AddProductUseCaseTest.java",1,1,1,1,6,0,5,0,,,,,1,0,1,4,,4,4,3,4,,0,1,0,3,,52,10,42,22,15,0,,,,28,34,21,13,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"AppModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,28,5,23,16,3,0,,,,14,18,15,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AppModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,28,5,23,16,3,0,,,,14,18,15,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AsyncUseCase.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,11,3,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AsyncUseCaseImpl.java",1,1,1,1,9,0,9,0,,,,,3,0,0,5,,5,5,0,5,,0,0,0,5,,48,5,43,13,20,0,,,,17,25,15,10,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,5
File,"BasePresenter.java",1,1,2,1,5,0,5,0,,,,,2,0,0,7,,8,8,4,8,,1,1,4,2,,63,10,53,19,23,0,,,,23,38,19,19,,,,,,5,5,7,1,,,3,,,,0,00,13,13,15,7
File,"ChangeProductBoughtStatusUseCase.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,3,3,3,3,,0,0,0,3,,38,6,32,17,11,0,,,,17,23,15,8,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"FragmentInjector.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,6,4,6,,0,2,0,4,,59,9,50,23,24,0,,,,30,40,23,17,,,,,,5,5,5,1,,,2,,,,0,00,10,10,10,6
File,"InMemoryProductEntityStore.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,30,5,25,15,7,0,,,,15,20,14,6,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"InMemoryProductEntityStoreTest.java",1,1,1,1,6,1,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,12,3,9,6,3,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
