Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,4,,0,0,0,,0,0,0,0,,488,0,0,0,0,488,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractBatchExporter.java",1,1,2,1,9,0,7,2,,,,,1,0,0,4,,5,5,2,5,,0,0,2,3,,91,9,46,21,21,36,,,,26,34,20,14,,,,,,4,4,5,1,,,2,,,,0,78,7,7,8,4
File,"AbstractBuffer.java",1,1,1,1,3,0,3,0,,,,,2,1,2,3,,3,2,1,3,,0,0,1,2,,56,8,26,15,11,22,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,0,85,3,3,3,3
File,"AbstractExportChain.java",2,2,2,1,5,0,5,0,,,,,1,0,0,1,,3,3,0,3,,0,0,2,1,,47,4,11,6,2,32,,,,4,7,5,2,,,,,,2,2,2,1,,,1,,,,2,91,2,2,2,1
File,"AbstractExporter.java",1,1,1,1,12,2,8,2,,,,,1,0,0,2,,2,2,6,2,,0,0,0,2,,69,9,35,23,12,25,,,,28,31,22,9,,,,,,1,1,1,1,,,0,,,,0,71,2,2,2,2
File,"AbstractFilter.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,1,4,,0,0,1,3,,42,5,17,8,4,20,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,,1,18,4,4,4,4
File,"AbstractFilterManager.java",1,1,1,1,6,0,4,1,,,,,1,0,0,6,,6,6,2,6,,0,0,3,3,,76,10,39,17,15,27,,,,20,30,17,13,,,,,,3,3,3,3,,,2,,,,0,69,8,8,8,8
File,"AbstractImporter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,1,3,,53,7,25,14,6,21,,,,11,18,13,5,,,,,,2,2,2,1,,,1,,,,0,84,5,5,5,4
File,"AbstractLookoutClient.java",1,1,1,1,6,0,5,1,,,,,1,0,0,10,,10,10,4,10,,0,0,7,3,,123,14,76,34,32,33,,,,42,57,32,25,,,,,,3,3,3,1,,,1,,,,0,43,14,14,14,10
File,"AbstractPoller.java",1,1,1,1,5,0,3,2,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,40,6,11,6,2,23,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,2,09,2,2,2,2
File,"AbstractProcessor.java",1,1,1,1,4,0,4,0,,,,,1,0,0,15,,15,10,2,10,,0,0,0,10,,112,14,78,38,32,20,,,,37,52,29,23,,,,,,2,2,2,1,,,1,,,,0,26,18,18,18,15
File,"AbstractQueryStmt.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,4,7,,0,0,0,7,,70,10,40,22,11,20,,,,19,27,17,10,,,,,,1,1,1,1,,,0,,,,0,50,7,7,7,7
File,"AbstractReader.java",1,1,1,1,9,0,3,6,,,,,1,1,0,1,,1,0,0,1,,0,0,1,0,,33,1,6,3,1,26,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,4,33,1,1,1,1
File,"AbstractRegistry.java",1,1,1,1,8,0,7,0,,,,,11,0,0,43,,47,47,5,47,,0,6,6,35,,429,52,302,87,174,75,,,,119,186,90,96,,,,,,5,5,5,3,,,3,,,,0,25,62,62,62,45
File,"AbstractTestBase.java",1,1,1,1,3,0,3,1,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,56,8,25,22,1,24,,,,15,17,16,1,,,,,,1,1,1,1,,,0,,,,0,96,1,1,1,1
File,"AbstractTimer.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,59,8,32,16,11,19,,,,13,20,13,7,,,,,,1,1,1,1,,,1,,,,0,59,4,4,4,4
File,"AbstractTopMetric.java",1,1,1,1,8,0,7,1,,,,,3,0,1,10,,10,10,7,10,,1,3,2,4,,130,11,91,30,50,29,,,,40,59,29,30,,,,,,5,5,5,3,,,2,,,,0,32,19,19,19,12
File,"AbstractWebfluxImporter.java",1,1,1,1,9,0,7,1,,,,,1,0,1,9,,10,7,5,7,,0,0,4,3,,151,13,90,52,41,48,,,,65,74,49,25,,,,,,2,2,2,1,,,1,,,,0,53,11,11,11,9
File,"AccessToken.java",1,1,1,1,3,0,3,0,,,,,1,0,0,16,,16,16,9,16,,0,0,0,16,,102,18,61,28,16,23,,,,27,44,28,16,,,,,,1,1,1,1,,,0,,,,0,38,16,16,16,16
File,"Address.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,48,7,22,10,7,19,,,,9,15,9,6,,,,,,1,1,1,1,,,0,,,,0,86,5,5,5,5
File,"AddressService.java",1,1,1,1,3,0,3,0,,,,,2,0,0,1,,6,6,1,6,,5,0,1,0,,59,8,16,11,4,35,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,2,19,1,1,1,1
File,"AggrFn.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,30,4,7,6,0,19,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,71,0,0,0,0
File,"AggregateExpr.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,5,8,,0,0,0,8,,71,12,40,20,11,19,,,,20,29,18,11,,,,,,1,1,1,1,,,0,,,,0,47,8,8,8,8
File,"AggregateStatement.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,36,7,9,8,0,20,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,2,22,0,0,0,0
File,"Analysis.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,75,13,39,18,11,23,,,,17,28,18,10,,,,,,1,1,1,1,,,0,,,,0,59,10,10,10,10
File,"Assert.java",1,1,1,1,7,0,4,3,,,,,1,3,0,4,,4,1,0,4,,0,1,0,3,,57,4,22,7,8,31,,,,6,14,7,7,,,,,,2,2,2,1,,,1,,,,1,41,7,7,7,4
File,"Ast.java",7,7,9,1,26,0,20,6,,,,,1,2,0,2,,2,0,0,2,,1,0,0,1,,83,6,46,7,33,31,,,,20,38,9,29,,,,,,14,14,17,1,,,2,,,,0,67,15,15,18,2
File,"AtomicDouble.java",1,1,1,1,5,0,5,0,,,,,1,0,0,12,,12,12,1,12,,0,0,0,12,,117,15,69,31,28,33,,,,37,50,27,23,,,,,,2,2,2,1,,,1,,,,0,48,14,14,14,12
File,"AtomicDoubleTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,81,11,54,31,22,16,,,,27,36,22,14,,,,,,1,1,1,1,,,0,,,,0,30,8,8,8,8
File,"AutoPollFriendlyInfo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,37,2,5,4,0,30,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,6,00,0,0,0,0
File,"AutoPollSuggestion.java",1,1,1,1,5,0,3,2,,,,,1,0,2,3,,3,3,1,3,,0,1,0,2,,55,8,19,10,8,28,,,,11,15,10,5,,,,,,1,1,1,1,,,0,,,,1,47,3,3,3,3
File,"AutoPollSuggestionTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,11,8,2,19,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,1,73,1,1,1,1
File,"BaseConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,47,6,21,10,6,20,,,,8,14,9,5,,,,,,1,1,1,1,,,0,,,,0,95,5,5,5,5
File,"BasePersistQueueProcessor.java",2,2,2,1,12,0,12,0,,,,,1,0,3,5,,5,4,7,4,,0,1,1,2,,125,11,91,44,48,23,,,,54,65,40,25,,,,,,5,5,5,4,,,3,,,,0,25,12,12,13,8
File,"BasicMetricsImporter.java",1,1,1,1,9,0,8,0,,,,,6,0,0,6,,6,6,1,6,,0,0,0,6,,71,8,44,11,28,19,,,,18,25,15,10,,,,,,1,1,1,1,,,0,,,,0,43,6,6,6,6
File,"BasicTag.java",1,1,1,1,5,0,3,1,,,,,1,1,0,7,,7,6,2,7,,1,0,0,6,,80,11,39,19,13,30,,,,16,26,14,12,,,,,,3,3,5,3,,,1,,,,0,77,11,11,13,9
File,"BasicTagTest.java",1,1,1,1,6,0,5,0,,,,,2,0,0,7,,7,7,0,7,,0,0,0,7,,75,9,48,21,23,18,,,,23,31,17,14,,,,,,1,1,1,1,,,0,,,,0,38,7,7,7,7
File,"BinaryExpr.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,5,9,,0,0,0,9,,76,11,46,21,14,19,,,,21,32,18,14,,,,,,2,2,3,1,,,1,,,,0,41,10,10,11,9
File,"BlockExecutionHandler.java",3,3,3,1,11,0,11,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,47,4,20,9,8,23,,,,9,13,8,5,,,,,,3,3,3,1,,,2,,,,1,15,3,3,3,1
File,"BootUtils.java",1,1,1,1,2,0,2,0,,,,,1,1,3,2,,2,1,0,2,,0,1,0,1,,25,7,14,11,5,4,,,,9,12,11,1,,,,,,1,1,1,1,,,0,,,,0,29,2,2,2,2
File,"Bucket.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,58,11,27,12,8,20,,,,13,20,12,8,,,,,,1,1,1,1,,,0,,,,0,74,6,6,6,6
File,"BucketCounter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,32,3,4,3,0,25,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,6,25,0,0,0,0
File,"Buffer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,42,4,8,7,0,30,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,3,75,0,0,0,0
File,"CachedMetricsImporter.java",2,2,2,2,11,0,9,2,,,,,1,0,2,4,,6,6,4,6,,0,0,3,3,,103,11,59,29,27,33,,,,35,47,28,19,,,,,,5,5,5,5,,,2,,,,0,56,11,11,11,11
File,"Call.java",1,1,1,1,3,0,3,0,,,,,2,0,0,11,,11,11,5,11,,0,0,0,11,,88,17,52,25,13,20,,,,22,36,23,13,,,,,,2,2,2,1,,,1,,,,0,38,12,12,12,11
File,"Card.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,4,2,,0,0,0,2,,25,1,4,3,0,20,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,5,00,2,2,2,2
File,"ClassUtil.java",1,1,1,1,5,0,5,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,38,4,15,7,6,19,,,,6,10,7,3,,,,,,2,2,2,1,,,1,,,,1,27,3,3,3,2
File,"ClassUtilTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,43,6,18,12,6,19,,,,9,12,9,3,,,,,,1,1,1,1,,,0,,,,1,06,2,2,2,2
File,"Clock.java",1,1,1,1,3,0,3,0,,,,,2,0,0,2,,4,4,1,4,,2,0,0,2,,51,4,13,6,5,34,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,2,62,2,2,2,2
File,"CommonMetricFilter.java",4,4,5,3,19,2,14,2,,,,,1,0,1,2,,2,2,4,2,,0,0,0,2,,80,11,42,19,23,27,,,,22,32,18,14,,,,,,7,7,9,6,,,2,,,,0,64,8,8,10,7
File,"CommonTagsAccessor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,56,7,8,7,0,41,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,5,12,0,0,0,0
File,"CommonUtil.java",1,1,1,1,9,0,5,4,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,53,5,18,9,6,30,,,,10,15,10,5,,,,,,2,2,2,1,,,1,,,,1,67,3,3,3,2
File,"CompositeCounter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,0,7,,0,0,1,6,,74,10,44,21,12,20,,,,14,30,19,11,,,,,,2,2,2,1,,,1,,,,0,45,12,12,12,7
File,"CompositeDistributionSummary.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,66,10,37,20,10,19,,,,14,25,17,8,,,,,,2,2,2,1,,,1,,,,0,51,10,10,10,6
File,"CompositeMetric.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,5,5,2,5,,0,0,1,4,,67,9,33,19,8,25,,,,16,24,17,7,,,,,,3,3,3,1,,,2,,,,0,76,6,6,6,4
File,"CompositeMetricTest.java",1,1,1,1,16,3,11,2,,,,,2,0,0,5,,5,5,1,5,,0,0,0,5,,121,24,69,34,46,30,,,,51,57,31,26,,,,,,1,1,1,1,,,0,,,,0,43,5,5,5,5
File,"CompositeMixinMetric.java",1,1,1,1,4,0,4,0,,,,,4,0,0,13,,13,13,4,13,,0,1,4,8,,126,22,84,42,29,21,,,,32,53,32,21,,,,,,4,4,5,1,,,3,,,,0,25,17,17,18,13
File,"CompositeRegistry.java",1,1,1,1,7,0,5,1,,,,,1,0,0,17,,17,17,1,17,,1,0,0,16,,183,23,119,40,48,41,,,,41,81,36,45,,,,,,8,8,8,7,,,2,,,,0,34,33,33,33,25
File,"CompositeRegistryTest.java",1,1,1,1,5,0,5,0,,,,,2,0,1,18,,18,18,0,18,,0,0,0,18,,172,28,125,66,59,19,,,,68,88,49,39,,,,,,1,1,1,1,,,0,,,,0,15,18,18,18,18
File,"CompositeRegistryTest.java",1,1,1,1,18,2,15,1,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,109,17,70,46,39,23,,,,57,61,41,20,,,,,,1,1,1,1,,,0,,,,0,33,3,3,3,3
File,"CompositeTimer.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,1,8,,0,0,1,7,,92,11,62,32,23,19,,,,27,42,27,15,,,,,,2,2,2,1,,,1,,,,0,31,12,12,12,8
File,"ConditionalOnExporterComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,40,4,13,12,0,23,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,77,0,0,0,0
File,"ConditionalOnImporterComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,40,4,13,12,0,23,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,77,0,0,0,0
File,"ConditionalOnMonitorComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,38,5,10,9,0,23,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,30,0,0,0,0
File,"ConfigurationRateLimitConfigProvider.java",1,1,1,1,8,0,6,1,,,,,1,0,3,5,,5,4,3,4,,0,1,0,3,,92,10,56,32,25,26,,,,32,42,29,13,,,,,,4,4,4,1,,,2,,,,0,46,9,9,9,5
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,4,0,,0,0,0,0,,29,2,7,6,4,20,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,86,0,0,0,0
File,"CoolDown.java",1,1,1,1,7,0,7,0,,,,,2,0,0,3,,3,3,3,3,,0,0,0,3,,66,8,32,13,13,26,,,,17,24,13,11,,,,,,3,3,3,1,,,1,,,,0,81,5,5,5,3
File,"Counter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,53,5,8,7,0,40,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,5,00,0,0,0,0
File,"CpuUsageMetricsImporter.java",1,1,1,1,13,0,11,0,,,,,10,0,11,14,,12,14,21,14,,0,1,2,11,,289,35,191,59,133,63,,,,108,128,62,66,,,,,,13,5,13,3,,,4,,,,0,33,27,19,27,16
File,"CpuUsageMetricsImporterTest.java",2,2,2,1,12,0,12,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,48,4,23,17,9,21,,,,15,18,15,3,,,,,,2,2,2,1,,,1,,,,0,91,2,2,2,1
File,"DWMetricsGuage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,5,12,7,2,19,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,1,58,2,2,2,2
File,"DataType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,5,2,,0,0,0,2,,25,1,4,3,0,20,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,5,00,2,2,2,2
File,"DebugLog.java",1,1,1,1,4,0,4,0,,,,,1,8,2,22,,22,14,10,22,,0,2,0,20,,171,28,115,48,45,28,,,,54,84,47,37,,,,,,3,3,3,1,,,2,,,,0,24,29,29,29,22
File,"DebugPreFilter.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,46,4,21,13,5,21,,,,11,15,11,4,,,,,,2,2,2,1,,,1,,,,1,00,3,3,3,2
File,"DefaultAddressService.java",1,1,2,1,5,0,5,0,,,,,1,0,0,10,,10,10,2,10,,0,0,2,8,,103,13,67,25,27,23,,,,27,47,24,23,,,,,,4,4,4,4,,,1,,,,0,34,18,18,21,15
File,"DefaultAddressServiceTest.java",1,1,1,1,9,0,9,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,75,10,46,21,28,19,,,,31,36,17,19,,,,,,1,1,1,1,,,0,,,,0,41,4,4,4,4
File,"DefaultCounter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,1,0,0,7,,77,12,46,27,12,19,,,,21,30,20,10,,,,,,1,1,1,1,,,0,,,,0,41,8,8,8,8
File,"DefaultCounterTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,55,8,31,19,12,16,,,,19,23,15,8,,,,,,1,1,1,1,,,0,,,,0,52,3,3,3,3
File,"DefaultDistributionSummary.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,4,7,,1,0,0,6,,75,13,43,22,13,19,,,,18,27,16,11,,,,,,2,2,2,1,,,1,,,,0,44,8,8,8,7
File,"DefaultDistributionSummaryTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,61,10,35,19,16,16,,,,21,26,15,11,,,,,,1,1,1,1,,,0,,,,0,46,4,4,4,4
File,"DefaultHttpRequestProcessor.java",2,2,2,1,15,0,14,0,,,,,5,2,12,15,,15,13,2,15,,2,3,0,10,,275,21,223,78,133,33,,,,114,154,73,81,,,,,,7,7,8,4,,,2,,,,0,15,37,37,40,20
File,"DefaultHttpRequestProcessorTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,54,5,30,21,10,20,,,,18,22,18,4,,,,,,2,2,2,1,,,1,,,,0,67,3,3,3,2
File,"DefaultId.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,2,12,,1,0,0,11,,96,16,60,30,18,20,,,,22,37,20,17,,,,,,3,3,5,3,,,1,,,,0,33,14,14,16,14
File,"DefaultIdTest.java",1,1,1,1,13,3,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,6,16,10,8,19,,,,10,12,8,4,,,,,,1,1,1,1,,,0,,,,1,19,1,1,1,1
