Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractClientTracer.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,0,6,,0,0,5,1,,55,8,24,11,6,23,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,96,6,6,6,6
File,"AbstractClientTracerTest.java",1,1,1,1,3,0,3,0,,,,,2,0,0,12,,12,12,1,12,,0,0,5,7,,106,18,66,40,18,22,,,,26,40,28,12,,,,,,1,1,1,1,,,0,,,,0,33,12,12,12,12
File,"AbstractDigestSpanEncoder.java",1,1,1,1,8,0,3,5,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,48,5,12,7,2,31,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,2,58,2,2,2,2
File,"AbstractDiskReporter.java",3,3,3,3,18,0,12,5,,,,,1,0,0,3,,7,7,0,7,,0,0,1,6,,122,13,54,24,25,55,,,,26,37,20,17,,,,,,7,7,8,7,,,2,,,,1,02,10,10,11,9
File,"AbstractHttpRequestInterceptor.java",3,3,3,1,14,0,13,1,,,,,1,0,1,4,,4,4,3,4,,0,0,0,4,,108,10,69,31,37,29,,,,38,48,28,20,,,,,,8,8,8,1,,,1,,,,0,42,13,13,13,4
File,"AbstractReporter.java",1,1,1,1,6,0,5,1,,,,,1,0,0,4,,5,5,1,5,,0,0,0,5,,75,9,30,12,11,36,,,,12,20,10,10,,,,,,3,3,3,3,,,1,,,,1,20,7,7,7,6
File,"AbstractRollingFileAppender.java",2,2,3,1,12,0,11,0,,,,,1,0,3,8,,10,10,7,10,,1,2,3,4,,181,20,117,39,66,44,,,,57,82,37,45,,,,,,6,6,8,6,,,3,,,,0,38,23,23,26,13
File,"AbstractSequencer.java",1,1,1,1,7,0,3,3,,,,,1,0,1,9,,9,9,4,9,,0,0,0,9,,125,14,59,29,23,52,,,,21,33,19,14,,,,,,3,3,3,1,,,1,,,,0,88,11,11,11,9
File,"AbstractServerTracer.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,0,6,,0,0,5,1,,54,8,24,11,6,22,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,92,6,6,6,6
File,"AbstractServerTracerTest.java",1,1,1,1,4,0,3,0,,,,,2,0,0,14,,14,14,1,14,,0,0,5,9,,130,18,78,48,23,34,,,,32,48,34,14,,,,,,1,1,1,1,,,0,,,,0,44,14,14,14,14
File,"AbstractService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,33,2,11,6,2,20,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,1,82,2,2,2,2
File,"AbstractSofaTracerStatisticReporter.java",2,2,2,1,10,0,8,2,,,,,1,0,3,17,,18,18,11,18,,0,1,3,14,,309,33,183,70,94,93,,,,98,132,60,72,,,,,,5,5,5,3,,,3,,,,0,51,35,35,38,19
File,"AbstractTestBase.java",1,1,1,1,8,0,6,2,,,,,1,4,1,5,,5,1,3,5,,0,1,1,3,,107,12,63,42,20,33,,,,40,47,33,14,,,,,,2,2,2,1,,,1,,,,0,52,6,6,6,5
File,"AbstractTestBase.java",1,1,1,1,7,0,5,2,,,,,1,3,2,4,,4,1,2,4,,0,1,0,3,,90,8,51,34,17,32,,,,31,37,26,11,,,,,,2,2,2,1,,,1,,,,0,63,5,5,5,4
File,"AbstractTestBase.java",1,1,1,1,6,0,5,1,,,,,1,6,1,7,,7,1,3,7,,0,1,2,4,,119,15,76,52,25,29,,,,46,55,40,15,,,,,,2,2,2,1,,,1,,,,0,38,8,8,8,7
File,"AbstractTestBase.java",1,1,1,1,5,0,4,2,,,,,1,2,2,3,,3,1,3,3,,0,0,0,3,,79,11,40,30,8,29,,,,22,27,22,5,,,,,,2,2,2,1,,,1,,,,0,72,4,4,4,3
File,"AbstractTestBase.java",2,2,3,2,15,0,12,2,,,,,1,4,2,6,,6,2,0,6,,0,0,3,3,,150,16,93,33,52,41,,,,44,63,32,31,,,,,,5,5,7,4,,,3,,,,0,44,17,17,22,12
