Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,12,0,3,9,,,,,2,0,0,,1,,1,1,1,,0,0,0,1,,43,5,9,5,1,29,,,,3,6,5,1,,,,,,1,1,1,1,,,0,,,,3,22,1,1,1,1
File,"AbstractJacksonFieldSnippet.java",2,2,2,2,9,0,9,0,,,,,1,0,1,8,,10,10,0,10,,0,1,7,2,,149,20,109,59,49,20,,,,59,79,52,27,,,,,,5,5,5,5,,,2,,,,0,18,17,17,20,16
File,"AbstractParameterSnippet.java",1,1,1,1,8,0,7,0,,,,,1,0,0,10,,15,15,0,15,,1,1,11,2,,163,26,118,74,46,19,,,,67,86,65,21,,,,,,4,4,4,3,,,2,,,,0,16,18,18,19,12
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,33,2,9,6,1,22,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,44,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,33,2,9,6,1,22,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,44,1,1,1,1
File,"ArrayLimitingJsonContentModifier.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,4,0,4,,0,2,2,0,,49,6,24,11,8,19,,,,12,18,11,7,,,,,,2,2,2,1,,,1,,,,0,79,6,6,6,5
File,"ArrayLimitingJsonContentModifierTest.java",1,1,1,1,6,0,5,1,,,,,2,1,0,6,,6,5,2,6,,0,0,0,6,,87,11,51,29,22,25,,,,33,42,28,14,,,,,,2,2,2,1,,,1,,,,0,49,7,7,7,6
File,"Attributes.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,6,1,,1,0,0,0,,79,4,35,27,6,40,,,,22,24,18,6,,,,,,1,1,1,1,,,0,,,,1,14,1,1,1,1
File,"AuthorizationSnippet.java",1,1,1,1,4,0,4,0,,,,,1,1,0,7,,7,6,1,7,,0,1,1,5,,79,12,48,26,15,20,,,,24,33,21,12,,,,,,2,2,2,1,,,1,,,,0,42,8,8,8,7
File,"AuthorizationSnippetTest.java",1,1,1,1,8,1,7,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,60,10,31,14,15,21,,,,13,17,12,5,,,,,,1,1,1,1,,,0,,,,0,68,3,3,3,3
File,"AutoDocumentation.java",1,1,1,1,2,0,2,0,,,,,1,12,0,13,,13,1,0,13,,0,1,0,12,,87,15,53,27,12,19,,,,25,39,27,12,,,,,,1,1,1,1,,,0,,,,0,36,13,13,13,13
File,"BigDecimalSerializer.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,1,0,3,,63,7,34,22,7,22,,,,18,24,18,6,,,,,,2,2,2,1,,,1,,,,0,65,5,5,5,4
File,"BinaryReplacementContentModifier.java",2,2,3,2,6,0,6,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,61,8,34,16,12,19,,,,19,26,15,11,,,,,,4,4,5,4,,,3,,,,0,56,5,5,6,5
File,"BinaryReplacementContentModifierTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,48,6,23,14,6,19,,,,11,17,13,4,,,,,,2,2,2,1,,,1,,,,0,83,4,4,4,3
File,"ClassDocumentation.java",1,1,1,1,6,0,5,0,,,,,1,1,0,6,,6,4,3,5,,0,4,0,1,,70,11,39,18,18,20,,,,19,27,17,10,,,,,,3,3,4,1,,,1,,,,0,51,8,8,9,6
File,"ClassDocumentation.java",1,1,1,1,4,0,4,0,,,,,1,1,0,5,,5,4,3,5,,0,4,0,1,,61,8,33,16,13,20,,,,17,27,18,9,,,,,,3,3,3,1,,,1,,,,0,61,7,7,7,5
File,"ClassJavadoc.java",1,1,1,1,5,0,5,0,,,,,3,0,0,11,,11,11,8,11,,0,0,0,11,,111,16,76,31,36,19,,,,33,52,31,21,,,,,,2,2,2,1,,,1,,,,0,25,16,16,16,11
File,"ConstraintAndGroupDescriptionResolver.java",2,2,2,1,9,0,8,0,,,,,1,0,3,6,,6,6,2,6,,0,2,0,4,,109,14,74,39,35,21,,,,43,56,35,21,,,,,,4,4,4,1,,,1,,,,0,28,12,12,12,6
File,"ConstraintAndGroupDescriptionResolverTest.java",1,1,1,1,11,0,8,2,,,,,1,0,0,13,,13,13,2,13,,0,0,0,13,,219,19,145,84,80,55,,,,99,113,70,43,,,,,,1,1,1,1,,,0,,,,0,38,13,13,13,13
File,"ConstraintReader.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,5,4,,4,0,0,0,,40,7,14,13,5,19,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,1,36,0,0,0,0
File,"ConstraintReaderImpl.java",1,1,1,1,8,0,7,0,,,,,1,3,1,11,,11,8,5,11,,2,4,0,5,,170,27,120,62,55,23,,,,70,91,56,35,,,,,,5,5,6,1,,,2,,,,0,19,19,19,20,11
File,"ConstraintReaderImplTest.java",1,1,1,1,8,1,7,0,,,,,10,0,0,22,,16,22,24,22,,1,1,0,20,,344,74,251,127,117,20,,,,158,186,91,95,,,,,,3,3,3,3,,,1,,,,0,08,25,25,25,24
File,"Create.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,23,1,3,2,0,19,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,6,33,0,0,0,0
