Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,1,,0,0,0,,0,0,0,0,,92,22,0,0,0,70,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractAppenderFactory.java",1,1,1,1,6,0,6,0,,,,,1,0,0,8,,9,9,0,9,,0,0,8,1,,96,13,66,36,27,17,,,,37,50,34,16,,,,,,3,3,3,3,,,1,,,,0,26,13,13,13,10
File,"AbstractRocketMqConsumer.java",2,2,2,1,13,0,12,1,,,,,1,0,0,5,,7,7,4,7,,0,2,0,5,,118,19,91,49,44,12,,,,56,69,45,24,,,,,,4,4,4,1,,,2,,,,0,13,13,13,13,5
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,2,5,4,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,80,0,0,0,0
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,2,5,4,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,80,0,0,0,0
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,13,2,7,6,0,4,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,92,22,0,0,0,70,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,13,2,7,6,0,4,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"AppenderFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,15,4,7,6,0,4,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"AppenderTypeEn.java",1,1,1,1,2,0,2,0,,,,,1,0,0,9,,7,9,7,9,,1,0,0,8,,50,9,34,17,9,7,,,,15,22,13,9,,,,,,1,1,1,1,,,0,,,,0,21,9,9,9,9
