Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AdminPermissionInterceptor.java",3,3,3,2,24,3,14,7,,,,,1,0,0,7,,7,6,3,6,,0,5,0,1,,220,38,125,51,64,57,,,,61,85,44,41,,,,,,8,8,8,7,,,3,,,,0,46,22,22,22,20
File,"AdminUiApplication.java",1,1,1,1,7,0,3,4,,,,,1,1,0,2,,2,1,0,2,,0,0,1,1,,41,4,19,14,2,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,95,2,2,2,2
File,"AggregationService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,23,6,6,5,0,11,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,83,0,0,0,0
File,"AggregationServiceImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,32,6,22,15,4,4,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,18,2,2,2,2
File,"AggregationServiceTest.java",1,1,1,1,13,2,11,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,73,27,42,25,18,4,,,,22,25,19,6,,,,,,1,1,1,1,,,0,,,,0,10,2,2,2,2
File,"AssertUtils.java",1,1,1,1,11,0,5,5,,,,,1,9,0,9,,9,0,0,9,,0,2,0,7,,134,18,55,19,18,61,,,,14,32,14,18,,,,,,3,3,3,1,,,1,,,,1,11,17,17,17,9
File,"AuthenticationController.java",2,2,2,1,21,0,14,7,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,87,6,62,41,23,19,,,,34,39,32,7,,,,,,3,3,3,1,,,1,,,,0,31,4,4,4,2
File,"BasicBeanConfig.java",1,1,1,1,6,0,5,0,,,,,1,0,0,9,,9,7,5,7,,0,1,0,6,,121,18,83,44,38,20,,,,36,45,33,12,,,,,,2,2,2,1,,,1,,,,0,24,10,10,10,9
File,"BasicJwtUser.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,27,5,8,7,0,14,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,75,0,0,0,0
File,"BeanConfig.java",1,1,1,1,11,0,5,6,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,49,9,24,15,6,16,,,,11,14,12,2,,,,,,1,1,1,1,,,0,,,,0,67,2,2,2,2
File,"BeanProUtils.java",2,2,2,1,15,0,9,5,,,,,1,3,0,4,,4,0,0,3,,0,0,0,3,,83,10,47,19,25,26,,,,28,39,21,18,,,,,,4,4,4,4,,,2,,,,0,55,9,9,9,7
File,"BigDecimalUtils.java",1,1,1,1,8,0,3,5,,,,,1,12,0,12,,12,0,0,12,,0,0,0,12,,139,21,41,16,12,77,,,,15,28,16,12,,,,,,1,1,1,1,,,0,,,,1,88,12,12,12,12
File,"BodyReaderWrapper.java",1,1,1,1,7,0,6,0,,,,,2,0,0,7,,7,7,1,7,,0,0,0,7,,71,13,50,19,22,8,,,,22,32,21,11,,,,,,2,2,2,1,,,1,,,,0,16,9,9,9,7
File,"CaptchaException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,1,4,,30,5,21,10,5,4,,,,6,12,7,5,,,,,,1,1,1,1,,,0,,,,0,19,5,5,5,5
File,"CaptchaService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,33,4,6,5,0,23,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,3,83,0,0,0,0
