Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DubboAutoConfiguration.java",2,2,2,1,7,0,7,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,95,12,83,42,32,0,,,,38,55,31,24,,,,,,2,2,2,1,,,1,,,,0,00,16,16,16,8
File,"DubboConfigurationApplicationContextInitializer.java",2,2,2,1,13,1,12,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,6,21,12,9,0,,,,14,17,11,6,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"DubboHolderListener.java",4,4,4,1,16,0,16,0,,,,,2,1,3,3,,3,2,0,3,,0,0,0,3,,61,5,52,15,27,4,,,,22,35,14,21,,,,,,6,6,6,1,,,2,,,,0,08,12,12,13,3
File,"DubboProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,18,18,9,18,,0,0,0,18,,105,29,76,39,18,0,,,,37,56,38,18,,,,,,1,1,1,1,,,0,,,,0,00,18,18,18,18
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.dubbo",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.dubbo.springboot",1,1,1,1,5,0,5,0,,,,,5,1,3,,4,,29,10,30,,0,0,0,30,,288,52,232,108,86,4,,,,111,163,94,69,,,,,,6,6,6,1,,,2,,,,0,02,48,48,49,30
Public Class,"io.dubbo.springboot.DubboAutoConfiguration",2,2,2,1,7,0,7,0,1,1,1,0,,0,0,,,,8,1,8,8,0,0,0,8,,78,10,68,27,32,0,,,,25,42,18,24,,,,,,2,2,2,1,,1,1,,0,0,0,00,16,16,16,8
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestApplicationConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestConsumerConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestMethodConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestModuleConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestMonitorConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestProtocolConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestProviderConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboAutoConfiguration.requestRegistryConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Class,"io.dubbo.springboot.DubboConfigurationApplicationContextInitializer",2,2,2,1,13,1,12,0,2,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,19,4,15,6,9,0,,,,8,11,5,6,,,,,,2,2,2,1,,1,1,,0,0,0,00,2,2,2,1
Public Method,"io.dubbo.springboot.DubboConfigurationApplicationContextInitializer.initialize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,1,12,4,9,0,9,2,0,8,10,4,6,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Class,"io.dubbo.springboot.DubboHolderListener",4,4,4,1,19,0,19,0,2,0,0,0,,1,3,,,,1,0,2,2,0,0,0,2,,51,3,44,7,27,4,,,,15,28,7,21,,,,,,6,6,6,1,,1,2,,0,0,0,09,8,8,8,2
Public Method,"io.dubbo.springboot.DubboHolderListener.onApplicationEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,0,31,1,21,0,5,15,1,9,19,2,17,6,6,6,1,0,,,,,0,,2,0,,,0,00,6,6,6,1
Anonymous Class,"io.dubbo.springboot.DubboHolderListener.onApplicationEvent.(Anon_1)",4,4,5,1,11,0,11,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,13,0,13,0,9,0,,,,2,6,1,5,,,,,,4,4,5,1,,2,2,,0,0,0,00,4,4,5,1
