Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractLimitHandler.java",1,1,1,1,7,0,3,4,,,,,1,0,0,15,,15,15,0,15,,0,0,3,12,,151,17,70,35,24,64,,,,26,44,26,18,,,,,,6,6,10,1,,,1,,,,0,91,23,23,27,15
File,"AbstractMybatisQuery.java",1,1,1,1,7,0,5,1,,,,,3,0,1,22,,23,22,4,22,,1,1,3,17,,255,50,172,80,63,37,,,,70,105,60,45,,,,,,6,6,6,6,,,2,,,,0,22,33,33,34,32
File,"AbstractTransactSQLIdentityColumnSupport.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,31,6,24,13,5,1,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,0,04,5,5,5,5
File,"AnnotationAuditingMetadata.java",1,1,1,1,8,1,5,2,,,,,2,1,7,13,,13,10,6,11,,0,2,0,9,,209,42,115,57,55,52,,,,64,79,51,28,,,,,,3,3,4,3,,,1,,,,0,45,15,15,16,15
File,"AuditingBeanDefinitionParser.java",1,1,1,1,13,2,10,0,,,,,1,0,1,2,,2,2,1,2,,0,1,0,1,,52,14,37,22,18,1,,,,23,26,18,8,,,,,,1,1,1,1,,,0,,,,0,03,2,2,2,2
File,"AuditingEntityListener.java",1,1,1,1,8,1,6,1,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,84,19,45,21,16,20,,,,21,31,18,13,,,,,,3,3,3,1,,,2,,,,0,44,9,9,9,5
File,"AuditingInterceptor.java",1,1,1,1,6,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,55,12,43,26,12,0,,,,22,30,21,9,,,,,,3,3,3,1,,,1,,,,0,00,7,7,7,4
File,"BeanDefinitionNames.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,7,3,4,3,1,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Condition.java",1,1,1,1,0,0,0,0,,,,,3,0,0,4,,5,9,29,9,,5,0,0,4,,54,17,27,24,0,10,,,,15,17,17,0,,,,,,1,1,1,1,,,0,,,,0,37,4,4,4,4
File,"Conditions.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,16,5,11,10,0,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
