Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractBodySnippet.java",2,2,2,1,15,0,9,5,,,,,1,0,0,4,,6,6,1,6,,0,1,5,0,,121,12,54,28,23,55,,,,26,34,22,12,,,,,,4,4,4,1,,,2,,,,1,02,9,9,9,4
File,"AbstractConfigurer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,40,6,7,6,0,27,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,3,86,0,0,0,0
File,"AbstractDescriptor.java",1,1,1,1,8,0,4,4,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,77,11,26,13,8,40,,,,12,19,12,7,,,,,,2,2,2,1,,,1,,,,1,54,5,5,5,4
File,"AbstractFieldsSnippet.java",2,2,2,1,17,0,11,5,,,,,1,1,0,13,,15,14,4,15,,0,4,11,0,,314,29,173,63,94,112,,,,77,114,55,59,,,,,,8,8,8,1,,,3,,,,0,65,34,34,35,13
File,"AbstractHeadersSnippet.java",2,2,2,1,13,0,9,4,,,,,1,0,0,6,,7,7,2,7,,0,1,6,0,,140,16,71,29,36,53,,,,39,56,31,25,,,,,,3,3,4,1,,,2,,,,0,75,12,12,13,6
File,"AbstractJsonLinkExtractor.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,2,2,1,2,,0,0,1,1,,47,9,18,15,4,20,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,1,11,1,1,1,1
File,"AbstractNestedConfigurer.java",1,1,1,1,5,0,3,2,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,44,6,12,7,2,26,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,2,17,2,2,2,2
File,"AbstractOperationBlockMacroTests.java",1,1,1,1,6,0,6,0,,,,,2,0,0,23,,26,26,4,26,,0,4,4,18,,263,39,203,115,98,23,,,,90,120,80,40,,,,,,4,4,4,1,,,3,,,,0,11,27,27,27,23
File,"AbstractOperationMessage.java",2,2,2,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,1,1,0,3,,69,12,37,15,15,20,,,,18,27,15,12,,,,,,3,3,3,3,,,1,,,,0,54,10,10,10,7
File,"AbstractParametersSnippet.java",2,2,2,1,16,0,11,5,,,,,1,0,0,6,,8,8,2,8,,0,1,7,0,,173,17,91,38,45,65,,,,47,65,35,30,,,,,,5,5,6,1,,,2,,,,0,71,14,14,15,6
File,"AbstractSnippetTests.java",1,1,1,1,3,0,3,0,,,,,1,1,0,9,,9,8,3,9,,0,0,1,8,,99,18,61,36,15,20,,,,33,43,32,11,,,,,,1,1,1,1,,,0,,,,0,33,9,9,9,9
File,"ApiDocumentation.java",1,1,1,1,18,1,16,0,,,,,1,0,0,13,,13,13,6,13,,0,2,0,11,,347,51,281,101,194,22,,,,104,118,76,42,,,,,,1,1,1,1,,,0,,,,0,08,13,13,13,13
File,"ApiDocumentation.java",1,1,1,1,17,1,15,0,,,,,2,0,0,16,,16,16,8,16,,1,3,0,12,,405,63,327,120,221,22,,,,122,140,94,46,,,,,,1,1,1,1,,,0,,,,0,07,16,16,16,16
File,"ApiDocumentation.java",1,1,1,1,19,1,17,0,,,,,1,0,0,13,,13,13,6,13,,0,2,0,11,,352,51,286,100,200,22,,,,103,117,75,42,,,,,,1,1,1,1,,,0,,,,0,08,13,13,13,13
File,"AsciidoctorRequestFieldsSnippetTests.java",1,1,1,1,13,0,12,1,,,,,1,0,0,2,,2,2,2,2,,0,1,0,1,,83,11,51,28,25,22,,,,24,27,23,4,,,,,,1,1,1,1,,,0,,,,0,43,2,2,2,2
File,"AsciidoctorTableCellContentLambda.java",3,3,5,1,10,0,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,46,6,18,10,6,22,,,,11,15,10,5,,,,,,3,3,5,1,,,2,,,,1,22,3,3,5,1
File,"AsciidoctorTableCellContentLambdaTests.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,55,9,26,17,10,20,,,,18,21,15,6,,,,,,1,1,1,1,,,0,,,,0,77,2,2,2,2
File,"AtomLinkExtractor.java",3,3,3,1,10,0,10,0,,,,,1,2,0,3,,3,1,0,3,,0,2,0,1,,68,8,40,20,18,20,,,,18,28,18,10,,,,,,4,4,4,1,,,3,,,,0,50,9,9,10,3
