Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AddBulkFireworksActivity.java",1,1,1,1,5,0,5,0,,,,,1,0,0,7,,7,7,2,7,,0,1,0,6,,74,13,61,32,22,0,,,,29,37,26,11,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"AddBulkFireworksFragment.java",1,1,1,1,5,0,5,0,,,,,3,0,0,8,,10,10,2,10,,2,6,0,2,,84,17,67,33,25,0,,,,37,51,32,19,,,,,,3,3,3,1,,,1,,,,0,00,12,12,13,8
File,"AddBulkYieldFireworksActivity.java",1,1,1,1,8,0,8,0,,,,,1,0,0,5,,5,5,4,5,,0,1,0,4,,79,10,69,35,31,0,,,,40,48,32,16,,,,,,4,4,4,1,,,2,,,,0,00,8,8,8,5
File,"AddBulkYieldFireworksFragment.java",1,1,1,1,6,0,6,0,,,,,3,0,0,8,,10,10,5,10,,2,5,0,3,,98,18,80,40,33,0,,,,46,60,39,21,,,,,,3,3,3,1,,,1,,,,0,00,12,12,14,8
File,"AddFireworkActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,2,7,,0,1,1,5,,66,13,53,30,15,0,,,,27,35,24,11,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"AddFireworkFragment.java",1,1,1,1,8,1,7,0,,,,,3,0,0,8,,10,10,6,10,,2,6,0,2,,104,22,82,37,40,0,,,,52,65,36,29,,,,,,2,2,5,1,,,1,,,,0,00,11,11,15,8
File,"AssetHelperTest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,17,6,11,6,3,0,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Constraint.java",1,1,1,1,4,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,31,9,22,11,7,0,,,,10,17,9,8,,,,,,3,3,4,3,,,1,,,,0,00,6,6,7,6
File,"ContentProviderTest.java",1,1,1,1,9,1,8,0,,,,,1,0,3,5,,5,5,0,5,,0,1,1,3,,72,17,55,28,34,2,,,,32,38,25,13,,,,,,1,1,1,1,,,0,,,,0,04,5,5,5,5
File,"DBUtils.java",1,1,1,1,7,0,3,3,,,,,1,6,0,7,,7,1,0,7,,0,1,0,6,,76,13,39,21,12,24,,,,16,25,16,9,,,,,,2,2,2,1,,,1,,,,0,62,8,8,8,7
File,"DatabaseConstants.java",1,1,1,1,2,0,2,0,,,,,4,0,18,1,,1,1,0,1,,0,1,0,0,,47,13,34,26,23,0,,,,19,24,24,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"DatabaseMetaInfo.java",1,1,1,1,1,0,1,0,,,,,2,1,0,3,,8,9,6,10,,7,0,0,3,,32,13,19,15,1,0,,,,13,15,14,1,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DatabaseReader.java",1,1,1,1,6,0,3,2,,,,,1,0,0,8,,8,8,1,8,,0,1,1,6,,69,13,38,21,14,18,,,,20,29,21,8,,,,,,1,1,1,1,,,0,,,,0,47,8,8,8,8
File,"DatabaseStructure.java",1,1,1,1,7,0,7,0,,,,,1,2,9,24,,24,22,1,24,,0,18,0,6,,225,33,190,81,113,2,,,,105,149,83,66,,,,,,4,4,4,4,,,2,,,,0,01,40,40,42,27
File,"DatabaseStructureTest.java",1,1,1,1,5,0,5,0,,,,,1,0,7,11,,11,11,1,11,,0,1,1,9,,98,18,80,43,40,0,,,,52,66,42,24,,,,,,2,2,2,1,,,1,,,,0,00,12,12,12,11
File,"DatabaseUtils.java",4,4,4,1,17,1,16,0,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,70,13,57,19,35,0,,,,34,45,20,25,,,,,,8,8,9,3,,,2,,,,0,00,12,12,13,5
File,"DatabaseWriter.java",1,1,1,1,3,0,3,0,,,,,1,0,1,7,,7,7,1,7,,0,3,0,4,,43,11,32,17,10,0,,,,16,24,17,7,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"DemoMenu.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,25,12,13,12,0,0,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"EmptyCursor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,51,11,40,21,9,0,,,,11,21,12,9,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"ExtendedSQLiteQueryBuilder.java",1,1,1,1,4,0,4,0,,,,,1,0,0,17,,17,17,1,17,,0,1,0,16,,109,24,82,35,29,3,,,,29,50,29,21,,,,,,3,3,4,1,,,1,,,,0,04,20,20,21,17
File,"ExtendedSQLiteQueryBuilderTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,60,13,47,29,17,1,,,,29,34,23,11,,,,,,1,1,1,1,,,0,,,,0,02,4,4,4,4
File,"FindDistinctFireworksActivity.java",1,1,1,1,8,1,6,0,,,,,1,0,0,2,,2,2,0,2,,0,1,1,0,,33,9,24,15,9,0,,,,17,20,14,6,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"FindFireworkWithPkActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,1,1,2,,41,8,33,21,9,0,,,,20,25,18,7,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"FindFireworkWithPkFragment.java",1,1,1,1,5,0,4,0,,,,,3,0,0,8,,9,9,2,9,,1,5,0,3,,79,17,62,30,22,0,,,,30,44,29,15,,,,,,3,3,3,1,,,2,,,,0,00,12,12,12,8
File,"FindFireworksFromOneShopActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,1,1,2,,42,8,34,21,10,0,,,,21,26,18,8,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"FindFireworksFromOneShopFragment.java",1,1,1,1,5,0,5,0,,,,,3,0,0,8,,9,9,2,9,,1,5,0,3,,84,19,65,33,23,0,,,,33,47,32,15,,,,,,3,3,3,1,,,2,,,,0,00,12,12,12,8
File,"FindThreeFireworksActivity.java",1,1,1,1,8,1,6,0,,,,,1,0,1,2,,2,2,0,2,,0,1,1,0,,35,10,25,16,10,0,,,,18,21,15,6,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Firework.java",1,1,1,1,3,0,3,0,,,,,1,1,0,9,,9,8,5,9,,0,0,0,9,,53,12,41,18,13,0,,,,20,30,17,13,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"FireworkActivity.java",2,2,2,1,25,2,23,0,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,42,8,34,19,21,0,,,,26,29,18,11,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"FireworkAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,6,10,7,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"FireworkLoader.java",1,1,1,1,4,0,4,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,27,8,19,12,5,0,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"FireworkProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,5,0,,0,0,0,0,,0,0,0,0,,15,5,10,9,5,1,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,10,0,0,0,0
File,"FireworkProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,9,4,5,4,1,1,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,20,0,0,0,0
File,"FireworkReader.java",1,1,1,1,10,2,8,0,,,,,1,0,0,10,,10,10,1,10,,0,3,0,7,,130,36,94,49,57,0,,,,62,76,49,27,,,,,,3,3,3,1,,,2,,,,0,00,15,15,15,10
